Feature set,Model,ROC-AUC mean,ROC-AUC SD,PR-AUC mean,PR-AUC SD,Balanced accuracy mean,F1 mean,Brier score mean
Conventional + AlphaEarth Embeddings,XGBoost,0.9726,0.0168,0.9602,0.0355,0.9065,0.8898,0.0617
Conventional + AlphaEarth Embeddings,CatBoost,0.9716,0.0193,0.9586,0.0409,0.9001,0.8803,0.0624
Conventional + AlphaEarth Embeddings,LightGBM,0.9709,0.0185,0.9574,0.0388,0.8215,0.7718,0.0659
Conventional + AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9718,0.018,0.9568,0.0374,0.914,0.8969,0.0603
Conventional + AlphaEarth Embeddings,Random Forest,0.9677,0.018,0.9498,0.04,0.8978,0.8813,0.077
Conventional + AlphaEarth Embeddings,Extra Trees,0.9657,0.0201,0.948,0.0412,0.8467,0.8139,0.0852
Conventional,Extra Trees,0.9622,0.0184,0.9476,0.0368,0.7979,0.7399,0.1046
Conventional,CatBoost,0.9604,0.0171,0.9464,0.0324,0.8372,0.8019,0.0892
Conventional,Spatial-CV Stacked Ensemble,0.9614,0.0164,0.9454,0.0351,0.8947,0.878,0.0746
Conventional,Random Forest,0.9612,0.0133,0.9441,0.0331,0.8578,0.8303,0.0894
Conventional,XGBoost,0.9577,0.0184,0.942,0.0355,0.8531,0.8252,0.0918
Conventional + AlphaEarth Embeddings,Logistic Regression (L2),0.9594,0.0289,0.9405,0.0579,0.8774,0.8543,0.0783
Conventional,LightGBM,0.9564,0.0174,0.9381,0.041,0.8011,0.7476,0.0989
AlphaEarth Embeddings,XGBoost,0.9476,0.025,0.9232,0.0565,0.8755,0.8535,0.0866
AlphaEarth Embeddings,LightGBM,0.9455,0.0252,0.9223,0.0581,0.8302,0.7939,0.0902
AlphaEarth Embeddings,Spatial-CV Stacked Ensemble,0.9506,0.0252,0.9218,0.0593,0.8791,0.8597,0.0823
AlphaEarth Embeddings,CatBoost,0.9462,0.0286,0.921,0.0627,0.8732,0.8513,0.0851
AlphaEarth Embeddings,Logistic Regression (L2),0.9469,0.025,0.919,0.0645,0.8746,0.8521,0.0854
AlphaEarth Embeddings,Extra Trees,0.9419,0.0268,0.9156,0.0573,0.8476,0.816,0.0978
AlphaEarth Embeddings,Random Forest,0.9395,0.0301,0.9121,0.0679,0.857,0.8335,0.0977
Conventional,Logistic Regression (L2),0.923,0.0497,0.898,0.0938,0.8265,0.7835,0.1089
