road_group,domain,segment_count,total_length_km,reliable_high_weighted_length_km,reliable_very_high_weighted_length_km,uncertain_high_weighted_length_km,outside_aoa_weighted_length_km,mean_probability_length_weighted,mean_transfer_confidence_length_weighted,mean_reliability_aware_score_length_weighted
All clipped roads,All domains,1803,17066.00663933656,4.636363636363648,41.45454545454541,10595.047497787797,14695.39250076007,0.3646526055764394,0.0201481540700931,0.0061094625561624
All clipped roads,"Kashgar (Xinjiang, China)",163,1606.0439532652745,2.8181818181818232,6.818181818181816,1437.589407810729,1360.7689075106778,0.5886687778462274,0.0203024581302576,0.0137615818410675
All clipped roads,Gilgit-Baltistan,44,418.5019817473797,0.0,0.0,418.5019817473797,306.24527032937976,0.9846969405025304,0.0269452330449607,0.0262488914762582
All clipped roads,KP-AJK,309,2869.1347530352605,0.90909090909091,1.909090909090909,2382.882562244217,2723.8131367011256,0.5701577014554642,0.0047034874442454,0.003900417957156
All clipped roads,Balochistan,441,4287.786714358651,0.909090909090915,32.72727272727269,4050.2361546672046,2546.621465797296,0.5001007329578068,0.0652812778887164,0.0133538985318613
All clipped roads,Punjab-Sindh lowland corridor,846,7884.539236929993,0.0,0.0,2305.837391318264,7757.943720421588,0.1376686257078694,0.0008317698821312,0.0003459576568184
KKH proxy routes (N35 / 314),All domains,148,1448.2228819979132,3.727272727272733,7.727272727272726,1380.1319729070042,1112.784352398095,0.7483513242356288,0.0296620251866013,0.0239000879845456
KKH proxy routes (N35 / 314),"Kashgar (Xinjiang, China)",72,715.4032008400559,2.8181818181818232,6.818181818181816,654.675928112783,539.6759281127829,0.6028046027363577,0.0368124199559684,0.025742796883874
KKH proxy routes (N35 / 314),Gilgit-Baltistan,41,388.5019817473798,0.0,0.0,388.5019817473798,279.06345214756163,0.985434918638756,0.0286719208100783,0.0279306727432627
KKH proxy routes (N35 / 314),KP-AJK,33,324.31769941047776,0.90909090909091,0.90909090909091,317.8631539559323,274.04497213775056,0.8102310716135795,0.0169044196145091,0.0164809176591479
KKH proxy routes (N35 / 314),Punjab-Sindh lowland corridor,2,20.000000000000007,0.0,0.0,19.090909090909097,20.000000000000007,0.3457736670970917,0.0,0.0
