feature_set,bin,mean_predicted_probability,fraction_observed_landslide,brier
Conventional + AlphaEarth Embeddings,1,0.0183824868674581,0.0090361445783132,0.0609770799832706
Conventional + AlphaEarth Embeddings,2,0.024754465735006,0.0180722891566265,0.0609770799832706
Conventional + AlphaEarth Embeddings,3,0.0308018949223964,0.0211480362537764,0.0609770799832706
Conventional + AlphaEarth Embeddings,4,0.0489250258071892,0.0512048192771084,0.0609770799832706
Conventional + AlphaEarth Embeddings,5,0.1208785222556435,0.1389728096676737,0.0609770799832706
Conventional + AlphaEarth Embeddings,6,0.5077624127696573,0.5030120481927711,0.0609770799832706
Conventional + AlphaEarth Embeddings,7,0.9079905726862888,0.8765060240963856,0.0609770799832706
Conventional + AlphaEarth Embeddings,8,0.9717167809709096,0.9607250755287008,0.0609770799832706
Conventional + AlphaEarth Embeddings,9,0.9869078748414932,0.9848942598187312,0.0609770799832706
Conventional + AlphaEarth Embeddings,10,0.9930943277142702,0.9849397590361446,0.0609770799832706
Conventional,1,0.019028148700239,0.0150602409638554,0.0739899057100036
Conventional,2,0.0277300031847054,0.0120481927710843,0.0739899057100036
Conventional,3,0.0422842158527869,0.0241691842900302,0.0739899057100036
Conventional,4,0.078534345836659,0.0572289156626506,0.0739899057100036
Conventional,5,0.1822699930629373,0.1873111782477341,0.0739899057100036
Conventional,6,0.4801377869672363,0.5451807228915663,0.0739899057100036
Conventional,7,0.8263215993169307,0.8308157099697885,0.0739899057100036
Conventional,8,0.9641269731669534,0.9036144578313252,0.0739899057100036
Conventional,9,0.991874821675438,0.9758308157099698,0.0739899057100036
Conventional,10,0.9973271898677576,0.9969879518072288,0.0739899057100036
AlphaEarth Embeddings,1,0.0304426068054329,0.0240963855421686,0.0833176674659781
AlphaEarth Embeddings,2,0.040847709530005,0.0150602409638554,0.0833176674659781
AlphaEarth Embeddings,3,0.0480709834623246,0.0181268882175226,0.0833176674659781
AlphaEarth Embeddings,4,0.0718274827830315,0.0903614457831325,0.0833176674659781
AlphaEarth Embeddings,5,0.198506995372504,0.229607250755287,0.0833176674659781
AlphaEarth Embeddings,6,0.5575816039997209,0.4819277108433735,0.0833176674659781
AlphaEarth Embeddings,7,0.8575760351203184,0.8308157099697885,0.0833176674659781
AlphaEarth Embeddings,8,0.9425259553455038,0.9126506024096386,0.0833176674659781
AlphaEarth Embeddings,9,0.9672341637782318,0.9637462235649548,0.0833176674659781
AlphaEarth Embeddings,10,0.9769194920691112,0.9819277108433736,0.0833176674659781
