feature_set,recall,precision,threshold
Conventional + AlphaEarth Embeddings,1.0,0.4547647768395657,0.0143327951292808
Conventional + AlphaEarth Embeddings,1.0,0.4549019607843137,0.0143428656165687
Conventional + AlphaEarth Embeddings,1.0,0.4550392275196138,0.0143895965036308
Conventional + AlphaEarth Embeddings,1.0,0.4551765771204346,0.0143923871805808
Conventional + AlphaEarth Embeddings,1.0,0.4553140096618358,0.0143954688624487
Conventional + AlphaEarth Embeddings,1.0,0.4554515252189671,0.0144077147383759
Conventional + AlphaEarth Embeddings,1.0,0.4555891238670695,0.0144256971766059
Conventional + AlphaEarth Embeddings,1.0,0.4557268056814748,0.0145099641902543
Conventional + AlphaEarth Embeddings,1.0,0.4558645707376058,0.0145190728144578
Conventional + AlphaEarth Embeddings,1.0,0.4560024191109767,0.0145351372265255
Conventional + AlphaEarth Embeddings,1.0,0.4561403508771929,0.0145366516909825
Conventional + AlphaEarth Embeddings,1.0,0.4562783661119516,0.0145510767768
Conventional + AlphaEarth Embeddings,1.0,0.4564164648910411,0.0145604739891493
Conventional + AlphaEarth Embeddings,1.0,0.4565546472903421,0.0145704113770856
Conventional + AlphaEarth Embeddings,1.0,0.4566929133858268,0.0146177314583626
Conventional + AlphaEarth Embeddings,1.0,0.4568312632535595,0.0146641058163709
Conventional + AlphaEarth Embeddings,1.0,0.4569696969696969,0.0146732574118542
Conventional + AlphaEarth Embeddings,1.0,0.457108214610488,0.014684484906549
Conventional + AlphaEarth Embeddings,1.0,0.4572468162522741,0.014693956288944
Conventional + AlphaEarth Embeddings,1.0,0.4573855019714892,0.0147105788065636
Conventional + AlphaEarth Embeddings,1.0,0.4575242718446602,0.0147203087110174
Conventional + AlphaEarth Embeddings,1.0,0.4576631259484067,0.01473820166867
Conventional + AlphaEarth Embeddings,1.0,0.4578020643594414,0.0147402424748711
Conventional + AlphaEarth Embeddings,1.0,0.4579410871545703,0.0147479208632823
Conventional + AlphaEarth Embeddings,1.0,0.4580801944106926,0.014758700965789
Conventional + AlphaEarth Embeddings,1.0,0.4582193862048009,0.0147710203482893
Conventional + AlphaEarth Embeddings,1.0,0.4583586626139818,0.0147978300861157
Conventional + AlphaEarth Embeddings,1.0,0.458498023715415,0.014800946806107
Conventional + AlphaEarth Embeddings,1.0,0.4586374695863747,0.0148040126605518
Conventional + AlphaEarth Embeddings,1.0,0.4587770003042288,0.0148042354767604
Conventional + AlphaEarth Embeddings,1.0,0.4589166159464394,0.0148069170682143
Conventional + AlphaEarth Embeddings,1.0,0.4590563165905632,0.014816159964584
Conventional + AlphaEarth Embeddings,1.0,0.4591961023142509,0.0148319926035815
Conventional + AlphaEarth Embeddings,1.0,0.4593359731952482,0.0148574229843376
Conventional + AlphaEarth Embeddings,1.0,0.4594759293113954,0.0148702340451632
Conventional + AlphaEarth Embeddings,1.0,0.4596159707406279,0.0148911896840186
Conventional + AlphaEarth Embeddings,1.0,0.4597560975609756,0.0149071165501032
Conventional + AlphaEarth Embeddings,1.0,0.4598963098505642,0.0149100456368478
Conventional + AlphaEarth Embeddings,1.0,0.4600366076876144,0.0149203344205554
Conventional + AlphaEarth Embeddings,1.0,0.4601769911504424,0.0149400212455856
Conventional + AlphaEarth Embeddings,1.0,0.4603174603174603,0.0149720904845819
Conventional + AlphaEarth Embeddings,1.0,0.4604580152671755,0.0149794942553714
Conventional + AlphaEarth Embeddings,1.0,0.4605986560781918,0.0149892386462651
Conventional + AlphaEarth Embeddings,1.0,0.4607393828292087,0.0149986072238205
Conventional + AlphaEarth Embeddings,1.0,0.460880195599022,0.0150163606717017
Conventional + AlphaEarth Embeddings,1.0,0.461021094466524,0.0150422214122194
Conventional + AlphaEarth Embeddings,1.0,0.4611620795107033,0.0150625232533686
Conventional + AlphaEarth Embeddings,1.0,0.4613031508106454,0.015066759017884
Conventional + AlphaEarth Embeddings,1.0,0.4614443084455324,0.015083310181911
Conventional + AlphaEarth Embeddings,1.0,0.4615855524946434,0.0150871289016634
Conventional + AlphaEarth Embeddings,1.0,0.4617268830373545,0.0150958126845039
Conventional + AlphaEarth Embeddings,1.0,0.4618683001531393,0.0151096309261887
Conventional + AlphaEarth Embeddings,1.0,0.4620098039215686,0.0151096772473291
Conventional + AlphaEarth Embeddings,1.0,0.4621513944223107,0.0151175113351127
Conventional + AlphaEarth Embeddings,1.0,0.4622930717351318,0.0151225694532878
Conventional + AlphaEarth Embeddings,1.0,0.4624348359398957,0.015130412449974
Conventional + AlphaEarth Embeddings,1.0,0.4625766871165644,0.0151327219951661
Conventional + AlphaEarth Embeddings,1.0,0.4627186253451979,0.0151479126533218
Conventional + AlphaEarth Embeddings,1.0,0.4628606507059545,0.0151941314895693
Conventional + AlphaEarth Embeddings,1.0,0.4630027632790912,0.0152180370385257
Conventional + AlphaEarth Embeddings,1.0,0.4631449631449631,0.0152184657868529
Conventional + AlphaEarth Embeddings,1.0,0.4632872503840246,0.0152351962088323
Conventional + AlphaEarth Embeddings,1.0,0.4634296250768285,0.0152542216522518
Conventional + AlphaEarth Embeddings,1.0,0.463572087304027,0.0152768119857793
Conventional + AlphaEarth Embeddings,1.0,0.4637146371463714,0.0152886834953455
Conventional + AlphaEarth Embeddings,1.0,0.4638572746847124,0.0153608404841211
Conventional + AlphaEarth Embeddings,1.0,0.464,0.0153610251937745
Conventional + AlphaEarth Embeddings,1.0,0.4641428131732841,0.0153947140462804
Conventional + AlphaEarth Embeddings,1.0,0.4642857142857143,0.0153959929816969
Conventional + AlphaEarth Embeddings,1.0,0.4644287034185402,0.015397913330434
Conventional + AlphaEarth Embeddings,1.0,0.4645717806531115,0.0154015306811221
Conventional + AlphaEarth Embeddings,1.0,0.4647149460708782,0.0154135204397158
Conventional + AlphaEarth Embeddings,1.0,0.4648581997533909,0.0154183610704486
Conventional + AlphaEarth Embeddings,1.0,0.4650015417823003,0.0154214251609603
Conventional + AlphaEarth Embeddings,1.0,0.4651449722393584,0.0154430512289355
Conventional + AlphaEarth Embeddings,1.0,0.4652884912064178,0.0154457617718974
Conventional + AlphaEarth Embeddings,1.0,0.4654320987654321,0.015466995065488
Conventional + AlphaEarth Embeddings,1.0,0.4655757949984563,0.0154919139654971
Conventional + AlphaEarth Embeddings,1.0,0.4657195799876467,0.0155045478875352
Conventional + AlphaEarth Embeddings,1.0,0.465863453815261,0.0155105792948636
Conventional + AlphaEarth Embeddings,1.0,0.4660074165636588,0.0155156880590167
Conventional + AlphaEarth Embeddings,1.0,0.4661514683153014,0.0156017735114723
