feature_set,base_model,mean_coefficient,std_coefficient,min_coefficient,max_coefficient
AlphaEarth Embeddings,CatBoost,0.792117069634163,0.3375665279440539,0.439272404905859,1.1214272245031067
AlphaEarth Embeddings,Extra Trees,1.0576079313939073,0.2649219864866132,0.7724997542483797,1.4158874614538357
AlphaEarth Embeddings,LightGBM,-0.0811390922729072,0.2119912882394355,-0.3039001567549225,0.1577370567463898
AlphaEarth Embeddings,Logistic Regression,1.184981526771827,0.1312741638023113,1.0353233647052935,1.370277513821497
AlphaEarth Embeddings,Random Forest,-0.5027884813261045,0.1732038386064903,-0.7572749395798142,-0.3269037682304639
AlphaEarth Embeddings,XGBoost,0.3419582455265709,0.2591451936543872,-0.0312986222295057,0.5996838294680562
Conventional,CatBoost,0.1711244530057725,0.2502273337824258,-0.1571123762142278,0.4821219155091722
Conventional,Extra Trees,1.6066501400645357,0.3215934016771395,1.181927592564502,2.008574178474001
Conventional,LightGBM,-0.1165243218242321,0.4307693000302239,-0.8764949991856736,0.1859305194192503
Conventional,Logistic Regression,0.1204361898040434,0.1927246457406499,-0.0963622348256663,0.4175226762429879
Conventional,Random Forest,1.5600139006809797,0.451032454971736,1.1576740891393051,2.231865481067969
Conventional,XGBoost,0.1402089860174215,0.4424296885834727,-0.3064204984889888,0.8743492937391477
Conventional + AlphaEarth Embeddings,CatBoost,0.5531865144556474,0.2777404117249927,0.2616137637715361,1.0117476717542748
Conventional + AlphaEarth Embeddings,Extra Trees,1.2638653489130331,0.0969627232690786,1.1917676376141888,1.4014020826171656
Conventional + AlphaEarth Embeddings,LightGBM,0.1104419715895142,0.2504013883385125,-0.2154103913009143,0.445891976447349
Conventional + AlphaEarth Embeddings,Logistic Regression,0.4050069117568099,0.2068810885899876,0.1843938531822193,0.7406314933486191
Conventional + AlphaEarth Embeddings,Random Forest,0.2913413186133014,0.3296802939789295,-0.1390827534584527,0.7647940521845756
Conventional + AlphaEarth Embeddings,XGBoost,0.8269439413677894,0.2784789190235885,0.4093746047101483,1.1353067278555855
