feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.9127588201272412,0.9307718611116046,0.8247117794486216,0.8241610738255034,0.1227259394228115,0.5264971287510459
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.9346338366022292,0.9511259123015784,0.8424101473522949,0.8768382352941176,0.0994757052618299,0.4415997325713589
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.8426242980413642,0.7325142525545585,0.6727617221385198,0.5263157894736842,0.1551724291041788,0.4877116569784357
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9572077922077922,0.9182472236567834,0.882034632034632,0.797583081570997,0.0837865660990374,0.4048708473255333
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9677519843494948,0.9573017240245488,0.9105391698752694,0.8927875243664717,0.0832196874980059,0.5384300556041217
conventional_v3,Conventional v3,random_forest,Random Forest,1,2592,724,399,325,0.956059379217274,0.960561799401375,0.8361750530171583,0.8155619596541787,0.1131801809570874,0.535607335201545
conventional_v3,Conventional v3,random_forest,Random Forest,2,2411,905,532,373,0.968775826966881,0.9754076556330716,0.9087413574149852,0.912142152023692,0.08516750680039,0.4991736057056404
conventional_v3,Conventional v3,random_forest,Random Forest,3,2673,643,196,447,0.942758982787746,0.9034218265800398,0.8266675797835913,0.7833827893175074,0.097451238251604,0.4641372045248752
conventional_v3,Conventional v3,random_forest,Random Forest,4,2846,470,140,330,0.9602164502164504,0.913632071840492,0.8371212121212122,0.7777777777777778,0.0807227811471732,0.4609028375289253
conventional_v3,Conventional v3,random_forest,Random Forest,5,2742,574,241,333,0.9781690404097044,0.9672582512781788,0.8805402913286731,0.8628318584070797,0.0704693683200025,0.4787865555450402
