feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,Northern high mountains / KKH-Kashgar,logistic_l2,1420,1896,601,907,989,0.8981965902769495,0.8980915682093322,0.7994672377408383,0.759344262295082,0.9368932038834952,0.6383682469680264,0.1562335627390133,0.5199999999999999
Conventional,Northern high mountains / KKH-Kashgar,random_forest,1420,1896,601,907,989,0.9152240243561204,0.916243454515238,0.8350861683591169,0.8294277929155314,0.8200431034482759,0.8390297684674752,0.1497193467282066,0.3749999999999999
Conventional,Northern high mountains / KKH-Kashgar,extra_trees,1420,1896,601,907,989,0.9030314718797622,0.909060656603977,0.7342715850095259,0.7666815942678011,0.6455505279034691,0.9437706725468578,0.166088798496227,0.3549999999999999
Conventional,Northern high mountains / KKH-Kashgar,xgboost,1420,1896,601,907,989,0.9332179888364066,0.9344410314478026,0.7396443569451396,0.7734513274336283,0.6459719142645972,0.9636163175303196,0.1022243481977853,0.175
Conventional,Northern high mountains / KKH-Kashgar,lightgbm,1420,1896,601,907,989,0.91785940828719,0.914073896916346,0.7727371538968343,0.7956003666361137,0.6807843137254902,0.9570011025358324,0.121961336746051,0.05
Conventional,Northern high mountains / KKH-Kashgar,catboost,1420,1896,601,907,989,0.9294142959545072,0.9335316805639392,0.7631342786082409,0.7869605142332415,0.6742722265932337,0.9448732083792724,0.1131422513189129,0.295
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,logistic_l2,1420,1896,601,907,989,0.93285790888305,0.9314001052147802,0.8336458485456895,0.8078134845620668,0.9426470588235294,0.7067254685777288,0.1385137488980159,0.4699999999999999
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,random_forest,1420,1896,601,907,989,0.8482904005805871,0.8276938783599661,0.7883627287148713,0.7757166947723441,0.7912844036697247,0.7607497243660419,0.1986849024261155,0.3449999999999999
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,extra_trees,1420,1896,601,907,989,0.8302730253293394,0.8084372229305553,0.7701820354662032,0.7412333736396615,0.820615796519411,0.6758544652701213,0.2014391354702928,0.4099999999999999
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,xgboost,1420,1896,601,907,989,0.8904119515330153,0.8781053498801732,0.8112958084686792,0.7967853042479908,0.8311377245508982,0.7651598676957001,0.1538891897041295,0.29
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,lightgbm,1420,1896,601,907,989,0.8807421883273896,0.8682696382517658,0.7902160814159727,0.7639225181598063,0.8469798657718121,0.6957001102535832,0.1946932699370188,0.1999999999999999
