feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold,mean_abs_standardized_mean_difference,mean_js_divergence
Conventional,Northern high mountains / KKH-Kashgar,Spatial-CV Stacked Ensemble,1420,1896,601,907,989,0.9354921780155024,0.941260844323238,0.8001801514565401,0.8132183908045977,0.7188823031329382,0.936052921719956,0.1092962772253945,0.3799999999999999,0.5634074790161062,0.1320272931037235
AlphaEarth Embeddings,Northern high mountains / KKH-Kashgar,Spatial-CV Stacked Ensemble,1420,1896,601,907,989,0.8977852295872012,0.9018981070873772,0.8263422454050788,0.7971938775510204,0.94553706505295,0.6890848952590959,0.1271486285365417,0.6,0.8244772143657249,0.1259113048395834
Conventional + AlphaEarth,Northern high mountains / KKH-Kashgar,Spatial-CV Stacked Ensemble,1420,1896,601,907,989,0.9521439249606752,0.9520869046577256,0.8974959393460369,0.8905444126074499,0.9272076372315036,0.856670341786108,0.0829959084014503,0.3999999999999999,0.7647142629001493,0.1273113503458323
Conventional,Western Pakistan / Balochistan,Spatial-CV Stacked Ensemble,2657,659,1171,337,322,0.893064489374643,0.9030378533430226,0.8145354516467922,0.8069073783359497,0.8566666666666667,0.7626112759643917,0.1427688054580338,0.4049999999999999,0.459274963572289,0.1228893245336571
AlphaEarth Embeddings,Western Pakistan / Balochistan,Spatial-CV Stacked Ensemble,2657,659,1171,337,322,0.910804135871869,0.9161892488717874,0.834339347918241,0.8394698085419735,0.8333333333333334,0.8456973293768546,0.1225878083580026,0.4649999999999999,0.6549350191198164,0.1001309153165473
Conventional + AlphaEarth,Western Pakistan / Balochistan,Spatial-CV Stacked Ensemble,2657,659,1171,337,322,0.9582542344766574,0.961162002334636,0.8882724809701974,0.8871951219512195,0.9122257053291536,0.8635014836795252,0.083444880003528,0.4749999999999999,0.6101453678499005,0.1053406716433555
Conventional,Indus lowland and central corridor,Spatial-CV Stacked Ensemble,2963,353,1420,88,265,0.9827186963979416,0.9272001064861786,0.947105488850772,0.8854166666666666,0.8173076923076923,0.9659090909090908,0.046909980688571,0.4099999999999999,0.6956070290424821,0.1420069426828702
AlphaEarth Embeddings,Indus lowland and central corridor,Spatial-CV Stacked Ensemble,2963,353,1420,88,265,0.9861492281303602,0.941314991503494,0.9660162950257288,0.9157894736842104,0.8529411764705882,0.9886363636363636,0.0380582851005348,0.4849999999999999,0.7386073863721625,0.1150426905785553
Conventional + AlphaEarth,Indus lowland and central corridor,Spatial-CV Stacked Ensemble,2963,353,1420,88,265,0.9871783876500858,0.935168950304662,0.9603130360205832,0.918918918918919,0.8762886597938144,0.9659090909090908,0.0296571810304911,0.3899999999999999,0.7287639310798261,0.1212152302168925
Conventional,Southern/coastal corridor,Spatial-CV Stacked Ensemble,3097,219,1409,99,120,0.9216329966329968,0.9049027328425576,0.8486111111111111,0.8380952380952381,0.7927927927927928,0.8888888888888888,0.1089609048151199,0.3499999999999999,0.6285193019494528,0.1278207620898799
AlphaEarth Embeddings,Southern/coastal corridor,Spatial-CV Stacked Ensemble,3097,219,1409,99,120,0.924074074074074,0.8846789135493252,0.8578282828282828,0.8476190476190476,0.8018018018018018,0.898989898989899,0.1099137661131946,0.5099999999999999,0.6680634866429711,0.1123012474158432
Conventional + AlphaEarth,Southern/coastal corridor,Spatial-CV Stacked Ensemble,3097,219,1409,99,120,0.938804713804714,0.9035217596427744,0.8696969696969697,0.8611111111111112,0.7948717948717948,0.9393939393939394,0.0997334730128544,0.5449999999999999,0.6590112033998765,0.1158539074014661
Conventional,Transitional foothills and plateaus,Spatial-CV Stacked Ensemble,3127,189,1431,77,112,0.9637059369202228,0.9590060936334418,0.8015422077922079,0.7755102040816326,0.6386554621848739,0.987012987012987,0.1243145569817154,0.3849999999999999,0.4132045453688445,0.1204739731160036
AlphaEarth Embeddings,Transitional foothills and plateaus,Spatial-CV Stacked Ensemble,3127,189,1431,77,112,0.8625927643784788,0.8340743259509726,0.8027597402597403,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.1480875418790485,0.61,0.5230911895807675,0.0826453981897611
Conventional + AlphaEarth,Transitional foothills and plateaus,Spatial-CV Stacked Ensemble,3127,189,1431,77,112,0.9696196660482376,0.9619541001423708,0.9070616883116884,0.8848484848484849,0.8295454545454546,0.948051948051948,0.0787659076183139,0.4849999999999999,0.4979364156045442,0.0913049514861299
