segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
411,0.30848614532409524,N25,False,Highway,1,Balochistan,3,0.9728043,0.97922295,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13082923,1.0,0.0,1.35,619
813,2.4424752256115205,N55,False,Highway,1,KP-AJK,5,0.9496247,0.9726686,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3067537,1.0,0.0,1.35,823
1060,9.999999999999993,N45,False,Major road,2,KP-AJK,10,0.97551376,0.98699063,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06724969,1.0,0.0,1.35,1058
1659,9.999999999999948,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.8737963,0.9071829,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.39061463,1.0,0.0,1.35,1663
1653,10.00000000000004,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.9791943,0.98988867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.21064419,1.0,0.0,1.35,1664
1671,10.000000000000012,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9179758,0.93474597,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.35223022,1.0,0.0,1.35,1676
1672,10.000000000000012,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.88821775,0.920543,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.37071654,1.0,0.0,1.35,1707
1676,10.000000000000059,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.92727315,0.9732602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29863045,1.0,0.0,1.35,1706
967,9.999999999999995,unknown,False,Major road,2,KP-AJK,10,0.9517087,0.98440206,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.26832014,1.0,0.0,1.35,983
1565,10.000000000000039,N15,False,Major road,2,KP-AJK,11,0.97425437,0.9885642,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.21192674,1.0,0.0,1.35,1571
1624,4.167247565622875,N35,True,Highway,1,Gilgit-Baltistan,6,0.9674918,0.9896058,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11884687,1.0,0.0,1.35,1629
1618,10.000000000000046,N35,True,Highway,1,Gilgit-Baltistan,11,0.99409425,0.994781,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.008969641,1.0,0.0,1.35,1615
1660,10.000000000000055,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.8905451,0.9460973,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.37293136,1.0,0.0,1.35,1662
1668,2.769286421341573,219,False,Major road,2,"Kashgar (Xinjiang, China)",5,0.954079,0.9638655,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23841143,1.0,0.0,1.35,1661
1650,10.000000000000062,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.8777008,0.9702882,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3862425,1.0,0.0,1.35,1650
1649,9.999999999999956,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.8477899,0.9303474,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.40930074,1.0,0.0,1.35,1651
1640,6.113761840626358,N35,True,Highway,1,Gilgit-Baltistan,8,0.9216147,0.9808995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27138874,1.0,0.0,1.35,1656
1651,9.99999999999999,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.88761884,0.9387695,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.40096197,1.0,0.0,1.35,1649
1781,10.0,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.90566885,0.98656493,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29267585,1.0,0.0,1.35,1800
1553,10.0,N90,False,Major road,2,KP-AJK,11,0.96534103,0.98582196,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13263096,1.0,0.0,1.35,1550
1564,9.999999999999995,N15,False,Major road,2,KP-AJK,10,0.9456337,0.97709864,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2514531,1.0,0.0,1.35,1572
1567,9.999999999999996,N15,False,Major road,2,KP-AJK,10,0.9685071,0.98589325,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.22722013,1.0,0.0,1.35,1569
1572,9.999999999999998,N15,False,Major road,2,KP-AJK,10,0.95278823,0.98984474,0.0,0.0,0.0,0.99992836,0.0,0.0,1.0,0.0,0.130442,1.0,0.0,1.34992835521698,1565
1543,9.999999999999975,N35,True,Highway,1,KP-AJK,10,0.9880036,0.9926561,0.0,0.0,0.0,0.9998951,0.0,0.0,1.0,0.0,0.01879304,1.0,0.0,1.3498950958251954,1555
1451,9.999999999999988,unknown,False,Major road,2,KP-AJK,10,0.946499,0.99350584,0.0,0.0,0.0,0.999869,0.0,0.0,1.0,0.0,0.18289295,1.0,0.0,1.3498689889907838,1452
