road_group,domain,segment_count,total_length_km,reliable_high_weighted_length_km,reliable_very_high_weighted_length_km,uncertain_high_weighted_length_km,outside_aoa_weighted_length_km,mean_probability_length_weighted,mean_transfer_confidence_length_weighted,mean_reliability_aware_score_length_weighted
All clipped roads,All domains,1803,17066.00663933656,4.636363636363648,41.45454545454541,10595.047497787797,14695.39250076007,0.3646526055764394,0.020148154070093183,0.006109462556162481
All clipped roads,"Kashgar (Xinjiang, China)",163,1606.0439532652745,2.8181818181818232,6.818181818181816,1437.589407810729,1360.7689075106778,0.5886687778462274,0.020302458130257637,0.01376158184106759
All clipped roads,Gilgit-Baltistan,44,418.5019817473797,0.0,0.0,418.5019817473797,306.24527032937976,0.9846969405025303,0.026945233044960763,0.02624889147625825
All clipped roads,KP-AJK,309,2869.1347530352605,0.90909090909091,1.909090909090909,2382.882562244217,2723.8131367011256,0.5701577014554642,0.004703487444245421,0.003900417957156027
All clipped roads,Balochistan,441,4287.786714358651,0.909090909090915,32.72727272727269,4050.2361546672046,2546.621465797296,0.5001007329578068,0.06528127788871649,0.013353898531861395
All clipped roads,Punjab-Sindh lowland corridor,846,7884.539236929993,0.0,0.0,2305.837391318264,7757.943720421588,0.13766862570786945,0.0008317698821312182,0.00034595765681843263
KKH proxy routes (N35 / 314),All domains,148,1448.2228819979132,3.7272727272727333,7.727272727272726,1380.1319729070042,1112.784352398095,0.7483513242356288,0.029662025186601337,0.023900087984545626
KKH proxy routes (N35 / 314),"Kashgar (Xinjiang, China)",72,715.4032008400559,2.8181818181818232,6.818181818181816,654.675928112783,539.6759281127829,0.6028046027363577,0.03681241995596842,0.025742796883874007
KKH proxy routes (N35 / 314),Gilgit-Baltistan,41,388.5019817473798,0.0,0.0,388.5019817473798,279.06345214756163,0.9854349186387561,0.028671920810078324,0.02793067274326277
KKH proxy routes (N35 / 314),KP-AJK,33,324.31769941047776,0.90909090909091,0.90909090909091,317.8631539559323,274.04497213775056,0.8102310716135795,0.016904419614509104,0.016480917659147932
KKH proxy routes (N35 / 314),Punjab-Sindh lowland corridor,2,20.000000000000007,0.0,0.0,19.090909090909097,20.000000000000007,0.3457736670970917,0.0,0.0
