factor,vif
rain_monsoon_total,3.876228793338526
rain_max_1day,3.657176982627062
ndvi_median,2.811568780849187
elevation_m,2.6974565266218016
valley_depth,1.8860523699575333
tri,1.805133990546178
ndvi_amplitude,1.788615928322646
lithology_code,1.7063784413417842
log1p_dist_river_m,1.5563906456925485
slope_deg,1.4994574896391986
modis_lc_type1,1.472720225967364
twi,1.4692327750609144
plan_curvature,1.3763613807006891
aspect_deg,1.3427472679733978
log1p_dist_fault_m,1.3159115554241756
log1p_dist_road_m,1.3088661569810431
soil_type,1.3056622575957828
eq_density_ms5,1.2380649146488332
profile_curvature,1.2169236276041018
