path,feature_count,geometry_type,crs,relevant_to_lsm,has_temporal_fields,temporal_fields,all_columns
D:\CPEC data\中巴经济走廊1：25万大于5级地震分布（1970-2015年）\中巴经济走廊1：25万大于5级地震分布（1970-2015年）\大于5级地震.shp,266,Point,EPSG:32642,True,True,日期; 时间,OBJECTID|日期|时间|纬度|经度|深度_km_|最大值|Ms|Ms7|mL|mb|mB1|参考地点
C:\Users\Administrator\Desktop\cpec landslides\HMA_LS_Cat_2-20260421_073021\HMA_LS_Cat_point_v02.0.shp,2801,Point,EPSG:4326,True,True,ev_date; ev_time; sub_date; edit_date,src_name|src_link|ev_id|ev_date|ev_time|ev_title|ev_desc|loc_desc|loc_accu|ls_cat|ls_trig|ls_size|ls_setting|fatalities|injuries|storm_name|photo_link|comments|ev_imp_src|ev_imp_id|latitude|longitude|ctry_name|ctry_code|div_name|gaz_point|gaz_dist|sub_date|edit_date
C:\Users\Administrator\Desktop\cpec landslides\HMA_LS_Cat_2-20260421_073021\HMA_LS_Cat_poly_v02.0.shp,1,Polygon,EPSG:4326,True,True,ev_date; ev_time; sub_date; edit_date,src_name|src_link|ev_id|ev_date|ev_time|ev_title|ev_desc|loc_desc|loc_accu|ls_cat|ls_trig|ls_size|ls_setting|fatalities|injuries|storm_name|photo_link|comments|ev_imp_src|ev_imp_id|latitude|longitude|ctry_name|ctry_code|div_name|gaz_point|gaz_dist|sub_date|edit_date|Shape_Leng|Shape_Area
D:\CPEC data\中巴经济走廊北部山区1：25万地质灾害点（1990-2019年）\中巴经济走廊北部山区1：25万地质灾害点（1990-2019年）\中巴经济走廊北部山区地质灾害点.shp,2044,Point Z,EPSG:4326,True,False,,OBJECTID_1|OBJECTID_2|OBJECTID|OID_|Name|FolderPath|SymbolID|AltMode|Base|Clamped|Extruded|Snippet|PopupInfo|Shape_Leng|ORIG_FID|OBJECTID_3|Shape_Le_1|面积
D:\CPEC data\中巴经济走廊1：25万地质灾害点（1990-2019年）\中巴经济走廊1：25万地质灾害点（1990-2019年）\中巴经济走廊地质灾害点.shp,2369,Point Z,EPSG:4326,True,False,,OBJECTID_1|OBJECTID|OID_|Name|FolderPath|SymbolID|AltMode|Base|Clamped|Extruded|Snippet|PopupInfo|Shape_Leng|ORIG_FID|OBJECTID_2|Shape_Le_1|面积
C:\Users\Administrator\Desktop\cpec landslides\buffer study area\studyarea.shp,1,Polygon,EPSG:32642,True,False,,OBJECTID|Shape_Leng|Shape_Area
C:\Users\Administrator\Desktop\cpec landslides\kkh\kkh.shp,1,LineString,,True,False,,OBJECTID|LAYER|MAP_NAME|GP_RTP|GP_REX|GP_RAV|GP_RRG|GP_RCY|GP_RSE|GP_RSI|GP_RSY|gp_gripreg|Shape_Leng|LINE_STYLE|LINE_COLOR|LINE_WIDTH|osm_id|name|ref|type|oneway|maxspeed|Shape_Le_1
C:\Users\Administrator\Desktop\cpec landslides\RAW DATA\CPEC rockfall\rock_fall_area.shp,962,Polygon Z,EPSG:4490,True,False,,灾害编号|经度|纬度|国家|河左_右岸|崩塌类型|面积_万m2|堆积体厚_m|体积_万m3|后缘高程_m|前后高差_m|后缘高差_m|前后平距_m|前后斜长_m|滑向（°）|崩塌宽度_m|路走向（°|微地貌类型|诱发因素|承灾体|其它特征
C:\Users\Administrator\Desktop\cpec landslides\RAW DATA\CPEC rockfall\rock_fall_area1.shp,962,Polygon Z,,True,False,,????|??|??_1|??_12|??_??|????_1|??_?m2|????_m|??_?m3|????_m_1|????_m_12|????_m_123|????_m_124|????_m_125|??(°)|????_m_126|???(°|?????|????_12|???|????_123
C:\Users\Administrator\Desktop\cpec landslides\RAW DATA\hotosm_pak_roads_lines_shp\hotosm_pak_roads_lines_shp.shp,1216700,LineString,,True,False,,name|name_en|highway|surface|smoothness|width|lanes|oneway|bridge|layer|source|name_ur|osm_id|osm_type
