feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,Balochistan,logistic_l2,2324,992,992,516,476,0.8261188196208716,0.8540331179807017,0.7298791609667123,0.7444976076555024,0.7353497164461248,0.7538759689922481,0.1762871209242364,0.3849999999999999
Conventional,Balochistan,random_forest,2324,992,992,516,476,0.8788718975962476,0.893911859868427,0.7849814344342388,0.7872763419483101,0.8081632653061225,0.7674418604651163,0.1865056068647478,0.295
Conventional,Balochistan,extra_trees,2324,992,992,516,476,0.9014274314376912,0.9086226274983106,0.8240749788287408,0.8272458045409674,0.8430583501006036,0.812015503875969,0.1907011141356765,0.3399999999999999
Conventional,Balochistan,xgboost,2324,992,992,516,476,0.8795355351442904,0.8874634180900349,0.80046902481923,0.8171641791044776,0.7877697841726619,0.8488372093023255,0.1823664816023026,0.18
Conventional,Balochistan,lightgbm,2324,992,992,516,476,0.8674597746075173,0.8756580302051663,0.7822861702820663,0.8058340929808568,0.7607573149741824,0.8565891472868217,0.2282907983932273,0.055
Conventional,Balochistan,catboost,2324,992,992,516,476,0.8869495472607647,0.9047891241666616,0.7933929385707772,0.7872559095580678,0.838074398249453,0.7422480620155039,0.1548212521227129,0.3749999999999999
AlphaEarth Embeddings,Balochistan,logistic_l2,2324,992,992,516,476,0.8171210344602957,0.7971271204958791,0.7392270861833106,0.77088948787062,0.7185929648241206,0.8313953488372093,0.181752455660555,0.4049999999999999
AlphaEarth Embeddings,Balochistan,random_forest,2324,992,992,516,476,0.832844765813302,0.8362464835520262,0.6957201485245261,0.7689873417721519,0.6497326203208557,0.9418604651162792,0.1741802337001825,0.3399999999999999
AlphaEarth Embeddings,Balochistan,extra_trees,2324,992,992,516,476,0.833781186893362,0.8392113826201774,0.7019493844049247,0.7676113360323886,0.6592489568845619,0.9186046511627908,0.1774947736641176,0.4149999999999999
AlphaEarth Embeddings,Balochistan,xgboost,2324,992,992,516,476,0.8295591492410919,0.8272354581237336,0.6936274509803921,0.7622884770346495,0.6524137931034483,0.9166666666666666,0.1722076308421846,0.2599999999999999
AlphaEarth Embeddings,Balochistan,lightgbm,2324,992,992,516,476,0.8231141293726792,0.8194037531612968,0.7074539117972771,0.7639699749791493,0.6705710102489019,0.8875968992248062,0.1842748680626969,0.2499999999999999
AlphaEarth Embeddings,Balochistan,catboost,2324,992,992,516,476,0.8186030226043907,0.822050120054564,0.6932203113803661,0.7641886490807354,0.6503401360544218,0.9263565891472868,0.177756998261832,0.3549999999999999
Conventional + AlphaEarth Embeddings,Balochistan,logistic_l2,2324,992,992,516,476,0.8547773760667058,0.8618305868799622,0.7510259917920656,0.7773722627737226,0.7344827586206897,0.8255813953488372,0.1725831053726025,0.3099999999999999
Conventional + AlphaEarth Embeddings,Balochistan,random_forest,2324,992,992,516,476,0.9065858901700216,0.9156089450945586,0.7808856100579766,0.821337849280271,0.7293233082706767,0.939922480620155,0.1539529503172796,0.3699999999999999
Conventional + AlphaEarth Embeddings,Balochistan,extra_trees,2324,992,992,516,476,0.9010080776496644,0.9057594936738896,0.7454074653117061,0.8022690437601296,0.6894150417827298,0.9593023255813954,0.1591271800768308,0.3899999999999999
Conventional + AlphaEarth Embeddings,Balochistan,xgboost,2324,992,992,516,476,0.9025185655657612,0.910213954034568,0.7593886391766009,0.809563066776587,0.7044476327116213,0.9515503875968992,0.1289749356551954,0.185
Conventional + AlphaEarth Embeddings,Balochistan,lightgbm,2324,992,992,516,476,0.9079905217901116,0.9088811210852858,0.8107940850758908,0.8351254480286738,0.7766666666666666,0.9031007751937984,0.1355895245100231,0.1249999999999999
Conventional + AlphaEarth Embeddings,Balochistan,catboost,2324,992,992,516,476,0.9184540095107808,0.9259821872066104,0.823969122532734,0.8422018348623853,0.7996515679442509,0.8895348837209303,0.1208839377668536,0.3449999999999999
