valid_pixels,min,p01,p05,p25,median,p75,p95,p99,max,mean,near_zero_percent_le_0_001,domain,feature_set,product
6298553,0.017189696431159973,0.021553527787327765,0.02416909672319889,0.03916662186384201,0.09609633684158325,0.3569317162036896,0.887282919883728,0.9724287962913513,0.9984959363937378,0.2407972514629364,0.0,Balochistan,Conventional,raw_probability
6298553,0.0,0.0,0.0,0.0,0.13594979047775269,0.2883760929107666,0.4427024006843566,0.5147893691062926,0.8140156269073486,0.15680502355098724,42.534896507181884,Balochistan,Conventional,transfer_confidence
6298553,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.574924111366272,42.50758864774179,Balochistan,Conventional,in_area_of_applicability
6298553,0.0,0.0,0.0,0.0,0.0059875366277992725,0.02366688661277294,0.19071220755577076,0.3055877804756164,0.5850958228111267,0.03241020813584328,42.71000021751028,Balochistan,Conventional,reliability_weighted_probability
6298553,0.03357314318418503,0.03619011133909225,0.03742912262678146,0.04831961542367935,0.0995664894580841,0.42901507019996643,0.9171093344688415,0.9615268087387084,0.9815016388893127,0.2685546875,0.0,Balochistan,AlphaEarth Embeddings,raw_probability
6298553,0.0,0.0,0.13121541738510134,0.319217324256897,0.428505539894104,0.5330549478530884,0.6837295770645141,0.7823563361167905,0.9999995231628418,0.4219256043434143,1.7590548178287935,Balochistan,AlphaEarth Embeddings,transfer_confidence
6298553,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825480580329895,1.7451944914966977,Balochistan,AlphaEarth Embeddings,in_area_of_applicability
6298553,0.0,0.0,0.009763160720467567,0.02228362485766411,0.03844501078128815,0.15508759021759033,0.3891750633716583,0.5009763669967647,0.9815008044242859,0.1061081737279892,1.9346983346809974,Balochistan,AlphaEarth Embeddings,reliability_weighted_probability
6298553,0.020474733784794807,0.02125695362687111,0.02251812517642975,0.030491650104522705,0.05812790244817734,0.22926314175128937,0.9372393369674682,0.9832709431648254,0.9948100447654724,0.20533311367034912,0.0,Balochistan,Conventional + AlphaEarth Embeddings,raw_probability
6298553,0.0,0.0,0.17464923858642578,0.3269461393356323,0.4070744514465332,0.48319852352142334,0.586525011062622,0.6429266834259031,0.8863444924354553,0.39808595180511475,1.158377170121455,Balochistan,Conventional + AlphaEarth Embeddings,transfer_confidence
6298553,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988501787185669,1.1498196490527268,Balochistan,Conventional + AlphaEarth Embeddings,in_area_of_applicability
6298553,0.0,0.0,0.00741094034165144,0.01266853604465723,0.021819360554218292,0.08393626660108566,0.3420523226261138,0.44476915121078475,0.7676158547401428,0.07603482156991959,1.3124919326708848,Balochistan,Conventional + AlphaEarth Embeddings,reliability_weighted_probability
6298553,0.0,0.0,0.006847584620118141,0.012043524533510208,0.018887123093008995,0.0547386072576046,0.2733879327774038,0.39431395769119254,0.7492726445198059,0.05749862268567085,1.3379263459400914,Balochistan,Final fused,final_fused_reliability_aware_score
6298553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032612252980470657,99.67387747630289,Balochistan,Final fused,final_reliable_high_mask
6298553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06315307319164276,93.68469234124092,Balochistan,Final fused,final_reliable_very_high_mask
6298553,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.28394776582717896,71.60522424753749,Balochistan,Final fused,final_uncertain_high_mask
6298553,0.005083940923213959,0.008133142441511153,0.010200990177690984,0.017968427389860153,0.03567005693912506,0.2665938436985016,0.6682843685150146,0.8334025430679322,1.0,0.16459517180919647,0.0,Balochistan,Final fused,field_verification_priority_score
6298553,2.1966738131595775e-05,0.005034427475184202,0.00634282948449254,0.01185252983123064,0.03689467906951904,0.11186598241329193,0.2538428723812103,0.3329027998447417,0.43558403849601746,0.073764368891716,0.011097787063155617,Balochistan,Final fused,model_disagreement_std
