segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
268,10.000000000000064,M8,False,Highway,1,Balochistan,11,0.8681393,0.99251753,0.080855064,0.07789518,0.07402826,0.88782984,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.4545454545454545,0.20855202,0.5454545454545454,0.1194828064604239,1.1696480220014398,9
291,9.999999999999917,N85,False,Major road,2,Balochistan,10,0.5290458,0.80839556,0.33000952,0.18850565,0.054313175,0.57331246,0.0,0.4,1.0,0.9,0.31351408,0.0999999999999999,0.1143131753802299,0.8333124613761902,12
505,10.000000000000092,N65,False,Highway,1,Balochistan,11,0.9844713,0.9916536,0.12887134,0.12725967,0.1134015,0.8857866,0.0,0.0,0.8181818181818182,0.6363636363636364,0.0835334,0.3636363636363636,0.1134015023708343,1.1266956838694486,13
276,10.000000000000044,N85,False,Major road,2,Balochistan,11,0.84366,0.9858909,0.23280238,0.19542709,0.105593994,0.81815916,0.0,0.0,1.0,1.0,0.22886871,0.0,0.1055939942598342,1.0681591629981997,14
271,10.000000000000076,N85,False,Major road,2,Balochistan,11,0.9781855,0.9860308,0.1354423,0.13235617,0.10183816,0.9163198,0.0,0.0,1.0,0.9090909090909092,0.095964454,0.0909090909090909,0.1018381565809249,1.175410696593198,15
295,10.000000000000068,N85,False,Major road,2,Balochistan,11,0.6088628,0.8090345,0.3763955,0.22908169,0.046191834,0.6570855,0.0,0.3636363636363636,1.0,1.0,0.373493,0.0,0.1007372884587808,0.9070854783058168,16
298,9.999999999999895,N85,False,Major road,2,Balochistan,10,0.4060451,0.82492346,0.4442994,0.17830507,0.055007417,0.4616673,0.0,0.3,1.0,1.0,0.31506968,0.0,0.100007416754961,0.7116672992706299,17
170,10.000000000000032,N25,False,Highway,1,Balochistan,11,0.95119,0.99113417,0.18741693,0.18235599,0.08419912,0.93198127,0.0,0.0909090909090909,1.0,0.9090909090909092,0.31045076,0.0909090909090909,0.0978354867209087,1.1910721746358004,18
282,10.00000000000005,N85,False,Major road,2,Balochistan,11,0.88664645,0.99198556,0.2043611,0.18254508,0.09090838,0.8861134,0.0,0.0,0.9090909090909092,1.0,0.25266975,0.0,0.0909083783626556,1.1133861325003884,20
471,9.99999999999988,N40,False,Highway,1,Balochistan,10,0.542924,0.7592631,0.30621907,0.15436313,0.073209725,0.5714033,0.0,0.1,1.0,1.0,0.24626508,0.0,0.0882097253203392,0.8214033246040344,21
289,9.999999999999975,N85,False,Major road,2,Balochistan,10,0.6757759,0.9179462,0.30476123,0.17810169,0.042365428,0.7286307,0.0,0.3,1.0,1.0,0.36225325,0.0,0.0873654280602932,0.9786307215690612,22
