feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,Gilgit-Baltistan,logistic_l2,2595,721,1081,427,294,0.9330561264318372,0.9456120835278592,0.8747072599531616,0.8964705882352941,0.900709219858156,0.892271662763466,0.0995598205943969,0.4299999999999999
Conventional,Gilgit-Baltistan,random_forest,2595,721,1081,427,294,0.9699931494846182,0.9783940909379264,0.9261737481877996,0.9357142857142856,0.9515738498789348,0.9203747072599532,0.1250856029711642,0.3049999999999999
Conventional,Gilgit-Baltistan,extra_trees,2595,721,1081,427,294,0.9724147270149276,0.981195140860313,0.9212668674026988,0.927360774818402,0.9598997493734336,0.8969555035128806,0.1291455429415192,0.3599999999999999
Conventional,Gilgit-Baltistan,xgboost,2595,721,1081,427,294,0.960171422198856,0.9739895680459464,0.9088045054087208,0.9108910891089108,0.9658792650918636,0.8618266978922716,0.1312532719603988,0.2649999999999999
Conventional,Gilgit-Baltistan,lightgbm,2595,721,1081,427,294,0.9606254679857892,0.973565573495814,0.860795137727222,0.8526727509778357,0.961764705882353,0.765807962529274,0.1569939685382207,0.2199999999999999
Conventional,Gilgit-Baltistan,catboost,2595,721,1081,427,294,0.9648393315171502,0.978167092466329,0.9154120664659308,0.9208282582216808,0.9593908629441624,0.8852459016393442,0.093627038675714,0.3399999999999999
AlphaEarth Embeddings,Gilgit-Baltistan,logistic_l2,2595,721,1081,427,294,0.9645764629036628,0.9739389692657756,0.8984331437493029,0.9184149184149184,0.91415313225058,0.9227166276346604,0.0718599400354797,0.5399999999999999
AlphaEarth Embeddings,Gilgit-Baltistan,random_forest,2595,721,1081,427,294,0.9648950915260716,0.9686256293812066,0.9076893052302888,0.926829268292683,0.9193548387096774,0.9344262295081968,0.0692318423260008,0.3799999999999999
AlphaEarth Embeddings,Gilgit-Baltistan,extra_trees,2595,721,1081,427,294,0.966711274673804,0.9701333978430686,0.90459462473514,0.9212690951821386,0.9245283018867924,0.918032786885246,0.0689966484520663,0.4649999999999999
AlphaEarth Embeddings,Gilgit-Baltistan,xgboost,2595,721,1081,427,294,0.9692682693686372,0.9764069764298552,0.9083305453328872,0.9282407407407408,0.9176201372997712,0.9391100702576112,0.0626244692764662,0.4349999999999999
AlphaEarth Embeddings,Gilgit-Baltistan,lightgbm,2595,721,1081,427,294,0.9661457088690276,0.9686416915062336,0.911313705810193,0.9321058688147296,0.916289592760181,0.9484777517564404,0.0667050175984503,0.3
AlphaEarth Embeddings,Gilgit-Baltistan,catboost,2595,721,1081,427,294,0.968455766381494,0.9721700706699156,0.905152224824356,0.9292237442922374,0.9064587973273942,0.9531615925058547,0.0610633578987897,0.3949999999999999
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,logistic_l2,2595,721,1081,427,294,0.973155538562029,0.9800146653936812,0.9289617486338796,0.9443155452436196,0.935632183908046,0.9531615925058547,0.0577161409142764,0.3599999999999999
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,random_forest,2595,721,1081,427,294,0.9774331278178718,0.9826860742938792,0.9404483104717296,0.9535962877030162,0.9448275862068966,0.9625292740046838,0.0660290764461725,0.4049999999999999
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,extra_trees,2595,721,1081,427,294,0.9752266246076884,0.9803048138400374,0.9317218690754993,0.9451575262543758,0.9418604651162792,0.9484777517564404,0.0752771733235556,0.4299999999999999
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,xgboost,2595,721,1081,427,294,0.9751151045898454,0.98182703950833,0.9458570313371252,0.9539551357733176,0.961904761904762,0.9461358313817332,0.0543467166570963,0.3549999999999999
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,lightgbm,2595,721,1081,427,294,0.9783491851072982,0.9847855945609224,0.9478922716627636,0.959349593495935,0.9516129032258064,0.9672131147540984,0.0569258166313074,0.195
Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,catboost,2595,721,1081,427,294,0.9786439165830269,0.9852905985151748,0.9430969108955056,0.9530516431924884,0.9552941176470588,0.9508196721311476,0.0535552572099244,0.4199999999999999
