segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1613,10.000000000000028,N35,True,Highway,1,Gilgit-Baltistan,11,0.9936825,0.9945911,0.14575276,0.14488536,0.14242485,0.8546763,0.0,0.0,1.0,1.0,0.007918435,0.0,0.14242485165596,1.1046763062477112,6
1600,10.00000000000001,N35,True,Highway,1,Gilgit-Baltistan,11,0.99255127,0.994943,0.11976368,0.119071156,0.11683956,0.8813463,0.0,0.0,1.0,0.7272727272727273,0.011408884,0.2727272727272727,0.1168395578861236,1.1586190126158975,10
1628,9.999999999999972,N35,True,Highway,1,Gilgit-Baltistan,10,0.99172485,0.99406064,0.081672326,0.08109005,0.079447255,0.91793567,0.0,0.0,1.0,0.7,0.009833321,0.3,0.079447254538536,1.1979356694221497,28
1626,9.99999999999995,N35,True,Highway,1,Gilgit-Baltistan,10,0.98970574,0.99353534,0.06726188,0.066774756,0.06552379,0.93220997,0.0,0.0,1.0,0.6,0.024726342,0.4,0.0655237883329391,1.2222099685668946,39
1610,9.999999999999948,N35,True,Highway,1,Gilgit-Baltistan,10,0.9741688,0.99456733,0.06313087,0.0627203,0.061576672,0.935851,0.0,0.0,1.0,0.4,0.045461304,0.6,0.061576671898365,1.245850977897644,47
1612,9.999999999999908,N35,True,Highway,1,Gilgit-Baltistan,10,0.98042727,0.99464345,0.05725004,0.056898665,0.055737443,0.93669,0.0,0.0,1.0,0.4,0.018138934,0.6,0.0557374432682991,1.2466899728775025,60
1602,10.00000000000005,N35,True,Highway,1,Gilgit-Baltistan,11,0.98259735,0.9931605,0.04449997,0.044142958,0.04286911,0.95414466,0.0,0.0,1.0,0.4545454545454545,0.0373597,0.5454545454545454,0.042869109660387,1.258690111203627,72
1608,9.999999999999948,N35,True,Highway,1,Gilgit-Baltistan,10,0.9938364,0.99482775,0.043943774,0.04370323,0.042865403,0.9570303,0.0,0.0,1.0,0.6,0.011271124,0.4,0.04286540299654,1.2470302963256836,73
1607,9.999999999999956,N35,True,Highway,1,Gilgit-Baltistan,10,0.99394625,0.9949822,0.043919988,0.043644536,0.042664804,0.9572231,0.0,0.0,1.0,0.5,0.009947171,0.5,0.0426648035645484,1.257223117351532,75
1611,9.999999999999956,N35,True,Highway,1,Gilgit-Baltistan,10,0.99252224,0.9946739,0.043244995,0.042959914,0.042046018,0.9567568,0.0,0.0,1.0,0.5,0.010237835,0.5,0.0420460179448127,1.2567567706108094,77
1601,9.99999999999999,N35,True,Highway,1,Gilgit-Baltistan,10,0.98832285,0.9945616,0.04251079,0.04225486,0.041433066,0.957881,0.0,0.0,1.0,0.5,0.017244313,0.5,0.0414330661296844,1.257880973815918,81
1603,9.999999999999956,N35,True,Highway,1,Gilgit-Baltistan,10,0.987572,0.9949692,0.042281024,0.042046584,0.041195408,0.9561197,0.0,0.0,1.0,0.5,0.016810793,0.5,0.0411954075098037,1.25611971616745,82
1609,10.000000000000068,N35,True,Highway,1,Gilgit-Baltistan,11,0.9915381,0.99456733,0.041181542,0.040950272,0.040206,0.95914555,0.0,0.0,1.0,0.2727272727272727,0.014023486,0.7272727272727273,0.0402060002088546,1.2818728186867454,86
1604,9.99999999999997,N35,True,Highway,1,Gilgit-Baltistan,10,0.9860481,0.99475735,0.038590092,0.038337857,0.037403714,0.9628644,0.0,0.0,1.0,0.6,0.038221486,0.4,0.0374037139117717,1.2528643989562989,93
1614,6.452888340405099,N35,True,Highway,1,Gilgit-Baltistan,9,0.98281205,0.9933275,0.033976726,0.03365057,0.033094343,0.9596074,0.0,0.0,1.0,0.3333333333333333,0.014069359,0.6666666666666667,0.0330943427979946,1.2762740890185038,113
1625,10.000000000000018,N35,True,Highway,1,Gilgit-Baltistan,11,0.9893113,0.9935143,0.030264307,0.030039674,0.029516464,0.9682076,0.0,0.0,1.0,0.4545454545454545,0.023211984,0.5454545454545454,0.0295164640992879,1.2727530522779984,126
1605,9.999999999999966,N35,True,Highway,1,Gilgit-Baltistan,10,0.99112606,0.99462914,0.02965333,0.029468874,0.028870389,0.9709058,0.0,0.0,1.0,0.5,0.013714169,0.5,0.0288703888654708,1.2709057807922364,131
1633,7.928253035307745,N35,True,Highway,1,Gilgit-Baltistan,10,0.9934654,0.9947104,0.026987469,0.026822422,0.02633363,0.9731415,0.0,0.0,1.0,0.3,0.009186199,0.7,0.0263336300849914,1.2931414914131163,143
1619,10.000000000000009,N35,True,Highway,1,Gilgit-Baltistan,11,0.99356884,0.99472976,0.024955304,0.024815155,0.024372345,0.9748315,0.0,0.0,1.0,0.1818181818181818,0.008674276,0.8181818181818181,0.0243723448365926,1.3066497033292597,151
1629,9.999999999999998,N35,True,Highway,1,Gilgit-Baltistan,10,0.9855223,0.9942942,0.02430514,0.024125267,0.023582978,0.97358644,0.0,0.0,1.0,0.2,0.044791732,0.8,0.0235829781740903,1.3035864400863648,157
1606,10.000000000000089,N35,True,Highway,1,Gilgit-Baltistan,11,0.98394054,0.9946296,0.019420715,0.019315831,0.018969031,0.98084277,0.0,0.0,1.0,0.1818181818181818,0.041578997,0.8181818181818181,0.0189690310508012,1.3126609509641474,186
1556,10.000000000000009,N15,False,Major road,2,Gilgit-Baltistan,11,0.994014,0.99466866,0.013700322,0.013621608,0.01335715,0.9865404,0.0,0.0,1.0,0.1818181818181818,0.0091025,0.8181818181818181,0.0133571503683924,1.318358558958227,230
1627,10.00000000000007,N35,True,Highway,1,Gilgit-Baltistan,11,0.9911713,0.9931372,0.011765913,0.011676261,0.011461896,0.9877484,0.0,0.0,1.0,0.2727272727272727,0.012107179,0.7272727272727273,0.0114618958905339,1.3104756572029808,248
