feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,"Kashgar (Xinjiang, China)",logistic_l2,2470,846,1185,323,523,0.9465692687460412,0.9352501542616212,0.8753440794653375,0.8501628664495114,0.8969072164948454,0.8080495356037152,0.0800569846388177,0.4699999999999999
Conventional,"Kashgar (Xinjiang, China)",random_forest,2470,846,1185,323,523,0.9697328463437302,0.9542405941303388,0.9274754482652476,0.9074355083459787,0.8898809523809523,0.9256965944272446,0.0740637376076434,0.3799999999999999
Conventional,"Kashgar (Xinjiang, China)",extra_trees,2470,846,1185,323,523,0.9754571447176033,0.9694526878567022,0.9145469398386304,0.8872620790629575,0.8416666666666667,0.9380804953560372,0.0895303450848623,0.3849999999999999
Conventional,"Kashgar (Xinjiang, China)",xgboost,2470,846,1185,323,523,0.9642571731319076,0.9559074107078308,0.9144995826649064,0.8936825885978429,0.8895705521472392,0.8978328173374613,0.0607256961458792,0.3549999999999999
Conventional,"Kashgar (Xinjiang, China)",lightgbm,2470,846,1185,323,523,0.9593320270646248,0.9477121854787036,0.8793102427647117,0.8426966292134831,0.7712082262210797,0.9287925696594428,0.0653743977263494,0.095
Conventional,"Kashgar (Xinjiang, China)",catboost,2470,846,1185,323,523,0.9665895139378082,0.957997662456446,0.905259014142036,0.8774002954209749,0.8389830508474576,0.9195046439628484,0.0640973350615669,0.3099999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",logistic_l2,2470,846,1185,323,523,0.9273126579805716,0.894498612981496,0.8220761384960547,0.7813021702838063,0.8478260869565217,0.7244582043343654,0.1101058182040625,0.4649999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",random_forest,2470,846,1185,323,523,0.916651374245985,0.8904647866849643,0.8646472778504579,0.8318042813455657,0.8217522658610272,0.8421052631578947,0.1152482762398859,0.4849999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",extra_trees,2470,846,1185,323,523,0.9189718757584548,0.8882933225129566,0.8382870910264075,0.7993920972644377,0.7850746268656716,0.8142414860681114,0.1234638413334007,0.4999999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",xgboost,2470,846,1185,323,523,0.9208484037672632,0.8898400527282525,0.8540836682866767,0.820919175911252,0.8409090909090909,0.8018575851393189,0.101283618834512,0.4899999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",lightgbm,2470,846,1185,323,523,0.918154964511718,0.8868467468936767,0.8602312214007068,0.8262195121951219,0.8138138138138138,0.8390092879256966,0.1001330505073242,0.3999999999999999
AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",catboost,2470,846,1185,323,523,0.8992831307827549,0.8616954667045584,0.8464828419039951,0.8083209509658247,0.7771428571428571,0.8421052631578947,0.1150339761526303,0.4099999999999999
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",logistic_l2,2470,846,1185,323,523,0.9707155076985003,0.9656564092028124,0.910950754458974,0.8815028901734104,0.8265582655826558,0.9442724458204336,0.0587050136200607,0.3
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",random_forest,2470,846,1185,323,523,0.9563011679462968,0.9418878713214736,0.8875030338189417,0.8571428571428571,0.8252148997134671,0.891640866873065,0.0897147671650975,0.4149999999999999
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",extra_trees,2470,846,1185,323,523,0.9499671459607292,0.9351479891791614,0.8699305625440275,0.834054834054834,0.7810810810810811,0.8947368421052632,0.1061972801210003,0.4399999999999999
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",xgboost,2470,846,1185,323,523,0.9618715555055676,0.9547621506314228,0.9149553954619988,0.8922610015174507,0.875,0.9102167182662538,0.0626006656540322,0.3449999999999999
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",lightgbm,2470,846,1185,323,523,0.9624457612369692,0.9536463787442782,0.9179596161701068,0.8981481481481481,0.8953846153846153,0.9009287925696594,0.0636544482899048,0.245
Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",catboost,2470,846,1185,323,523,0.9668736569801514,0.9591485735783328,0.9131351040969876,0.887240356083086,0.8518518518518519,0.9256965944272446,0.0606446833871226,0.3449999999999999
