valid_pixels,min,p01,p05,p25,median,p75,p95,p99,max,mean,near_zero_percent_le_0_001,domain,feature_set,product
3745471,0.015894819051027298,0.01752716787159443,0.020606662146747112,0.029499007388949394,0.04640534520149231,0.10276751220226288,0.6628133654594421,0.9730233728885649,0.9986933469772339,0.12545619904994965,0.0,"Kashgar (Xinjiang, China)",Conventional,raw_probability
3745470,0.0,0.0,0.0,0.0,0.08192893862724304,0.14988748729228973,0.2722795337438583,0.3841662323474884,0.7443668842315674,0.09543894231319427,27.420056761901712,"Kashgar (Xinjiang, China)",Conventional,transfer_confidence
3745470,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7277970314025879,27.22029545023722,"Kashgar (Xinjiang, China)",Conventional,in_area_of_applicability
3745470,0.0,0.0,0.0,0.0,0.0034679684322327375,0.00825537322089076,0.030824669077992403,0.0888968750834467,0.5261824727058411,0.008132913149893284,31.890043172151962,"Kashgar (Xinjiang, China)",Conventional,reliability_weighted_probability
3745471,0.03193853795528412,0.035286495089530946,0.035801950842142105,0.03718598373234272,0.04432354122400284,0.07905042916536331,0.6574510931968689,0.9429191827774047,0.9801119565963745,0.12129522860050201,0.0,"Kashgar (Xinjiang, China)",AlphaEarth Embeddings,raw_probability
3745470,0.0,0.0,0.08038912415504457,0.2606499046087265,0.39623287320137024,0.5422785729169846,0.7199340790510178,0.8040688878297806,0.9999996423721313,0.4004612863063812,1.9659481987574323,"Kashgar (Xinjiang, China)",AlphaEarth Embeddings,transfer_confidence
3745470,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9805786609649658,1.9421327630444245,"Kashgar (Xinjiang, China)",AlphaEarth Embeddings,in_area_of_applicability
3745470,0.0,0.0,0.005286230938509107,0.014871564693748951,0.02065772283822298,0.027143373619765043,0.19037195816636043,0.383247646689415,0.980110764503479,0.04074571281671524,2.288844924669,"Kashgar (Xinjiang, China)",AlphaEarth Embeddings,reliability_weighted_probability
3745471,0.02040240168571472,0.0211415683850646,0.021702664904296398,0.023997056297957897,0.030443839728832245,0.05259843170642853,0.4019644558429718,0.9552835285663603,0.9949557185173035,0.08417714387178421,0.0,"Kashgar (Xinjiang, China)",Conventional + AlphaEarth Embeddings,raw_probability
3745470,0.0,0.0,0.15140109658241271,0.2892039716243744,0.37780097126960754,0.4650876224040985,0.5743928313255309,0.6321384185552598,0.8787308931350708,0.3728346824645996,1.137881227189111,"Kashgar (Xinjiang, China)",Conventional + AlphaEarth Embeddings,transfer_confidence
3745470,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988707423210144,1.129257476364782,"Kashgar (Xinjiang, China)",Conventional + AlphaEarth Embeddings,in_area_of_applicability
3745470,0.0,0.0,0.006599264778196811,0.009933436522260308,0.012185617815703154,0.016418072395026684,0.08885523639619342,0.28555547177791607,0.6969653367996216,0.024734588339924812,1.244943892221804,"Kashgar (Xinjiang, China)",Conventional + AlphaEarth Embeddings,reliability_weighted_probability
3745470,0.0,0.0,0.005819737724959851,0.009377815295010805,0.011596634984016418,0.014667392941191792,0.05115194171667095,0.22301921844482442,0.68330979347229,0.01951363869011402,1.3044023847474415,"Kashgar (Xinjiang, China)",Final fused,final_fused_reliability_aware_score
3745470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0009147049859166145,99.9085295036404,"Kashgar (Xinjiang, China)",Final fused,final_reliable_high_mask
3745470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005081338342279196,99.49186617433861,"Kashgar (Xinjiang, China)",Final fused,final_reliable_very_high_mask
3745470,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.10455536842346191,89.54446304469133,"Kashgar (Xinjiang, China)",Final fused,final_uncertain_high_mask
3745470,0.003395154606550932,0.008195852134376765,0.009743877174332737,0.013389457482844591,0.019505315460264683,0.03653642348945141,0.4658164307475089,0.8251846849918367,1.0,0.07398849725723267,0.0,"Kashgar (Xinjiang, China)",Final fused,field_verification_priority_score
3745470,5.810641960124485e-05,0.004466861318796873,0.005513258697465062,0.007050491753034294,0.012722203508019447,0.045883432030677795,0.24391802549362174,0.35799438446760184,0.4407864212989807,0.04814254119992256,0.012201405965072474,"Kashgar (Xinjiang, China)",Final fused,model_disagreement_std
