segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1692,10.000000000000025,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.98867553,0.9938898,0.24585944,0.24340276,0.23197295,0.7677112,0.0909090909090909,0.0909090909090909,0.6363636363636364,1.0,0.030221557,0.0,0.2774274931712583,0.9268021312626924,1
1688,9.999999999999982,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.9663774,0.98928934,0.31356466,0.3050002,0.2131964,0.7791959,0.0,0.4,0.8,1.0,0.19555071,0.0,0.2731963968276977,0.9791959047317504,2
1700,10.000000000000044,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9854414,0.9933967,0.16519915,0.16397439,0.16009718,0.8366426,0.0909090909090909,0.0909090909090909,0.7272727272727273,0.7272727272727273,0.040508535,0.2727272727272727,0.205551727251573,1.045733532038602,3
1701,9.999999999999991,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.8810829,0.9934774,0.1415804,0.1395411,0.12787256,0.81574595,0.1,0.1,0.9,0.6,0.10016264,0.4,0.1778725564479827,1.0807459497451783,4
1691,10.00000000000002,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.97421175,0.98581946,0.20697388,0.20167631,0.15124255,0.8590433,0.0,0.0,0.8181818181818182,0.9090909090909092,0.1267169,0.0909090909090909,0.1512425541877746,1.0726796637881886,5
1693,9.999999999999917,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.98185253,0.98879564,0.12947237,0.12732363,0.11608825,0.8864433,0.0,0.0,1.0,0.9,0.051537536,0.0999999999999999,0.1160882487893104,1.146443316936493,11
1686,10.000000000000025,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.96510273,0.9797598,0.19163495,0.18502945,0.09672804,0.9309565,0.0,0.0,0.9090909090909092,1.0,0.240593,0.0,0.096728041768074,1.1582292101599954,19
1696,9.999999999999922,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.99274284,0.9942025,0.08753146,0.08693708,0.084683776,0.9149289,0.0,0.0,0.9,0.6,0.019279463,0.4,0.0846837759017944,1.1799289131164552,25
1695,9.999999999999986,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.99074876,0.9941602,0.0925385,0.0916535,0.075184,0.9275055,0.0,0.0,0.9,0.4,0.042430386,0.6,0.0751840025186538,1.2125054931640626,32
1689,10.0000000000001,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.972035,0.9813161,0.119990945,0.11697263,0.06577573,0.96475375,0.0,0.0,1.0,1.0,0.23249812,0.0,0.0657757297158241,1.2147537469863892,37
1699,10.000000000000048,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9874306,0.994704,0.062067464,0.061647605,0.06033187,0.9387216,0.0,0.0,1.0,0.4545454545454545,0.037411466,0.5454545454545454,0.0603318698704242,1.243267051740126,49
1683,9.999999999999938,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.94095385,0.9924083,0.08584591,0.082854986,0.05991944,0.9483326,0.0,0.0,1.0,0.7,0.16929826,0.3,0.0599194392561912,1.2283326077461243,50
1687,10.00000000000001,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.94549924,0.95816106,0.20469579,0.19328505,0.057124153,0.96992743,0.0,0.0,1.0,1.0,0.33684865,0.0,0.0571241527795791,1.219927430152893,57
1663,10.000000000000044,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.9831005,0.98807037,0.049033735,0.04836853,0.047361135,0.94611907,0.0,0.0,1.0,0.6363636363636364,0.025201034,0.3636363636363636,0.047361135482788,1.232482706416737,70
1795,9.999999999999991,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.9452863,0.98905635,0.049522586,0.047917508,0.039840147,0.9574879,0.0,0.0,1.0,0.2,0.20000497,0.8,0.0398401468992233,1.2874878811836243,88
1702,10.000000000000002,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.6754731,0.9755991,0.089109905,0.07836029,0.03646981,0.80895495,0.0,0.0,1.0,0.6363636363636364,0.30753496,0.3636363636363636,0.0364698097109794,1.0953185905109752,95
1797,9.999999999999996,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.98712003,0.98963726,0.041733086,0.04109419,0.03608198,0.96557915,0.0,0.0,1.0,0.2,0.049338054,0.8,0.0360819809138774,1.2955791521072388,97
1796,9.999999999999972,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.98716676,0.9899435,0.038198136,0.037626963,0.034109794,0.96576595,0.0,0.0,1.0,0.2,0.035737775,0.8,0.0341097936034202,1.295765953063965,105
