domain,feature_set_key,feature_set,feature,feature_name,feature_group,mean_abs_shap,mean_shap,median_shap,feature_value_mean,feature_value_median,feature_value_shap_corr,n_domain_samples,domain_relative_importance_percent
"Kashgar (Xinjiang, China)",conventional,Conventional,log1p_dist_road_m,Distance to roads,Proximity controls,1.683804988861084,0.32456210255622864,-0.8546357154846191,8.759318344211794,9.801798734013815,-0.9141700043956019,846,24.493925268314403
"Kashgar (Xinjiang, China)",conventional,Conventional,elevation_m,Elevation,Topography/morphometry,1.1723588705062866,-1.0415538549423218,-0.7421503663063049,3225.6037014720005,3276.6109619140625,-0.9336235115656996,846,17.054035800932972
"Kashgar (Xinjiang, China)",conventional,Conventional,valley_depth,Valley depth,Topography/morphometry,0.8617533445358276,0.3107990324497223,0.23046226799488068,380.03588780612813,323.199951171875,0.9243152555322806,846,12.535728401100474
"Kashgar (Xinjiang, China)",conventional,Conventional,tri,Terrain ruggedness,Topography/morphometry,0.6740728616714478,-0.03221394494175911,0.28413835167884827,7.9845933204001565,7.231870412826538,0.7439849180310818,846,9.805583430624594
"Kashgar (Xinjiang, China)",conventional,Conventional,log1p_dist_river_m,Distance to rivers/streams,Proximity controls,0.44201913475990295,0.11357537657022476,-0.10708604007959366,8.432828671050837,9.213807140851081,-0.8958746846375844,846,6.429951048724016
"Kashgar (Xinjiang, China)",conventional,Conventional,log1p_dist_fault_m,Distance to active faults,Geology/soil/seismicity,0.3653831481933594,-0.21556967496871948,-0.11120771616697311,9.505078237571281,9.728739641775494,-0.7864469065260271,846,5.315144916041076
"Kashgar (Xinjiang, China)",conventional,Conventional,profile_curvature,Profile curvature,Topography/morphometry,0.36381810903549194,0.005423266440629959,0.09900729358196259,5.615053040409201,4.529523134231567,0.6608108994540931,846,5.292378650096753
"Kashgar (Xinjiang, China)",conventional,Conventional,aspect_deg,Aspect,Topography/morphometry,0.19075749814510345,-0.05666914954781532,-0.02211819961667061,95.88770685579196,68.0,-0.7578486706466853,846,2.774905606555526
"Kashgar (Xinjiang, China)",conventional,Conventional,lithology_code,Lithology/geology,Geology/soil/seismicity,0.18135492503643036,-0.06028648093342781,0.06476220488548279,9.643026004728132,10.0,0.5931868180446158,846,2.638128530482436
"Kashgar (Xinjiang, China)",conventional,Conventional,plan_curvature,Plan curvature,Topography/morphometry,0.1803521364927292,-0.015138193033635616,-0.08045399188995361,27.37026607990265,18.776330947875977,-0.5567287679262841,846,2.62354119536238
"Kashgar (Xinjiang, China)",conventional,Conventional,ndvi_median,NDVI median,Vegetation/land cover,0.1748693734407425,0.01963011734187603,0.06710569560527802,0.07710076835777654,0.07185000181198115,0.04210458749705211,846,2.5437846978180456
"Kashgar (Xinjiang, China)",conventional,Conventional,rain_max_1day,Max 1-day rainfall,Hydro-climate,0.13972504436969757,-0.05946420505642891,0.013908645138144493,19.39307871327051,18.28731346130371,-0.7695761343065378,846,2.032548197412212
"Kashgar (Xinjiang, China)",conventional,Conventional,ndvi_amplitude,NDVI amplitude,Vegetation/land cover,0.10921280086040497,-0.05236580967903137,-0.05697348713874817,0.19234444435914852,0.1371999979019165,-0.8380326491186211,846,1.5886935840637046
"Kashgar (Xinjiang, China)",conventional,Conventional,rain_monsoon_total,Monsoon rainfall,Hydro-climate,0.10359998047351837,-0.0020276231225579977,0.015859849750995636,87.14883950102555,75.75466537475586,0.20904790261653938,846,1.5070451722759108
"Kashgar (Xinjiang, China)",conventional,Conventional,eq_density_ms5,Earthquake density > Ms5,Geology/soil/seismicity,0.06808189302682877,0.012692500837147236,0.04934524744749069,1.7245862884160756,1.0,-0.8909848152273163,846,0.9903716944397875
"Kashgar (Xinjiang, China)",conventional,Conventional,twi,TWI,Topography/morphometry,0.06342276185750961,-0.017276445403695107,0.0022093227598816156,7.797940110202095,6.819318771362305,-0.12137424423142606,846,0.9225963811276633
"Kashgar (Xinjiang, China)",conventional,Conventional,soil_type,Soil type,Geology/soil/seismicity,0.05434548482298851,-0.004202509298920631,-0.02037528157234192,15.695035460992909,16.0,-0.3268921775892197,846,0.7905513124919333
"Kashgar (Xinjiang, China)",conventional,Conventional,modis_lc_type1,MODIS land cover,Vegetation/land cover,0.033278319984674454,-0.001181678264401853,0.013737853616476059,14.956264775413711,16.0,0.9012660148869045,846,0.4840920938896908
"Kashgar (Xinjiang, China)",conventional,Conventional,slope_deg,Slope,Topography/morphometry,0.01216723769903183,-0.0007813089760020375,-0.0010206587612628937,0.8132387706855791,1.0,0.10989201694886712,846,0.1769940182464269
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A16,AlphaEarth A16,AlphaEarth embeddings,1.0306662321090698,-0.3183256685733795,-0.6355735063552856,0.048467483557265316,0.0482276044785976,0.9557304490935496,846,14.14574766149967
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A55,AlphaEarth A55,AlphaEarth embeddings,0.5030097365379333,-0.2869177460670471,0.010888509452342987,0.00725561991004324,0.0138408308848738,0.902396664252121,846,6.90373719703863
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A44,AlphaEarth A44,AlphaEarth embeddings,0.41647592186927795,-0.22856274247169495,-0.1652427762746811,0.04347591368672719,0.0482276044785976,0.898134380157248,846,5.716072880157974
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A60,AlphaEarth A60,AlphaEarth embeddings,0.2558215856552124,-0.07671870291233063,-0.001798476791009307,-0.08444760737230064,-0.084213763475418,0.9351881792598754,846,3.5111149315896104
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A17,AlphaEarth A17,AlphaEarth embeddings,0.24676841497421265,0.11368940770626068,0.1813507080078125,0.13361305888527816,0.1301653236150741,-0.8261366684061744,846,3.3868614497152207
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A25,AlphaEarth A25,AlphaEarth embeddings,0.22699032723903656,-0.056228213012218475,-0.08269717544317245,-0.006014635390846298,-0.0138408308848738,-0.8983570983902669,846,3.115410004414357
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A45,AlphaEarth A45,AlphaEarth embeddings,0.1918289214372635,0.15665587782859802,0.15536504983901978,0.16110864866524385,0.15689349919557571,0.6581666239092673,846,2.632824703373043
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A46,AlphaEarth A46,AlphaEarth embeddings,0.19008901715278625,-0.06689708679914474,0.05935933440923691,-0.016397984612926596,-0.0074432911351323,0.866815477510506,846,2.608944764168076
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A34,AlphaEarth A34,AlphaEarth embeddings,0.18572954833507538,-0.06414617598056793,0.060786426067352295,-0.04962157687581259,-0.0553633235394954,-0.8032864785765541,846,2.5491116737724373
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A38,AlphaEarth A38,AlphaEarth embeddings,0.16138355433940887,0.0026357031892985106,-0.08340318500995636,-0.10519111102052185,-0.1137408688664436,-0.6974981577044218,846,2.214966363775865
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A15,AlphaEarth A15,AlphaEarth embeddings,0.15622377395629883,0.05795270949602127,0.09969885647296906,-0.08982964354511085,-0.0984236821532249,-0.8948490049964936,846,2.144149110804578
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A56,AlphaEarth A56,AlphaEarth embeddings,0.15270821750164032,-0.07989044487476349,0.004461626056581736,-0.2010659301029045,-0.2141330242156982,0.7314552856979382,846,2.095898597740235
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A14,AlphaEarth A14,AlphaEarth embeddings,0.13356050848960876,-0.13341788947582245,-0.12697471678256989,-0.11265992495151105,-0.0935640111565589,0.6060061289397596,846,1.8330990108887686
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A13,AlphaEarth A13,AlphaEarth embeddings,0.12455439567565918,-0.0047538974322378635,0.05173949897289276,-0.06680820189484107,-0.071111112833023,-0.8715468907499734,846,1.7094913915565306
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A22,AlphaEarth A22,AlphaEarth embeddings,0.12339519709348679,-0.07528244704008102,-0.11767544597387314,0.0010861797556451754,-0.0030142252799123,-0.47509958480152065,846,1.6935815556444491
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A02,AlphaEarth A02,AlphaEarth embeddings,0.12338148802518845,-0.0029014672618359327,0.04588364064693451,0.03368626195745019,0.0415840074419975,0.7750785409817588,846,1.6933934006290028
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A30,AlphaEarth A30,AlphaEarth embeddings,0.12334176898002625,0.05470164865255356,0.09719797968864441,0.0555918573324946,0.0482276044785976,-0.628141538124934,846,1.692848262375011
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A06,AlphaEarth A06,AlphaEarth embeddings,0.12300530076026917,0.007444818038493395,0.0019638908561319113,0.0050731534956566056,0.0088581312447786,-0.799063941505713,846,1.6882302838437284
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A48,AlphaEarth A48,AlphaEarth embeddings,0.11979897320270538,0.0035671512596309185,0.026391958817839622,-0.07847114627951124,-0.0753556340932846,0.9158187148108218,846,1.644223893475629
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A51,AlphaEarth A51,AlphaEarth embeddings,0.11819332093000412,0.030102865770459175,0.08086800575256348,0.02805729393615624,0.0246059205383062,0.6886139205530009,846,1.6221865440659493
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A36,AlphaEarth A36,AlphaEarth embeddings,0.11033141613006592,0.0006030555814504623,0.017952224239706993,-0.07369800523687803,-0.0753556340932846,0.9244767637779863,846,1.5142830172267294
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A24,AlphaEarth A24,AlphaEarth embeddings,0.10946034640073776,0.0042126975022256374,0.0484638586640358,-0.056996081711771306,-0.0384467504918575,0.8108403576509441,846,1.5023277089001605
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A08,AlphaEarth A08,AlphaEarth embeddings,0.10413890331983566,-0.08715178817510605,-0.11497870087623596,-0.12616664077508663,-0.1301653236150741,-0.7877750749185213,846,1.4292916583608541
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A37,AlphaEarth A37,AlphaEarth embeddings,0.1033545657992363,-0.0313895009458065,-0.019568126648664474,-0.04987745219146683,-0.061053441837429945,0.06529432777912093,846,1.4185267372814656
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A03,AlphaEarth A03,AlphaEarth embeddings,0.09965959191322327,0.07938321679830551,0.09349727630615234,-0.09138220168807569,-0.0984236821532249,-0.9061517387642906,846,1.367813745452468
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A26,AlphaEarth A26,AlphaEarth embeddings,0.09883476793766022,-0.03182419016957283,0.02638809010386467,-0.0074320932200462484,-0.0120569011196494,-0.7741417884321714,846,1.356493153528549
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A61,AlphaEarth A61,AlphaEarth embeddings,0.09823998063802719,-0.0074265324510633945,-0.050295695662498474,-0.019761884847490627,-0.01676278375089165,-0.85237386046894,846,1.3483297823121887
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A50,AlphaEarth A50,AlphaEarth embeddings,0.09724730998277664,-0.019534774124622345,-0.06383543461561203,-0.007990598264874126,-0.0088581312447786,-0.718165672584872,846,1.334705518546978
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A47,AlphaEarth A47,AlphaEarth embeddings,0.09536966681480408,-0.0705602839589119,-0.08255182951688766,0.04048495622010226,0.0297731645405292,0.45349202645643344,846,1.3089351327275773
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A58,AlphaEarth A58,AlphaEarth embeddings,0.09496091306209564,0.03048015758395195,-0.029522497206926346,-0.2093880972852512,-0.2069357931613922,-0.7352633532132967,846,1.3033250455224572
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A01,AlphaEarth A01,AlphaEarth embeddings,0.08445174992084503,0.0029953985940665007,-0.039854876697063446,-0.12531786713918494,-0.1301653236150741,-0.6232117897703335,846,1.1590882739097315
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A27,AlphaEarth A27,AlphaEarth embeddings,0.08096078783273697,0.025375857949256897,-0.030234243720769882,-0.01885414124367677,-0.0157477892935276,0.6606108280251601,846,1.1111753150334258
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A05,AlphaEarth A05,AlphaEarth embeddings,0.08038360625505447,0.0641435906291008,0.03681359440088272,0.15234504259647208,0.1476970463991165,0.8052304196844948,846,1.1032535798504894
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A21,AlphaEarth A21,AlphaEarth embeddings,0.07935705035924911,-0.013586285524070263,-0.04790163412690163,-0.09633516135690419,-0.084213763475418,0.6143174409314198,846,1.0891642459710125
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A33,AlphaEarth A33,AlphaEarth embeddings,0.07930964976549149,0.020267201587557793,0.03788881003856659,-0.08245768383926318,-0.0753556340932846,-0.719846120743938,846,1.0885136795534744
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A39,AlphaEarth A39,AlphaEarth embeddings,0.07878343760967255,-0.06322953850030899,-0.07312391698360443,-0.04336553592234573,-0.0384467504918575,0.7749765825360604,846,1.0812914924469885
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A09,AlphaEarth A09,AlphaEarth embeddings,0.07437022775411606,-0.06199635937809944,-0.0738239511847496,0.15559507537521788,0.1537870019674301,0.20740477993085948,846,1.0207208139391677
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A11,AlphaEarth A11,AlphaEarth embeddings,0.06945103406906128,0.04084864258766174,-0.004629157483577728,-0.04028572403262249,-0.0415840074419975,-0.7506695008309585,846,0.9532055792308052
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A43,AlphaEarth A43,AlphaEarth embeddings,0.06750726699829102,-0.0400858111679554,-0.016403239220380783,-0.15753533613062232,-0.1599999964237213,0.9049383430520356,846,0.9265276522363572
"Kashgar (Xinjiang, China)",alphaearth_embeddings,AlphaEarth Embeddings,A52,AlphaEarth A52,AlphaEarth embeddings,0.06667926907539368,0.0027359076775610447,0.015869975090026855,0.06375056709556168,0.0629911571741104,-0.5959832011299685,846,0.915163498336036
