feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,KP-AJK,logistic_l2,2965,351,1341,167,184,0.9484183806300444,0.9423598908690736,0.8760088518614944,0.8728323699421965,0.8435754189944135,0.9041916167664672,0.0914132538594138,0.4549999999999999
Conventional,KP-AJK,random_forest,2965,351,1341,167,184,0.9679120020827908,0.9651703719042892,0.8839332205154908,0.8839779005524862,0.8205128205128205,0.9580838323353292,0.0912927818181489,0.3199999999999999
Conventional,KP-AJK,extra_trees,2965,351,1341,167,184,0.9658617547513668,0.9621993804952388,0.9018484769591252,0.899135446685879,0.8666666666666667,0.934131736526946,0.1116609101468557,0.3699999999999999
Conventional,KP-AJK,xgboost,2965,351,1341,167,184,0.9673262171309556,0.9667311235683658,0.8836565998437906,0.8833333333333333,0.8238341968911918,0.9520958083832336,0.0730474371513027,0.295
Conventional,KP-AJK,lightgbm,2965,351,1341,167,184,0.9714917990106744,0.9693258127394236,0.8621940900807081,0.8648648648648649,0.7881773399014779,0.9580838323353292,0.0661258771883177,0.0999999999999999
Conventional,KP-AJK,catboost,2965,351,1341,167,184,0.9670333246550378,0.9623170234696464,0.8706228846654518,0.8726287262872628,0.7970297029702971,0.9640718562874252,0.0748625262283354,0.3299999999999999
AlphaEarth Embeddings,KP-AJK,logistic_l2,2965,351,1341,167,184,0.9530395730278574,0.9452688417353424,0.911334938818016,0.9069069069069068,0.9096385542168676,0.9041916167664672,0.0777244251755542,0.4549999999999999
AlphaEarth Embeddings,KP-AJK,random_forest,2965,351,1341,167,184,0.9560661286123404,0.9419529167585942,0.8849420723769852,0.8780487804878049,0.8944099378881988,0.8622754491017964,0.1026461642418648,0.4849999999999999
AlphaEarth Embeddings,KP-AJK,extra_trees,2965,351,1341,167,184,0.9614032803957304,0.9475013715255975,0.8964136943504296,0.8939828080229226,0.8571428571428571,0.934131736526946,0.0974913165215322,0.4649999999999999
AlphaEarth Embeddings,KP-AJK,xgboost,2965,351,1341,167,184,0.9516727414735746,0.9418831345879868,0.8756834157771414,0.8668730650154799,0.8974358974358975,0.8383233532934131,0.087645093328205,0.4849999999999999
AlphaEarth Embeddings,KP-AJK,lightgbm,2965,351,1341,167,184,0.953657901588128,0.9470470436117394,0.8868784170788857,0.8830409356725146,0.8628571428571429,0.9041916167664672,0.0833194590853036,0.4299999999999999
AlphaEarth Embeddings,KP-AJK,catboost,2965,351,1341,167,184,0.9471817235095028,0.9289404288540424,0.860989976568602,0.85,0.8888888888888888,0.8143712574850299,0.092829955924896,0.5549999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,logistic_l2,2965,351,1341,167,184,0.9682048945587088,0.967202237774525,0.9021250976308252,0.8997134670487106,0.8626373626373627,0.940119760479042,0.0622543970183989,0.3899999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,random_forest,2965,351,1341,167,184,0.9725657380890392,0.9710929641458808,0.9222045040354074,0.917933130699088,0.9320987654320988,0.9041916167664672,0.088518952114355,0.4599999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,extra_trees,2965,351,1341,167,184,0.9714267117938036,0.9650587009834553,0.9108305128872688,0.9085714285714286,0.8688524590163934,0.9520958083832336,0.0934079584551721,0.4249999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,xgboost,2965,351,1341,167,184,0.9704178599323092,0.9684640204461098,0.9197637334027596,0.9156626506024096,0.9212121212121211,0.9101796407185628,0.0671427788344705,0.3349999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,lightgbm,2965,351,1341,167,184,0.971979953137204,0.9725105371522996,0.9268582400416558,0.9239766081871345,0.9028571428571428,0.9461077844311376,0.0606619639798094,0.2249999999999999
Conventional + AlphaEarth Embeddings,KP-AJK,catboost,2965,351,1341,167,184,0.969539182504556,0.9677032748571596,0.9126692267638636,0.906832298136646,0.9419354838709676,0.874251497005988,0.0714495447354351,0.4849999999999999
