domain,n_domain_samples,factor,factor_name,r2_against_other_factors,vif,diagnostic_role
KP-AJK,351,rain_monsoon_total,Monsoon rainfall,0.8538213795025493,6.8409456635790304,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,elevation_m,Elevation,0.8535350218999135,6.827570747435965,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,lithology_code,Lithology/geology,0.7633826170511455,4.226232187751619,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,aspect_deg,Aspect,0.7355064353908725,3.780810325112502,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,log1p_dist_road_m,Distance to roads,0.6513235062135609,2.8679879998233844,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,rain_max_1day,Max 1-day rainfall,0.6290995740160642,2.6961414167890747,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,tri,Terrain ruggedness,0.5858145433212065,2.414377385480036,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,valley_depth,Valley depth,0.5829629501707168,2.3978684877263454,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,log1p_dist_river_m,Distance to rivers/streams,0.5421237020468219,2.183995992957598,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,ndvi_median,NDVI median,0.5408866225855289,2.178111223052505,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,eq_density_ms5,Earthquake density > Ms5,0.5257316827833096,2.108511076322026,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,ndvi_amplitude,NDVI amplitude,0.4886584694169521,1.9556400960817093,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,twi,TWI,0.45227454724648775,1.825732207573747,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,slope_deg,Slope,0.4126555725167226,1.7025785096573025,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,log1p_dist_fault_m,Distance to active faults,0.40096605179057776,1.669354471460439,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,soil_type,Soil type,0.3872007204450133,1.6318557044097661,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,plan_curvature,Plan curvature,0.3741260698229528,1.5977658627147484,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,modis_lc_type1,MODIS land cover,0.37119163811365985,1.5903096406035935,Domain diagnostic only; global VIF remains the final factor-selection gate.
KP-AJK,351,profile_curvature,Profile curvature,0.13420892421640263,1.1550130602754651,Domain diagnostic only; global VIF remains the final factor-selection gate.
