segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1591,10.000000000000009,N35,True,Highway,1,KP-AJK,11,0.9925678,0.99416775,0.087183766,0.08663472,0.08504043,0.91324294,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.5454545454545454,0.0099195205,0.4545454545454546,0.130494973198934,1.185970208861611,7
665,9.99999999999999,N50,False,Highway,1,KP-AJK,10,0.90668833,0.9898039,0.112874545,0.11132984,0.10662699,0.8351995,0.0,0.1,0.8,0.4,0.05510078,0.6,0.1216269874572753,1.0951994752883911,8
1595,9.999999999999982,N35,True,Highway,1,KP-AJK,10,0.9941479,0.9948455,0.07437987,0.073953666,0.072584175,0.9265908,0.0,0.0,1.0,0.8,0.008891207,0.1999999999999999,0.0725841745734214,1.1965908002853394,34
1018,3.029296425694566,N5,False,Highway,1,KP-AJK,6,0.9862203,0.9917914,0.061804306,0.06110235,0.05939856,0.9381954,0.0,0.0,1.0,0.5,0.017613653,0.5,0.0593985617160797,1.2381954073905943,51
1599,9.999999999999996,N35,True,Highway,1,KP-AJK,10,0.99385566,0.9945575,0.060428463,0.06006015,0.058776844,0.9407469,0.0,0.0,1.0,0.6,0.01010642,0.4,0.0587768442928791,1.2307469034194949,53
1597,9.999999999999972,N35,True,Highway,1,KP-AJK,10,0.99452436,0.99494183,0.057376225,0.057079118,0.056059957,0.943343,0.0,0.0,1.0,0.4,0.008724334,0.6,0.0560599565505981,1.2533429837226868,58
1545,9.999999999999911,N35,True,Highway,1,KP-AJK,10,0.99314976,0.99470913,0.0572999,0.056989312,0.05598452,0.9432542,0.0,0.0,1.0,0.3,0.01021996,0.7,0.0559845194220542,1.2632541728019715,59
1598,10.000000000000028,N35,True,Highway,1,KP-AJK,11,0.994395,0.99491346,0.05206975,0.05178274,0.050829533,0.9487337,0.0,0.0,1.0,0.5454545454545454,0.008793636,0.4545454545454546,0.0508295334875583,1.2441882328553633,67
1540,9.999999999999996,N35,True,Highway,1,KP-AJK,10,0.98612577,0.9939158,0.042123854,0.04182797,0.04088036,0.95851195,0.0,0.0,0.9,0.4,0.025916848,0.6,0.0408803597092628,1.2435119485855104,84
667,9.999999999999998,N50,False,Highway,1,KP-AJK,10,0.93703043,0.99127513,0.03734932,0.03696554,0.035932746,0.9265334,0.0,0.0,1.0,0.4,0.037442647,0.6,0.0359327457845211,1.2365334010124207,99
664,10.000000000000046,N50,False,Highway,1,KP-AJK,11,0.8315382,0.9855051,0.03607024,0.0355375,0.034194004,0.86108226,0.0,0.0,0.9090909090909092,0.0909090909090909,0.12916979,0.9090909090909092,0.0341940037906169,1.1792640740221196,104
945,10.000000000000004,unknown,False,Major road,2,KP-AJK,11,0.94634783,0.983434,0.037533496,0.03686468,0.03143193,0.97006166,0.0,0.0,0.9090909090909092,0.1818181818181818,0.25819203,0.8181818181818181,0.0314319282770156,1.2791525689038363,119
1547,9.999999999999869,N35,True,Highway,1,KP-AJK,10,0.9935015,0.99433494,0.03161633,0.031434238,0.030884337,0.96859515,0.0,0.0,1.0,0.2,0.009448208,0.8,0.0308843366801738,1.2985951471328736,122
666,9.999999999999991,N50,False,Highway,1,KP-AJK,10,0.93791926,0.9852746,0.04065569,0.039685924,0.03007863,0.968624,0.0,0.0,1.0,0.4,0.15370624,0.6,0.0300786308944225,1.2786239957809449,125
1065,9.999999999999975,N45,False,Major road,2,KP-AJK,10,0.9898073,0.9943931,0.029489983,0.029306207,0.028694713,0.9708986,0.0,0.0,1.0,0.2,0.016352048,0.8,0.0286947134882211,1.3008986282348634,132
1539,9.999999999999968,N35,True,Highway,1,KP-AJK,10,0.9717391,0.98936105,0.02797116,0.02765854,0.027049148,0.9698931,0.0,0.0,1.0,0.4,0.06949619,0.6,0.0270491484552621,1.2798930978775025,139
1064,9.999999999999966,N45,False,Major road,2,KP-AJK,10,0.9925977,0.99437284,0.025134588,0.024966896,0.02443779,0.9748198,0.0,0.0,1.0,0.3,0.010190576,0.7,0.024437790736556,1.2948197793960572,150
1015,10.000000000000002,N5,False,Highway,1,KP-AJK,11,0.7296323,0.9869019,0.032863844,0.032182477,0.024183376,0.7756132,0.0,0.0,1.0,0.1818181818181818,0.15347268,0.8181818181818181,0.0241833757609128,1.107431370561773,154
662,10.000000000000034,N50,False,Highway,1,KP-AJK,11,0.6582052,0.99303436,0.024624223,0.024099058,0.02235848,0.6997823,0.0,0.0,1.0,0.2727272727272727,0.09368565,0.7272727272727273,0.0223584808409214,1.022509584643624,166
1546,10.000000000000092,N35,True,Highway,1,KP-AJK,11,0.99243313,0.99464005,0.022209428,0.022088604,0.021702822,0.9780899,0.0,0.0,1.0,0.2727272727272727,0.011876426,0.7272727272727273,0.0217028222978115,1.300817201354287,169
971,10.000000000000004,unknown,False,Major road,2,KP-AJK,11,0.940408,0.98362696,0.031735383,0.030371932,0.021557244,0.9841613,0.0,0.0,1.0,0.4545454545454545,0.17290162,0.5454545454545454,0.021557243540883,1.288706771893935,170
993,7.376833549463582,unknown,False,Major road,2,KP-AJK,9,0.7904971,0.96714723,0.037768397,0.036165297,0.016831007,0.9287513,0.0,0.0,1.0,0.3333333333333333,0.3006419,0.6666666666666667,0.0168310068547725,1.2454179565111796,202
663,9.999999999999982,N50,False,Highway,1,KP-AJK,10,0.72116506,0.9512346,0.02427404,0.022570567,0.016315812,0.8112572,0.0,0.0,1.0,0.2,0.1732881,0.8,0.0163158122450113,1.1412571835517884,205
715,10.00000000000001,unknown,False,Major road,2,KP-AJK,11,0.96081644,0.9811474,0.030498894,0.02974223,0.015481153,0.9973253,0.0,0.0,1.0,0.4545454545454545,0.22477785,0.5454545454545454,0.0154811525717377,1.3018707557158036,211
1067,9.999999999999998,N45,False,Major road,2,KP-AJK,10,0.9924277,0.99439466,0.015788019,0.015684832,0.015332788,0.9845294,0.0,0.0,1.0,0.2,0.010930438,0.8,0.0153327882289886,1.3145293760299683,214
1571,10.000000000000016,N15,False,Major road,2,KP-AJK,11,0.9791008,0.9895733,0.017882802,0.017551817,0.014920157,0.988188,0.0,0.0,1.0,0.2727272727272727,0.07390742,0.7272727272727273,0.014920157380402,1.310915301062844,218
1063,9.99999999999998,N45,False,Major road,2,KP-AJK,10,0.9454686,0.99335974,0.015104031,0.014997736,0.0147018675,0.98439205,0.0,0.0,1.0,0.3,0.12788129,0.7,0.0147018674761056,1.3043920469284058,220
1017,10.000000000000004,N5,False,Highway,1,KP-AJK,11,0.8992937,0.98997885,0.014549461,0.01433088,0.0138243195,0.9354099,0.0,0.0,1.0,0.0909090909090909,0.07757914,0.9090909090909092,0.0138243194669485,1.276318994435397,226
943,10.000000000000002,unknown,False,Major road,2,KP-AJK,11,0.85920846,0.9835115,0.016516132,0.015802078,0.013262483,0.9580985,0.0,0.0,1.0,0.2727272727272727,0.20779005,0.7272727272727273,0.0132624832913279,1.280825743891976,232
1592,10.000000000000012,N35,True,Highway,1,KP-AJK,11,0.99370766,0.9943896,0.010643319,0.010578693,0.010383371,0.9894568,0.0,0.0,1.0,0.0909090909090909,0.009023611,0.9090909090909092,0.0103833712637424,1.330365863713351,256
1594,10.0,N35,True,Highway,1,KP-AJK,11,0.9940248,0.9947705,0.010492802,0.010433362,0.010236098,0.98967916,0.0,0.0,1.0,0.1818181818181818,0.0088544125,0.8181818181818181,0.0102360984310507,1.321497339552099,257
934,10.000000000000002,unknown,False,Major road,2,KP-AJK,11,0.90001035,0.9663051,0.04931028,0.04678428,0.009859871,0.98773575,0.0,0.0,1.0,0.5454545454545454,0.37236288,0.4545454545454546,0.0098598711192607,1.283190293745561,259
719,9.999999999999998,unknown,False,Major road,2,KP-AJK,10,0.85451317,0.98355883,0.020332616,0.019718101,0.0093029095,0.9377726,0.0,0.0,1.0,0.3,0.22467689,0.7,0.0093029094859957,1.257772572040558,261
972,9.999999999999996,unknown,False,Major road,2,KP-AJK,10,0.56021196,0.96876824,0.015331733,0.014245858,0.008782792,0.6656279,0.0,0.0,0.9,0.4,0.23752388,0.6,0.0087827919051051,0.950627896785736,268
808,9.999999999999863,N55,False,Highway,1,KP-AJK,10,0.74655914,0.98263395,0.009397501,0.009234304,0.008634353,0.8871905,0.0,0.0,1.0,0.1,0.22554564,0.9,0.00863435305655,1.2271905207633973,270
1596,10.000000000000048,N35,True,Highway,1,KP-AJK,11,0.99423563,0.9947805,0.008573836,0.008527832,0.008376398,0.99154943,0.0,0.0,1.0,0.0909090909090909,0.008646169,0.9090909090909092,0.0083763981238007,1.3324585231867705,273
804,10.00000000000015,N55,False,Highway,1,KP-AJK,11,0.69758654,0.941388,0.014636528,0.013587245,0.0077470737,0.8545285,0.0,0.0,1.0,0.2727272727272727,0.26718944,0.7272727272727273,0.0077470736578106,1.177255759455941,287
1066,10.000000000000004,N45,False,Major road,2,KP-AJK,11,0.9901989,0.9945667,0.007520871,0.007475951,0.0073252674,0.9923199,0.0,0.0,1.0,0.1818181818181818,0.014282444,0.8181818181818181,0.007325267419219,1.324138063734228,294
970,10.0,unknown,False,Major road,2,KP-AJK,11,0.58858705,0.9777777,0.009712923,0.009381288,0.0072626607,0.7629925,0.0,0.0,1.0,0.1818181818181818,0.28425762,0.8181818181818181,0.0072626606561243,1.094810683077032,296
1544,9.99999999999994,N35,True,Highway,1,KP-AJK,10,0.98801434,0.9940027,0.0056277514,0.0055915243,0.005479084,0.99389255,0.0,0.0,1.0,0.1,0.016755026,0.9,0.0054790838621556,1.333892550468445,318
716,10.000000000000009,unknown,False,Major road,2,KP-AJK,11,0.8667769,0.98739547,0.011525268,0.011196417,0.0054150545,0.95363927,0.0,0.0,1.0,0.2727272727272727,0.2078314,0.7272727272727273,0.0054150545038282,1.2763665416023948,319
