domain,feature_set_key,feature_set,feature,feature_name,feature_group,mean_abs_shap,mean_shap,median_shap,feature_value_mean,feature_value_median,feature_value_shap_corr,n_domain_samples,domain_relative_importance_percent
KP-AJK,conventional,Conventional,log1p_dist_road_m,Distance to roads,Proximity controls,1.4995770454406738,0.3599274754524231,-0.55721515417099,8.416533221101036,8.804744502429637,-0.9090597439394262,351,21.904165758784778
KP-AJK,conventional,Conventional,elevation_m,Elevation,Topography/morphometry,1.0883792638778687,0.11808985471725464,0.7717480659484863,1809.3518579814508,1198.484619140625,-0.9597226437439113,351,15.89784257960499
KP-AJK,conventional,Conventional,tri,Terrain ruggedness,Topography/morphometry,0.7062541246414185,0.3260152041912079,0.5758047699928284,10.31046382891826,10.28591251373291,0.71259088435602,351,10.316180459687553
KP-AJK,conventional,Conventional,valley_depth,Valley depth,Topography/morphometry,0.6993083357810974,0.15255174040794373,-0.000481009716168046,383.3595287181713,275.80419921875,0.9390967826441161,351,10.214724045037459
KP-AJK,conventional,Conventional,ndvi_median,NDVI median,Vegetation/land cover,0.42173653841018677,-0.2854132652282715,-0.09619862586259842,0.2766625353226709,0.2858000099658966,-0.5338368256551569,351,6.160261703097867
KP-AJK,conventional,Conventional,profile_curvature,Profile curvature,Topography/morphometry,0.4115504026412964,0.045405324548482895,0.10819657146930695,5.663962422655179,4.454958915710449,0.6998101349394807,351,6.011473878556519
KP-AJK,conventional,Conventional,log1p_dist_fault_m,Distance to active faults,Geology/soil/seismicity,0.38199272751808167,0.11958248913288116,-0.01624668948352337,8.499970340872592,9.02738506780082,-0.8588523249021114,351,5.579727995734642
KP-AJK,conventional,Conventional,log1p_dist_river_m,Distance to rivers/streams,Proximity controls,0.31860268115997314,0.012836864218115807,-0.08901511132717133,8.693436305018391,9.116455715745817,-0.8538785320415458,351,4.653796189091772
KP-AJK,conventional,Conventional,rain_max_1day,Max 1-day rainfall,Hydro-climate,0.3111368417739868,-0.3076478838920593,-0.28779011964797974,51.68211371538646,53.496726989746094,-0.12852748400163605,351,4.544743450563722
KP-AJK,conventional,Conventional,ndvi_amplitude,NDVI amplitude,Vegetation/land cover,0.1851746141910553,-0.16003042459487915,-0.09466811269521713,0.3667048428133342,0.3506999909877777,-0.834821381731388,351,2.7048263081193995
KP-AJK,conventional,Conventional,aspect_deg,Aspect,Topography/morphometry,0.17488498985767365,-0.0921742171049118,-0.08291386067867279,185.07977207977208,161.0,0.5060146284467527,351,2.5545268368923084
KP-AJK,conventional,Conventional,plan_curvature,Plan curvature,Topography/morphometry,0.16877317428588867,0.023381220176815987,0.03510110452771187,20.56480171639695,14.271723747253418,-0.593852579132658,351,2.4652521832301093
KP-AJK,conventional,Conventional,rain_monsoon_total,Monsoon rainfall,Hydro-climate,0.12873779237270355,-0.11233779042959213,-0.12352583557367325,412.2831394162952,369.61822509765625,-0.2779276596366815,351,1.8804595283218994
KP-AJK,conventional,Conventional,twi,TWI,Topography/morphometry,0.09625749289989471,-0.0025983264204114676,0.03219357132911682,6.933627605438232,6.263105392456055,-0.35543812120195534,351,1.406023175944751
KP-AJK,conventional,Conventional,eq_density_ms5,Earthquake density > Ms5,Geology/soil/seismicity,0.07808753103017807,-0.02246212214231491,0.02058642916381359,2.3618233618233617,2.0,-0.9478013616320974,351,1.1406164348672265
KP-AJK,conventional,Conventional,modis_lc_type1,MODIS land cover,Vegetation/land cover,0.07631386071443558,-0.060993313789367676,-0.05102424696087837,10.131054131054132,10.0,0.06193605950659655,351,1.1147086172491973
KP-AJK,conventional,Conventional,soil_type,Soil type,Geology/soil/seismicity,0.05063701048493385,0.0028263279236853123,-0.004881685599684715,14.866096866096866,16.0,-0.3617247273770702,351,0.7396495395575822
KP-AJK,conventional,Conventional,lithology_code,Lithology/geology,Geology/soil/seismicity,0.034931428730487823,0.018869267776608467,0.028169864788651466,19.94017094017094,21.0,-0.024408032201179736,351,0.5102397422194022
KP-AJK,conventional,Conventional,slope_deg,Slope,Topography/morphometry,0.013745670206844807,-0.0041496772319078445,-0.0037483996711671352,0.9031339031339032,1.0,-0.07203353857281658,351,0.20078157343882183
KP-AJK,alphaearth_embeddings,AlphaEarth Embeddings,A16,AlphaEarth A16,AlphaEarth embeddings,1.3151960372924805,-0.7456840872764587,-1.0960299968719482,-0.033869769965191344,-0.0415840074419975,0.925664970169787,351,16.487740718311105
