feature_set,held_out_domain,model,n_train,n_test,train_positive,test_positive,test_negative,roc_auc,pr_auc_ap,balanced_accuracy,f1,precision,recall,brier,threshold
Conventional,Punjab-Sindh lowland corridor,logistic_l2,2910,406,1433,75,331,0.9154078549848944,0.729319221056709,0.8201409869083585,0.5785123966942148,0.4191616766467065,0.9333333333333332,0.1545506621332992,0.4749999999999999
Conventional,Punjab-Sindh lowland corridor,random_forest,2910,406,1433,75,331,0.9855387713997984,0.927450207596248,0.9486404833836858,0.8152173913043478,0.6880733944954128,1.0,0.0649010966183963,0.3599999999999999
Conventional,Punjab-Sindh lowland corridor,extra_trees,2910,406,1433,75,331,0.9873917421953676,0.9459995112838152,0.94134944612286,0.8202247191011236,0.7087378640776699,0.9733333333333334,0.0735783006956799,0.3649999999999999
Conventional,Punjab-Sindh lowland corridor,xgboost,2910,406,1433,75,331,0.985337361530715,0.9266896793690091,0.9365558912386708,0.78125,0.6410256410256411,1.0,0.0470374103772566,0.3
Conventional,Punjab-Sindh lowland corridor,lightgbm,2910,406,1433,75,331,0.981631419939577,0.9064955682640008,0.9335347432024168,0.7731958762886598,0.6302521008403361,1.0,0.0433543143318346,0.1649999999999999
Conventional,Punjab-Sindh lowland corridor,catboost,2910,406,1433,75,331,0.9883987915407856,0.9457302665462072,0.9214501510574018,0.7425742574257426,0.5905511811023622,1.0,0.0605177913150585,0.3549999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,logistic_l2,2910,406,1433,75,331,0.9527895266868076,0.7949545325496263,0.8871299093655589,0.75,0.6534653465346535,0.88,0.0690725374814461,0.3949999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,random_forest,2910,406,1433,75,331,0.9709566968781472,0.8727820960283497,0.8491641490433031,0.7619047619047619,0.7777777777777778,0.7466666666666667,0.0632439751201935,0.4649999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,extra_trees,2910,406,1433,75,331,0.969385699899295,0.8851866172151843,0.8788519637462235,0.8053691275167785,0.8108108108108109,0.8,0.0709289223052809,0.4899999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,xgboost,2910,406,1433,75,331,0.9759919436052368,0.9066392819066816,0.912809667673716,0.8301886792452831,0.7857142857142857,0.88,0.0479608886493204,0.3999999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,lightgbm,2910,406,1433,75,331,0.9747432024169184,0.9008245917939032,0.8809869083585096,0.7973856209150327,0.782051282051282,0.8133333333333334,0.0506875867213713,0.4199999999999999
AlphaEarth Embeddings,Punjab-Sindh lowland corridor,catboost,2910,406,1433,75,331,0.9596777442094664,0.8692769244235239,0.8240080563947634,0.7323943661971831,0.7761194029850746,0.6933333333333334,0.0581027895046058,0.565
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,logistic_l2,2910,406,1433,75,331,0.9715609264853978,0.8798759829096195,0.9080161127895268,0.7861271676300579,0.6938775510204082,0.9066666666666666,0.0558381889409542,0.3
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,random_forest,2910,406,1433,75,331,0.9895266868076537,0.9518962127751748,0.950050352467271,0.8974358974358975,0.8641975308641975,0.9333333333333332,0.0465099066450034,0.4849999999999999
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,extra_trees,2910,406,1433,75,331,0.9873514602215508,0.943692799141971,0.95067472306143,0.8819875776397516,0.8255813953488372,0.9466666666666668,0.0596773790484853,0.4449999999999999
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,xgboost,2910,406,1433,75,331,0.9918227593152064,0.950584303641155,0.9521852970795568,0.8875,0.8352941176470589,0.9466666666666668,0.0280969043934588,0.3799999999999999
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,lightgbm,2910,406,1433,75,331,0.9891641490433032,0.9384767666166348,0.9585901309164148,0.8604651162790697,0.7628865979381443,0.9866666666666668,0.02959428686239,0.1999999999999999
Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,catboost,2910,406,1433,75,331,0.991460221550856,0.9605077094918456,0.9624974823766363,0.8902439024390244,0.8202247191011236,0.9733333333333334,0.0317930905325571,0.4149999999999999
