segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
647,9.999999999999932,N70,False,Major road,2,Punjab-Sindh lowland corridor,10,0.930658,0.9920927,0.067246385,0.06666441,0.06510909,0.91501254,0.0,0.0,0.9,0.4,0.10375993,0.6,0.0651090890169143,1.200012538433075,40
646,9.999999999999966,N70,False,Major road,2,Punjab-Sindh lowland corridor,10,0.9562647,0.99282783,0.053414892,0.052592486,0.042790078,0.9654706,0.0,0.0,1.0,0.5,0.16563909,0.5,0.0427900776267051,1.2654706120491028,74
33,10.0,M9,False,Highway,1,Punjab-Sindh lowland corridor,11,0.6220529,0.914697,0.055209983,0.038138177,0.02534827,0.661066,0.0,0.0,1.0,0.4545454545454545,0.10391276,0.5454545454545454,0.0253482703119516,0.9656114502386614,147
32,9.99999999999997,M9,False,Highway,1,Punjab-Sindh lowland corridor,10,0.402783,0.9293105,0.066312924,0.020474175,0.01721338,0.43482947,0.0,0.0,1.0,0.8,0.07073848,0.1999999999999999,0.0172133799642324,0.7048294734954834,198
6,5.236014195985486,unknown,False,Major road,2,Punjab-Sindh lowland corridor,8,0.2957474,0.7022031,0.06360013,0.03130084,0.015209487,0.36677247,0.0,0.0,0.875,0.75,0.14976835,0.25,0.015209486708045,0.610522472858429,216
36,9.999999999999996,M9,False,Highway,1,Punjab-Sindh lowland corridor,10,0.5420849,0.86036307,0.020312209,0.016139789,0.01298525,0.625123,0.0,0.0,1.0,0.2,0.1417423,0.8,0.0129852499812841,0.9551230239868164,236
31,10.000000000000004,M9,False,Highway,1,Punjab-Sindh lowland corridor,11,0.22194004,0.5626978,0.029492194,0.014109836,0.011804598,0.26440525,0.0,0.0,0.8181818181818182,0.2727272727272727,0.095308274,0.7272727272727273,0.0118045983836054,0.5416779778220437,245
223,10.000000000000094,N55,False,Highway,1,Punjab-Sindh lowland corridor,11,0.22871141,0.59828246,0.0220553,0.010644532,0.008303702,0.27824754,0.0,0.0,1.0,0.2727272727272727,0.08105553,0.7272727272727273,0.0083037018775939,0.600974807956002,276
222,10.000000000000057,N55,False,Highway,1,Punjab-Sindh lowland corridor,11,0.2586242,0.5503448,0.030268312,0.0098829875,0.0078184195,0.36436957,0.0,0.0,1.0,0.4545454545454545,0.15573637,0.5454545454545454,0.0078184194862842,0.6689150257544084,284
144,10.00000000000003,N25,False,Highway,1,Punjab-Sindh lowland corridor,11,0.517,0.9361387,0.017240334,0.009188194,0.0073070046,0.6267378,0.0,0.0,1.0,0.2727272727272727,0.17363743,0.7272727272727273,0.007307004649192,0.9494650461456992,295
886,10.0,unknown,False,Major road,2,Punjab-Sindh lowland corridor,11,0.8342628,0.99273634,0.007850126,0.0077901725,0.007198714,0.91659427,0.0,0.0,1.0,0.1818181818181818,0.21772061,0.8181818181818181,0.0071987141855061,1.2484124487096613,297
