domain,feature_set_key,feature_set,feature,feature_name,feature_group,mean_abs_shap,mean_shap,median_shap,feature_value_mean,feature_value_median,feature_value_shap_corr,n_domain_samples,domain_relative_importance_percent
Punjab-Sindh lowland corridor,conventional,Conventional,tri,Terrain ruggedness,Topography/morphometry,1.3469605445861816,-1.1638613939285278,-1.8742387294769287,3.006938397003512,1.0,0.9166707882409336,406,18.984580014886767
Punjab-Sindh lowland corridor,conventional,Conventional,log1p_dist_road_m,Distance to roads,Proximity controls,0.970103919506073,-0.21627222001552582,-0.723024308681488,9.333623224452209,9.69308487228544,-0.7892795037291055,406,13.673017785592567
Punjab-Sindh lowland corridor,conventional,Conventional,profile_curvature,Profile curvature,Topography/morphometry,0.885978639125824,-0.7248141765594482,-1.0575370788574219,2.200539354455148,0.9837508797645569,0.7827532975358218,406,12.487323725679119
Punjab-Sindh lowland corridor,conventional,Conventional,log1p_dist_fault_m,Distance to active faults,Geology/soil/seismicity,0.7505548596382141,-0.5702757835388184,-0.8213082551956177,9.865365348107323,10.152420877559157,-0.9192966186356847,406,10.5786088877172
Punjab-Sindh lowland corridor,conventional,Conventional,elevation_m,Elevation,Topography/morphometry,0.6487250924110413,0.5771875977516174,0.387901246547699,267.3042154453071,163.67120361328125,0.2759592134876439,406,9.143380980269116
Punjab-Sindh lowland corridor,conventional,Conventional,valley_depth,Valley depth,Topography/morphometry,0.55955970287323,-0.5369852185249329,-0.5967375040054321,142.6737304837833,120.8199462890625,0.8263091594719787,406,7.88664968324424
Punjab-Sindh lowland corridor,conventional,Conventional,ndvi_median,NDVI median,Vegetation/land cover,0.3253273665904999,-0.15771983563899994,-0.11321187019348145,0.27044261051479523,0.25250001251697535,-0.8047541773681164,406,4.5852890397522525
Punjab-Sindh lowland corridor,conventional,Conventional,aspect_deg,Aspect,Topography/morphometry,0.22399736940860748,-0.08227898925542831,-0.03373854607343674,182.60098522167488,184.0,0.3406810373603124,406,3.157105083555603
Punjab-Sindh lowland corridor,conventional,Conventional,log1p_dist_river_m,Distance to rivers/streams,Proximity controls,0.22051309049129486,-0.14252609014511108,-0.12883228063583374,9.225786099409273,9.49036080323033,-0.7098127522222407,406,3.1079963162900954
Punjab-Sindh lowland corridor,conventional,Conventional,ndvi_amplitude,NDVI amplitude,Vegetation/land cover,0.20520564913749695,-0.10508930683135986,-0.127163827419281,0.28873645299999734,0.2880000025033951,-0.9266478358485158,406,2.8922473499433163
Punjab-Sindh lowland corridor,conventional,Conventional,twi,TWI,Topography/morphometry,0.20340950787067413,-0.1471642404794693,-0.20517706871032715,9.001749472665082,8.575733184814453,-0.6359657476704031,406,2.866931844054825
