file,valid_pixels,nodata_pixels,min,p50,p80,p90,max,mean,std
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_high_probability_fraction_p80_250m.tif,19996413,46631271,0.0,0.0,0.5,1.0,1.0,0.20105846226215363,0.37644389271736145
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_high_probability_year_count_p80_250m.tif,19996413,46631271,0.0,0.0,4.0,8.0,8.0,1.60846772868714,3.011551183126316
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_mean_probability_250m.tif,19996413,46631271,0.02046511135995388,0.03475198522210121,0.1338452696800232,0.40077948570251465,0.9948328137397766,0.12844879925251007,0.2207818180322647
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_persistent_high_probability_mask_p80_count_ge6_250m.tif,19996413,46631271,0.0,0.0,0.0,1.0,1.0,0.18085893705036,0.384901262584801
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_temporal_range_probability_250m.tif,19996413,46631271,8.88332724571228e-05,0.012088462710380554,0.09083015471696854,0.23007257282733917,0.8829370141029358,0.06569097191095352,0.1179923340678215
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_temporal_std_probability_250m.tif,19996413,46631271,3.056069908780046e-05,0.003868651809170842,0.029374003410339355,0.07477990537881851,0.35124364495277405,0.02149331010878086,0.03911171853542328
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_theilsen_trend_slope_per_year_250m.tif,19996413,46631271,-0.1298135221004486,6.87683277647011e-05,0.0008610141230747104,0.0030011001508682966,0.12438425421714783,-0.0005575373070314527,0.009637176059186459
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_year_of_max_probability_250m.tif,19996413,46631271,2017.0,2021.0,2022.0,2023.0,2024.0,2020.7561046573703,2.0403151580236973
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_year_of_min_probability_250m.tif,19996413,46631271,2017.0,2019.0,2024.0,2024.0,2024.0,2020.189518740186,2.5066334859460437
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2018_minus_2017_fused_probability_change_250m.tif,19996413,46631271,-0.8829370141029358,-0.0009796861559152603,0.0022175994236022234,0.019419630989432335,0.7759655714035034,0.0003550527326297015,0.05047765001654625
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2019_minus_2018_fused_probability_change_250m.tif,19996413,46631271,-0.7973735332489014,4.593841731548309e-05,0.0019718464463949203,0.00482366606593132,0.8829370141029358,-0.019408954307436943,0.06931255757808685
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2020_minus_2019_fused_probability_change_250m.tif,19996413,46631271,-0.7512397766113281,0.0017805323004722595,0.015703508630394936,0.04728974029421806,0.7548748850822449,0.013895507901906967,0.05010794475674629
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2021_minus_2020_fused_probability_change_250m.tif,19996413,46631271,-0.7135566473007202,0.0005864016711711884,0.01663106307387352,0.06112370640039444,0.7858806848526001,0.015610124915838242,0.06623616069555283
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2022_minus_2021_fused_probability_change_250m.tif,19996413,46631271,-0.7471119165420532,0.00019600801169872284,0.005687362048774958,0.02120961621403694,0.6892176270484924,-0.0024280983489006758,0.05072636529803276
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2023_minus_2022_fused_probability_change_250m.tif,19996413,46631271,-0.76735919713974,-0.0012582428753376007,0.0016404278576374054,0.007201469037681818,0.6754730939865112,-0.01616464927792549,0.06336851418018341
D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2024_minus_2023_fused_probability_change_250m.tif,19996413,46631271,-0.7582207918167114,-0.0010067187249660492,0.0014500375837087631,0.009875250048935413,0.7190222144126892,-0.005247365217655897,0.04939025267958641
