"year","feature_set","model","resolution_m","size_mb","raster_path"
"2017","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.33","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2017\02_probability_maps_250m\cpec_2017_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2017","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.83","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2017\02_probability_maps_250m\cpec_2017_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2017","Conventional","Spatial-CV Stacked Ensemble","250","67.13","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2017\02_probability_maps_250m\cpec_2017_conventional_stacked_ensemble_probability_250m.tif"
"2018","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.03","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2018\02_probability_maps_250m\cpec_2018_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2018","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.65","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2018\02_probability_maps_250m\cpec_2018_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2018","Conventional","Spatial-CV Stacked Ensemble","250","67.15","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2018\02_probability_maps_250m\cpec_2018_conventional_stacked_ensemble_probability_250m.tif"
"2019","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","65.99","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2019\02_probability_maps_250m\cpec_2019_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2019","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.71","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2019\02_probability_maps_250m\cpec_2019_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2019","Conventional","Spatial-CV Stacked Ensemble","250","67.11","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2019\02_probability_maps_250m\cpec_2019_conventional_stacked_ensemble_probability_250m.tif"
"2020","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.83","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2020\02_probability_maps_250m\cpec_2020_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2020","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","67.17","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2020\02_probability_maps_250m\cpec_2020_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2020","Conventional","Spatial-CV Stacked Ensemble","250","67.15","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2020\02_probability_maps_250m\cpec_2020_conventional_stacked_ensemble_probability_250m.tif"
"2021","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.72","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2021\02_probability_maps_250m\cpec_2021_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2021","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","67.17","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2021\02_probability_maps_250m\cpec_2021_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2021","Conventional","Spatial-CV Stacked Ensemble","250","67.17","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2021\02_probability_maps_250m\cpec_2021_conventional_stacked_ensemble_probability_250m.tif"
"2022","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.7","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2022\02_probability_maps_250m\cpec_2022_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2022","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","67.22","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2022\02_probability_maps_250m\cpec_2022_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2022","Conventional","Spatial-CV Stacked Ensemble","250","67.13","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2022\02_probability_maps_250m\cpec_2022_conventional_stacked_ensemble_probability_250m.tif"
"2023","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.77","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2023\02_probability_maps_250m\cpec_2023_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2023","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","67.16","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2023\02_probability_maps_250m\cpec_2023_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2023","Conventional","Spatial-CV Stacked Ensemble","250","67.16","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2023\02_probability_maps_250m\cpec_2023_conventional_stacked_ensemble_probability_250m.tif"
"2024","AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.41","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2024\02_probability_maps_250m\cpec_2024_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2024","Conventional + AlphaEarth Embeddings","Spatial-CV Stacked Ensemble","250","66.99","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2024\02_probability_maps_250m\cpec_2024_conventional_alphaearth_embeddings_stacked_ensemble_probability_250m.tif"
"2024","Conventional","Spatial-CV Stacked Ensemble","250","67.1","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\2024\02_probability_maps_250m\cpec_2024_conventional_stacked_ensemble_probability_250m.tif"
