"product","resolution_m","size_mb","raster_path"
"cpec_2017_2024_fused_high_probability_fraction_p80_250m","250","4.67","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_high_probability_fraction_p80_250m.tif"
"cpec_2017_2024_fused_high_probability_year_count_p80_250m","250","2.42","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_high_probability_year_count_p80_250m.tif"
"cpec_2017_2024_fused_mean_probability_250m","250","66.62","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_mean_probability_250m.tif"
"cpec_2017_2024_fused_persistent_high_probability_mask_p80_count_ge6_250m","250","0.97","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_persistent_high_probability_mask_p80_count_ge6_250m.tif"
"cpec_2017_2024_fused_temporal_range_probability_250m","250","67.79","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_temporal_range_probability_250m.tif"
"cpec_2017_2024_fused_temporal_std_probability_250m","250","68.66","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_temporal_std_probability_250m.tif"
"cpec_2017_2024_fused_theilsen_trend_slope_per_year_250m","250","71.33","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_theilsen_trend_slope_per_year_250m.tif"
"cpec_2017_2024_fused_year_of_max_probability_250m","250","6.4","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_year_of_max_probability_250m.tif"
"cpec_2017_2024_fused_year_of_min_probability_250m","250","6.65","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\cpec_2017_2024_fused_year_of_min_probability_250m.tif"
"cpec_2018_minus_2017_fused_probability_change_250m","250","68.58","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2018_minus_2017_fused_probability_change_250m.tif"
"cpec_2019_minus_2018_fused_probability_change_250m","250","68.56","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2019_minus_2018_fused_probability_change_250m.tif"
"cpec_2020_minus_2019_fused_probability_change_250m","250","68.63","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2020_minus_2019_fused_probability_change_250m.tif"
"cpec_2021_minus_2020_fused_probability_change_250m","250","69.03","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2021_minus_2020_fused_probability_change_250m.tif"
"cpec_2022_minus_2021_fused_probability_change_250m","250","68.96","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2022_minus_2021_fused_probability_change_250m.tif"
"cpec_2023_minus_2022_fused_probability_change_250m","250","68.89","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2023_minus_2022_fused_probability_change_250m.tif"
"cpec_2024_minus_2023_fused_probability_change_250m","250","68.74","D:\DING PROJECT\04_maps\annual_dynamic_2017_2024\00_multi_year_summary_outputs\01_year_to_year_change_maps\cpec_2024_minus_2023_fused_probability_change_250m.tif"
