FullName,Length,LastWriteTime
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\00_SUPERVISOR_SUMMARY_2018_V3.md,6558,5/4/2026 0:30
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\PACKAGE_FILE_INDEX.csv,0,5/4/2026 0:51
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\README_START_HERE.md,3775,5/4/2026 0:30
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\high_impact_outputs_literature_scan_2026-05-03.md,7005,5/3/2026 4:24
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\literature_based_factor_audit_v3_2026-05-03.md,7290,5/3/2026 2:44
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\local_v3_factor_stack_250m_report_2026-05-03.md,931,5/3/2026 15:47
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\missing_factor_data_availability_audit_2026-05-03.md,6497,5/3/2026 2:50
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\multicollinearity_assessment_2018_v3.md,4090,5/3/2026 3:43
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\proximity_factor_omission_correction_2026-05-03.md,3905,5/3/2026 2:41
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\sample_v3_build_report_2026-05-03.md,2139,5/3/2026 3:02
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\stacked_250m_uncertainty_added_value_road_exposure_2026-05-03.md,14553,5/3/2026 20:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\stacked_ensemble_interpretation_2018.md,2931,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\stacked_ensemble_probability_rasters_2018_report.md,1166,5/3/2026 19:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\stacked_ensemble_probability_raster_workflow_2026-05-03.md,3316,5/3/2026 11:49
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\teacher_suggestions_compliance_check_2026-05-02.md,6460,5/2/2026 16:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\teacher_suggestions_extracted_text.txt,4942,5/2/2026 16:19
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\v3_final_factor_decision_2026-05-03.md,3097,5/3/2026 3:05
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\v3_model_family_2018_modelling_report.md,4063,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\01_methods_and_decisions\v3_vs_v2_model_comparison_2026-05-03.md,1867,5/3/2026 3:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\clean_model_performance_summary_for_supervisor.csv,2363,5/3/2026 23:52
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\clean_pooled_auc_summary_for_supervisor.csv,536,5/3/2026 23:52
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_ensemble_calibration_curve.csv,2673,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_ensemble_metrics_pooled.csv,529,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_ensemble_pr_coordinates.csv,773904,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_ensemble_roc_coordinates.csv,153457,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_meta_coefficient_summary_all_feature_sets.csv,2141,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\stacked_meta_shap_importance_all_feature_sets.csv,1429,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v2_v3_key_model_comparison.csv,765,5/3/2026 3:21
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_base_oof_predictions.csv,12159928,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_curve_auc_summary.csv,917,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_curve_coordinates.csv,2699114,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_fold_metrics.csv,22397,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_meta_coefficients.csv,8836,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_run_summary.json,1181,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_stacked_oof_predictions.csv,2269031,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\02_model_performance_tables\v3_model_family_summary.csv,5972,5/3/2026 3:20
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_calibration_2018_all_feature_sets.png,238096,5/3/2026 4:06
D:\DING PROJECT\00_READ_ME_FIRST_2018_V3_RESULTS\03_figures\01_model_curves\figure_stacked_ensemble_calibration_2018.png,242926,5/3/2026 4:06
