feature_set,feature_set_name,held_out_domain,n_test,n_positive,n_negative,latent_dimensions,explained_variance_ratio,reference_distance_threshold_p95,aoa_coverage,aoa_coverage_ci95_low,aoa_coverage_ci95_high,median_dissimilarity_index,p90_dissimilarity_index,roc_auc,pr_auc,brier,ece_10bin
conventional,Conventional,Balochistan,992,516,476,15,0.8870546825940908,3.282237727981877,0.9758064516129032,0.95098221439545,0.9939398516890964,0.6120645821737344,0.8149212887511273,0.8824872972444793,0.9023966821701466,0.1464675911299663,0.0639290664062636
conventional,Conventional,Gilgit-Baltistan,721,427,294,15,0.8896060691933139,3.3490170557130625,0.8599167822468793,0.8194444444444444,0.9038461538461539,0.7737576252843584,1.0476251506226049,0.9703197438225876,0.9817504452089532,0.058192801537627,0.0283058640969926
conventional,Conventional,KPK-AJK,351,167,184,15,0.8832445839882627,3.2949416857850595,0.4358974358974359,0.24841679506933745,0.6479721921271213,1.0566185256640896,1.5491449544735956,0.96888831033585,0.9649068601416692,0.0801669219745095,0.0927323379472975
conventional,Conventional,Kashgar,846,323,523,15,0.89033315465251,3.2310878749097336,0.9125295508274232,0.8708758964273025,0.9709288739983568,0.6825590656118735,0.9783282666091884,0.9614808588223456,0.9446592836203008,0.0723401530441486,0.0609360054339501
conventional,Conventional,Punjab-Sindh,406,75,331,15,0.8844419250482832,3.2408450128691344,0.9113300492610837,0.8611965474938661,0.9540237651444547,0.7212690296782391,0.9883541916517335,0.9901309164149044,0.9541761401824704,0.0390478002379271,0.074963960096645
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,516,476,15,0.885845427137671,2.5241129076172224,0.49294354838709675,0.3890364665433369,0.5812789426904467,1.005984940474654,1.3213162301930275,0.8140919158361019,0.8069655812657865,0.2012646483341103,0.1413610872573195
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,15,0.8794861287331085,2.5159886007742776,0.984743411927878,0.9789325842696629,0.9909825997694766,0.698084532326161,0.8915179778144492,0.9621389539422328,0.9626023585188872,0.0703683723356636,0.0413558797043154
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,167,184,15,0.8898436491067065,2.3958230499702937,0.5954415954415955,0.4146760018663986,0.7791004719745812,0.9467353256563332,1.3393660890499843,0.9662848216610258,0.951468235410613,0.0694868267434859,0.0683042952060478
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,323,523,15,0.8902739406868064,2.5405399371503337,0.5803782505910166,0.3452501697504668,0.7098038297495349,0.9162572413582482,1.3189975654483104,0.9272475418667014,0.909298396758112,0.0942452363945499,0.0322944069666713
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,406,75,331,15,0.8921767605898087,2.5300721698953037,0.7438423645320197,0.6385895260874402,0.8343056945941784,0.8681624522030476,1.1542665584227,0.9626183282980868,0.8790358697201719,0.0614101931938762,0.0674407442220223
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,516,476,15,0.8096090277262221,2.600043707098138,0.6431451612903226,0.5301339938705858,0.7375097934472934,0.9096471947198347,1.187068236824055,0.8942577030812324,0.9039269181482998,0.1477616066767978,0.10451350029071
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,15,0.8047967933810778,2.6090905890537943,0.9542302357836339,0.9242419116742526,0.9792584493940726,0.7220136920841815,0.9209000347692887,0.9806911054820054,0.9859581069180628,0.0440144701941352,0.0212301827078226
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,351,167,184,15,0.8070505900719044,2.5109354261794694,0.4017094017094017,0.19503669085151135,0.5977011494252874,1.0930100073588236,1.5826198908320817,0.9793348086435824,0.9759929321422643,0.0596145436109373,0.0599528729509148
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Kashgar,846,323,523,15,0.8149099611152051,2.764705740479406,0.7671394799054374,0.6395779326476724,0.8322939880611053,0.8511059989651375,1.1297841320331532,0.958124419134666,0.9480645620240762,0.0672505482568104,0.0215277283264472
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Punjab-Sindh,406,75,331,15,0.8108317498354529,2.5375395238768634,0.8472906403940886,0.7720196578033365,0.9064780977040691,0.8133689264955857,1.0670146280660768,0.9902517623363544,0.9549532224683664,0.0332810578966036,0.0550275826211968
