feature_set,feature_set_name,held_out_domain,metric,estimate,ci95_low,ci95_high,bootstrap_repetitions
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,roc_auc,0.8140919158361019,0.7725772465722687,0.8544276316250278,2000
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,pr_auc,0.8069655812657865,0.6929944713560992,0.8769126199519399,2000
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,brier,0.20126464833411034,0.16417018112858478,0.24615053547769156,2000
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,roc_auc,0.9621389539422327,0.9443157258429993,0.9824902723735408,2000
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,pr_auc,0.9626023585188872,0.9425234375236445,0.970709413348023,2000
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,brier,0.07036837233566369,0.044811603552369454,0.09894400033634639,2000
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,roc_auc,0.9662848216610258,0.9442059678807956,0.9829729284369115,2000
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,pr_auc,0.951468235410613,0.9051638344277533,0.9758017794604591,2000
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,brier,0.06948682674348595,0.04846233165806866,0.09730443256170426,2000
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,roc_auc,0.9272475418667014,0.7238229532820167,0.9714239228630802,2000
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,pr_auc,0.909298396758112,0.4569604366351292,0.9710559562537155,2000
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,brier,0.09424523639454997,0.054824313655231535,0.1330922860347765,2000
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,roc_auc,0.9626183282980867,0.8990366696142367,0.9921524112319469,1990
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,pr_auc,0.8790358697201719,0.35130575980317297,0.965991563146988,1990
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,brier,0.06141019319387621,0.02877409031340562,0.09610877774264166,1990
conventional,Conventional,Balochistan,roc_auc,0.8824872972444793,0.8103969266422352,0.9329034082018957,2000
conventional,Conventional,Balochistan,pr_auc,0.9023966821701466,0.8124114195562239,0.945437936370915,2000
conventional,Conventional,Balochistan,brier,0.14646759112996635,0.10105779174798395,0.2035140453996882,2000
conventional,Conventional,Gilgit-Baltistan,roc_auc,0.9703197438225876,0.9564495530012771,0.9917795918450775,2000
