feature_set,feature_set_name,held_out_domain_source,held_out_domain,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,Balochistan,Balochistan,2324,2308,992,516,476,20.0,20.0,0.8824872972444793,0.9023966821701466,0.790811673506612,0.7817047817047817,0.8430493273542601,0.7286821705426356,0.8529411764705882,0.14646759112996635,0.447112659129271,0.06392906640626364,0.4251586673923638
conventional,Conventional,Gilgit-Baltistan,Gilgit-Baltistan,2595,2526,721,427,294,20.0,20.0,0.9703197438225876,0.9817504452089533,0.9274562283929966,0.9385342789598109,0.9474940334128878,0.9297423887587822,0.9251700680272109,0.05819280153762709,0.20677371519158586,0.028305864096992688,0.39271739298991315
conventional,Conventional,KP-AJK,KPK-AJK,2965,2919,351,167,184,20.0,20.0,0.9688883103358501,0.9649068601416692,0.8823223118979433,0.8840970350404312,0.803921568627451,0.9820359281437125,0.782608695652174,0.08016692197450957,0.28088997542530514,0.09273233794729752,0.3812207472395982
conventional,Conventional,"Kashgar (Xinjiang, China)",Kashgar,2470,2397,846,323,523,20.0,20.0,0.9614808588223455,0.9446592836203009,0.9037110265259369,0.8757396449704142,0.8385269121813032,0.9164086687306502,0.8910133843212237,0.0723401530441486,0.2625316325358941,0.06093600543395016,0.40701551358970917
conventional,Conventional,Punjab-Sindh lowland corridor,Punjab-Sindh,2910,2883,406,75,331,20.0,20.0,0.9901309164149044,0.9541761401824705,0.9616112789526687,0.8705882352941177,0.7789473684210526,0.9866666666666667,0.9365558912386707,0.039047800237927144,0.15808941465409734,0.07496396009664506,0.3666850118336405
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,Balochistan,2324,2308,992,516,476,20.0,20.0,0.8140919158361019,0.8069655812657865,0.7090580418213797,0.773095623987034,0.6643454038997214,0.9244186046511628,0.49369747899159666,0.20126464833411034,0.623945627999239,0.14136108725731958,0.3569405520561288
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,Gilgit-Baltistan,2595,2526,721,427,294,20.0,20.0,0.9621389539422327,0.9626023585188872,0.9092784654845545,0.9263157894736842,0.9252336448598131,0.927400468384075,0.891156462585034,0.07036837233566369,0.2545632170696177,0.04135587970431549,0.579858995176613
alphaearth_embeddings,AlphaEarth Embeddings,KP-AJK,KPK-AJK,2965,2919,351,167,184,20.0,20.0,0.9662848216610258,0.951468235410613,0.908113121582921,0.905982905982906,0.8641304347826086,0.9520958083832335,0.8641304347826086,0.06948682674348595,0.24810422197923582,0.06830429520604789,0.45263075074672576
alphaearth_embeddings,AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",Kashgar,2470,2397,846,323,523,20.0,20.0,0.9272475418667014,0.909298396758112,0.8679238023074782,0.8389154704944178,0.8651315789473685,0.8142414860681114,0.9216061185468452,0.09424523639454997,0.32032164458119455,0.032294406966671324,0.33496269414946506
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh lowland corridor,Punjab-Sindh,2910,2883,406,75,331,20.0,20.0,0.9626183282980867,0.8790358697201719,0.8798388721047332,0.7529411764705882,0.6736842105263158,0.8533333333333334,0.9063444108761329,0.06141019319387621,0.2203381065226143,0.06744074422202231,0.3783162152631044
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,Balochistan,2324,2308,992,516,476,20.0,20.0,0.8942577030812324,0.9039269181482998,0.7731418148654812,0.8083623693379791,0.7341772151898734,0.8992248062015504,0.6470588235294118,0.14776160667679786,0.4559939420293498,0.10451350029071,0.4380972327821162
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,Gilgit-Baltistan,2595,2526,721,427,294,20.0,20.0,0.9806911054820054,0.9859581069180627,0.934816549570648,0.9504036908881199,0.9363636363636364,0.9648711943793911,0.9047619047619048,0.04401447019413526,0.1670360800335635,0.021230182707822606,0.4297358116562861
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KP-AJK,KPK-AJK,2965,2919,351,167,184,20.0,20.0,0.9793348086435825,0.9759929321422645,0.9246940900807081,0.9221902017291066,0.8888888888888888,0.9580838323353293,0.8913043478260869,0.05961454361093732,0.21033473482872508,0.05995287295091487,0.5192956541014186
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",Kashgar,2470,2397,846,323,523,20.0,20.0,0.9581244191346661,0.9480645620240762,0.9063955863114089,0.884080370942813,0.8827160493827161,0.8854489164086687,0.9273422562141491,0.06725054825681044,0.2385060756098842,0.02152772832644726,0.44719205030290793
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,Punjab-Sindh,2910,2883,406,75,331,20.0,20.0,0.9902517623363545,0.9549532224683663,0.9691641490433032,0.896969696969697,0.8222222222222222,0.9866666666666667,0.9516616314199395,0.03328105789660365,0.13683300138283913,0.055027582621196815,0.4028614530094026
