factor_1,factor_2,pearson_r,absolute_r
rain_monsoon_total,rain_max_1day,0.8283157822725052,0.8283157822725052
slope_deg,tri,0.7744052654108725,0.7744052654108725
elevation_m,slope_deg,0.5652489230766142,0.5652489230766142
elevation_m,ndvi_median,-0.4967295624705923,0.4967295624705923
rain_monsoon_total,ndvi_median,0.4894052626415906,0.4894052626415906
ndvi_median,ndvi_amplitude,0.4579898913784471,0.4579898913784471
slope_deg,plan_curvature,-0.44977032457289,0.44977032457289
slope_deg,valley_depth,0.4472634319575315,0.4472634319575315
log1p_dist_river_m,valley_depth,-0.4323642322341619,0.4323642322341619
plan_curvature,tri,-0.42679327616093327,0.42679327616093327
elevation_m,tri,0.42099506110453233,0.42099506110453233
tri,twi,-0.4042383465950992,0.4042383465950992
rain_max_1day,ndvi_median,0.4021312138595715,0.4021312138595715
plan_curvature,twi,0.36518824729678023,0.36518824729678023
slope_deg,twi,-0.3624144942657618,0.3624144942657618
rain_monsoon_total,ndvi_amplitude,0.35692605735531974,0.35692605735531974
rain_max_1day,ndvi_amplitude,0.35396185783163425,0.35396185783163425
tri,valley_depth,0.3511548180936446,0.3511548180936446
slope_deg,profile_curvature,0.3074004166303563,0.3074004166303563
profile_curvature,tri,0.29405292395651494,0.29405292395651494
elevation_m,profile_curvature,0.23958496920958433,0.23958496920958433
elevation_m,valley_depth,0.23606106046135372,0.23606106046135372
elevation_m,plan_curvature,-0.2357613406631168,0.2357613406631168
log1p_dist_road_m,log1p_dist_river_m,0.2351167483785334,0.2351167483785334
profile_curvature,twi,-0.22677203962053688,0.22677203962053688
plan_curvature,valley_depth,-0.21996350678995266,0.21996350678995266
slope_deg,ndvi_amplitude,0.20859123082671294,0.20859123082671294
log1p_dist_road_m,valley_depth,-0.20701134832234358,0.20701134832234358
profile_curvature,valley_depth,0.20365410113423543,0.20365410113423543
ndvi_amplitude,log1p_dist_fault_m,0.20326065414012617,0.20326065414012617
elevation_m,twi,-0.19938574937729933,0.19938574937729933
ndvi_amplitude,valley_depth,0.1976381529727116,0.1976381529727116
elevation_m,log1p_dist_river_m,0.1899146567605219,0.1899146567605219
log1p_dist_fault_m,valley_depth,0.1794909066621923,0.1794909066621923
rain_monsoon_total,log1p_dist_fault_m,-0.17344491625101308,0.17344491625101308
elevation_m,log1p_dist_fault_m,0.16478435654917728,0.16478435654917728
ndvi_median,profile_curvature,-0.15706662348235179,0.15706662348235179
slope_deg,ndvi_median,-0.1467928122644542,0.1467928122644542
slope_deg,rain_max_1day,0.14256601612906575,0.14256601612906575
ndvi_amplitude,tri,0.13750673167349745,0.13750673167349745
ndvi_median,tri,-0.12317291162302343,0.12317291162302343
elevation_m,log1p_dist_road_m,0.11898534696575867,0.11898534696575867
elevation_m,ndvi_amplitude,0.11897308044492484,0.11897308044492484
rain_max_1day,log1p_dist_fault_m,-0.11627823420723021,0.11627823420723021
log1p_dist_road_m,log1p_dist_fault_m,0.11573079366158015,0.11573079366158015
twi,valley_depth,0.11026623668446066,0.11026623668446066
slope_deg,log1p_dist_fault_m,0.10797366276578725,0.10797366276578725
rain_max_1day,tri,0.10739074141429523,0.10739074141429523
log1p_dist_river_m,profile_curvature,-0.10689359957805565,0.10689359957805565
