factor,vif
rain_monsoon_total,3.6800423763065386
slope_deg,3.6030454426659855
rain_max_1day,3.3693981116556078
tri,2.6684373637650416
elevation_m,2.6451245376778716
ndvi_median,2.6296025620081562
valley_depth,1.8873473535504839
ndvi_amplitude,1.7691049871808777
twi,1.4951881589217686
log1p_dist_river_m,1.4326050026109445
plan_curvature,1.4224626708373092
log1p_dist_fault_m,1.2118792971301087
profile_curvature,1.2098880808889072
log1p_dist_road_m,1.1344810299708052
aspect_cos,1.059710958404205
aspect_sin,1.00853028351797
