feature_set,feature_set_name,domain,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,Balochistan,992,516,476,0.9171796625626996,0.9250138620051572,0.8436909647579962,0.8536121673003803,0.8376865671641791,0.8701550387596899,0.8172268907563025,0.11654518976429838,0.38101163185734044,0.04931239326548523,0.40626069176043217
conventional,Conventional,Punjab-Sindh lowland corridor,406,75,331,0.9867472306143,0.9327126380978178,0.9506747230614301,0.8819875776397516,0.8255813953488372,0.9466666666666667,0.9546827794561934,0.03646310762005469,0.14446097557378426,0.04733628446075531,0.40626069176043217
conventional,Conventional,KP-AJK,351,167,184,0.9618263473053892,0.958472421774372,0.8801093465243426,0.8788732394366198,0.8297872340425532,0.9341317365269461,0.8260869565217391,0.07915800602742562,0.2766758318960011,0.06963042808627566,0.3792729123736474
conventional,Conventional,"Kashgar (Xinjiang, China)",846,323,523,0.9694487033013868,0.9551869346837939,0.9207832876533928,0.8978978978978979,0.8717201166180758,0.9256965944272446,0.9158699808795411,0.06241489256301604,0.2323402306702896,0.049307454641298654,0.40626069176043217
conventional,Conventional,Gilgit-Baltistan,721,427,294,0.9722554127037232,0.9782535181886882,0.9345935095349616,0.9474912485414235,0.9441860465116279,0.9508196721311475,0.9183673469387755,0.05340393472353008,0.20189228237946408,0.02873995818518436,0.41741545466411384
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,516,476,0.9110684971663086,0.9141492638779394,0.8156471891082014,0.8357664233576643,0.7896551724137931,0.8875968992248062,0.7436974789915967,0.12269379477149461,0.389673986535244,0.04910140326981111,0.4562360445139112
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh lowland corridor,406,75,331,0.9707955689828802,0.8637578871836503,0.9082779456193353,0.8148148148148148,0.7586206896551724,0.88,0.9365558912386707,0.053671437723421256,0.19692238309849971,0.05962165354387611,0.4562360445139112
alphaearth_embeddings,AlphaEarth Embeddings,KP-AJK,351,167,184,0.9656990367091903,0.9504345362384672,0.908113121582921,0.905982905982906,0.8641304347826086,0.9520958083832335,0.8641304347826086,0.0686285962092829,0.24192909824622374,0.053697396891727874,0.36737043108660483
alphaearth_embeddings,AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",846,323,523,0.9363933960421242,0.9121973642089912,0.871839648609771,0.8427672955974843,0.8562300319488818,0.8297213622291022,0.9139579349904398,0.08571301982693336,0.2963269923673046,0.03257638801749917,0.4562360445139112
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,0.9666236518026414,0.9740736768953485,0.9098081855693096,0.9261430246189918,0.9272300469483568,0.9250585480093677,0.8945578231292517,0.0711956065637988,0.2501472048180183,0.03306632063071152,0.5420410299374939
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,516,476,0.9381799231320436,0.9428150912425415,0.8523386098625496,0.859344894026975,0.8544061302681992,0.8643410852713178,0.8403361344537815,0.09995943353994215,0.32648467807285886,0.042107200409075764,0.4616874394902907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,406,75,331,0.9892849949647532,0.9428081003160247,0.9521852970795569,0.8875,0.8352941176470589,0.9466666666666667,0.9577039274924471,0.03096532142133479,0.12306037040969575,0.04197764728221801,0.4616874394902907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KP-AJK,351,167,184,0.9665777141369435,0.9659730527149692,0.9154354334808643,0.9122807017543859,0.8914285714285715,0.9341317365269461,0.8967391304347826,0.06505095590096426,0.2349975605066403,0.03939117561244726,0.4616874394902907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",846,323,523,0.9664119245363437,0.9506346126386898,0.9272919392170675,0.9131121642969984,0.932258064516129,0.8947368421052632,0.9598470363288719,0.05599389149315054,0.2094272944273922,0.017016884167577483,0.4616874394902907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,0.9763657219328011,0.9792667156988563,0.9330043492806959,0.947856315179606,0.9380733944954128,0.9578454332552693,0.9081632653061225,0.04883554135267606,0.18324154934878578,0.030089882110862345,0.47486451086970655
