feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,1,2592,2290,724,399,325,20.0,20.0,0.9493734335839599,0.9561210747269473,0.8786466165413533,0.8959608323133414,0.8755980861244019,0.9172932330827067,0.84,0.08788494880358817,0.293802077346115,0.036855625374660965,0.40626069176043217
conventional,Conventional,2,2411,2078,905,532,373,20.0,20.0,0.9645981575923723,0.9702360615437269,0.9140402951077425,0.9348025711662076,0.9138240574506283,0.956766917293233,0.871313672922252,0.0625104920095134,0.230867893473966,0.029709378170417685,0.4619070627881162
conventional,Conventional,3,2673,2416,643,196,447,20.0,20.0,0.9271332694151486,0.8621431748737189,0.821348673697667,0.7608695652173914,0.813953488372093,0.7142857142857143,0.9284116331096197,0.09844374462451268,0.31956220062835167,0.04933184090640843,0.3792729123736474
conventional,Conventional,4,2846,2644,470,140,330,20.0,20.0,0.9727056277056276,0.940308496593884,0.9224025974025973,0.8704318936877077,0.8136645962732919,0.9357142857142857,0.9090909090909091,0.06569835861172713,0.24912947397687177,0.06745836572311002,0.3704344590463623
conventional,Conventional,5,2742,2581,574,241,333,20.0,20.0,0.9803870260301795,0.9704733900879793,0.927491807159857,0.9108527131782945,0.8545454545454545,0.975103734439834,0.8798798798798799,0.06120259852970123,0.22932854922980267,0.07959938465814184,0.41741545466411384
alphaearth_embeddings,AlphaEarth Embeddings,1,2592,2290,724,399,325,20.0,20.0,0.9505995758627337,0.9580673245566589,0.8653711201079621,0.8856447688564477,0.8605200945626478,0.9122807017543859,0.8184615384615385,0.089336241965037,0.29741476174636805,0.04883827376289962,0.5455332335161571
alphaearth_embeddings,AlphaEarth Embeddings,2,2411,2078,905,532,373,20.0,20.0,0.9488903223205467,0.9538452642229172,0.8887878207583302,0.9047619047619048,0.916988416988417,0.8928571428571429,0.8847184986595175,0.08407775312966749,0.2854686223720123,0.04432958122787446,0.5420410299374939
alphaearth_embeddings,AlphaEarth Embeddings,3,2673,2416,643,196,447,20.0,20.0,0.8996027941377894,0.8100069111680502,0.8016652969912798,0.7213930348258707,0.7038834951456311,0.7397959183673469,0.8635346756152126,0.12081406749542327,0.3890396015645892,0.05939069607781143,0.30562278155523537
alphaearth_embeddings,AlphaEarth Embeddings,4,2846,2644,470,140,330,20.0,20.0,0.9748917748917749,0.9305156196235703,0.9332251082251082,0.8726114649681529,0.7873563218390804,0.9785714285714285,0.8878787878787879,0.061793016665700605,0.22528346202832097,0.07898160550322564,0.36737043108660483
alphaearth_embeddings,AlphaEarth Embeddings,5,2742,2581,574,241,333,20.0,20.0,0.9612849363886709,0.9443404855739134,0.900738913187046,0.8823529411764706,0.8364312267657993,0.9336099585062241,0.8678678678678678,0.0765518527998296,0.26613220238941643,0.054970732437333504,0.4562360445139112
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,2592,2290,724,399,325,20.0,20.0,0.9689917100443417,0.9710622900887134,0.9035974551764026,0.9202898550724637,0.8881118881118881,0.9548872180451128,0.8523076923076923,0.0652528030823333,0.2298251579256231,0.04820652989233058,0.47486451086970655
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,2411,2078,905,532,373,20.0,20.0,0.9709679695216593,0.9714495776982759,0.9222066560503135,0.9374416433239963,0.9313543599257885,0.943609022556391,0.900804289544236,0.05666345992527863,0.20799617286821417,0.028130839178712255,0.47782122739918853
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,2673,2416,643,196,447,20.0,20.0,0.9348376934666485,0.8675101877255349,0.7687588458202073,0.6906906906906907,0.8394160583941606,0.5867346938775511,0.9507829977628636,0.1104061554243701,0.35091354128268526,0.07399857724053256,0.4616874394902907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,2846,2644,470,140,330,20.0,20.0,0.9877056277056278,0.9703387870967226,0.958982683982684,0.9225589225589226,0.8726114649681529,0.9785714285714285,0.9393939393939394,0.04393259211294396,0.16900438424888392,0.06454802040378277,0.4377321995623021
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,2742,2581,574,241,333,20.0,20.0,0.9852964998193214,0.9763768747741116,0.9445815109715525,0.9309664694280079,0.8872180451127819,0.979253112033195,0.9099099099099099,0.0470085099537764,0.18451687197363142,0.0632704637001209,0.41439363657877765
