feature_set,feature_set_name,domain,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,Balochistan,992,516,476,0.9121311315223763,0.9148782875793003,0.8447250993420624,0.8628519527702089,0.811965811965812,0.9205426356589147,0.7689075630252101,0.11896300809846423,0.39173657968327213,0.06283676440653382,0.37766984879529625
conventional,Conventional,Punjab-Sindh lowland corridor,406,75,331,0.9782477341389728,0.9092625034674007,0.9009869083585096,0.8205128205128205,0.7901234567901234,0.8533333333333334,0.9486404833836858,0.0482614758922719,0.17236349679763288,0.050764745609319276,0.37766984879529625
conventional,Conventional,KP-AJK,351,167,184,0.9633558969018484,0.9588321075283383,0.8858207498047383,0.8845070422535212,0.8351063829787234,0.9401197604790419,0.8315217391304348,0.07853236142470012,0.27539331235351805,0.05904631436005672,0.37766984879529625
conventional,Conventional,"Kashgar (Xinjiang, China)",846,323,523,0.9697210070502992,0.9565969851614695,0.9229232399410403,0.8998505231689088,0.869942196531792,0.9318885448916409,0.9139579349904398,0.06254566517054853,0.23081015125009982,0.045726217703168856,0.37766984879529625
conventional,Conventional,Gilgit-Baltistan,721,427,294,0.9688221892972646,0.9753437798047953,0.9391658302665329,0.9509345794392523,0.9487179487179487,0.9531615925058547,0.9251700680272109,0.056592171157361704,0.21309246170895166,0.0331852842831855,0.38431685122831666
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,516,476,0.9095295094782099,0.9121469637073112,0.818953162660413,0.8420107719928187,0.7842809364548495,0.9089147286821705,0.7289915966386554,0.12320448587829892,0.3904541060705927,0.040240541075197894,0.4183290043987429
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh lowland corridor,406,75,331,0.971963746223565,0.8610205828873781,0.9267673716012085,0.8313253012048193,0.7582417582417582,0.92,0.9335347432024169,0.052840776231565106,0.19211838788567373,0.04833966437554034,0.4183290043987429
alphaearth_embeddings,AlphaEarth Embeddings,KP-AJK,351,167,184,0.9608174954438948,0.9416951467701852,0.8939729237177818,0.8920454545454546,0.8486486486486486,0.9401197604790419,0.8478260869565217,0.07265061005917149,0.2542501355039849,0.04581553580282136,0.4183290043987429
alphaearth_embeddings,AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",846,323,523,0.9400576573590088,0.9188491217496478,0.8830396201954667,0.85625,0.8643533123028391,0.848297213622291,0.9177820267686424,0.08284520062668406,0.2867331168127012,0.032364536613955705,0.4183290043987429
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,0.9667590689671652,0.9737546454568744,0.9035351845656295,0.9216374269005848,0.9205607476635514,0.9227166276346604,0.8843537414965986,0.07069791465189973,0.2453735916458517,0.035968584952351154,0.4620405489150875
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,992,516,476,0.9376384274640088,0.9426839026560764,0.8554898703667513,0.8618357487922705,0.859344894026975,0.8643410852713178,0.8466386554621849,0.10100810356771218,0.3279321330203562,0.04020010339849767,0.5330460759798936
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Punjab-Sindh lowland corridor,406,75,331,0.9903323262839879,0.9501939858924551,0.9536958710976837,0.8930817610062893,0.8452380952380952,0.9466666666666667,0.9607250755287009,0.029900308499128527,0.11847229162699213,0.04054090635083065,0.48459095752267917
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KP-AJK,351,167,184,0.9694415516792503,0.9687522365528095,0.9091707888570685,0.9053254437869822,0.8947368421052632,0.9161676646706587,0.9021739130434783,0.0656852884387212,0.22757142177455247,0.03908770098736342,0.48459095752267917
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,"Kashgar (Xinjiang, China)",846,323,523,0.9629252526209237,0.9478264900382163,0.9269278809440653,0.9119496855345912,0.9265175718849841,0.8978328173374613,0.9560229445506692,0.05643116394928073,0.2134307033436202,0.02136535387535709,0.48459095752267917
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,721,427,294,0.9743663273271839,0.977725379667697,0.9323631091780975,0.9465116279069767,0.9399538106235565,0.9531615925058547,0.9115646258503401,0.05085113946728177,0.18937694244667283,0.026688739955752466,0.48459095752267917
