feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,1,2592,2290,724,399,325,20.0,20.0,0.9501985733564682,0.9574368751274649,0.8925428957007904,0.9127837514934289,0.8721461187214612,0.9573934837092731,0.8276923076923077,0.084261508518541,0.2849235813118512,0.04398771710894152,0.38431685122831666
conventional,Conventional,2,2411,2078,905,532,373,20.0,20.0,0.964043822693463,0.9692391773915363,0.9200649075772541,0.9368029739776952,0.9264705882352942,0.9473684210526315,0.8927613941018767,0.062085334180166145,0.23335035018711722,0.039646639814955816,0.5409850670363847
conventional,Conventional,3,2673,2416,643,196,447,20.0,20.0,0.9298612062274574,0.8681039055866361,0.8653437885221202,0.8132992327365729,0.8153846153846154,0.8112244897959183,0.9194630872483222,0.09938391508432333,0.32108665024410493,0.05743733749683372,0.28482444475914326
conventional,Conventional,4,2846,2644,470,140,330,20.0,20.0,0.953051948051948,0.897135634440712,0.8884199134199134,0.8193548387096774,0.7470588235294118,0.9071428571428571,0.8696969696969697,0.09093572370407745,0.3162233116473548,0.09120768557635316,0.37766984879529625
conventional,Conventional,5,2742,2581,574,241,333,20.0,20.0,0.979988287042229,0.9704341876267932,0.929211369045394,0.9118773946360154,0.8469750889679716,0.9875518672199171,0.8708708708708709,0.06106394269013963,0.22926822275458328,0.07232707521055282,0.35304804128920275
alphaearth_embeddings,AlphaEarth Embeddings,1,2592,2290,724,399,325,20.0,20.0,0.9502756892230575,0.9584412803402156,0.860582224792751,0.8851674641148325,0.8466819221967964,0.9273182957393483,0.7938461538461539,0.09066735684424036,0.2989417347491044,0.044948748743635684,0.4620405489150875
alphaearth_embeddings,AlphaEarth Embeddings,2,2411,2078,905,532,373,20.0,20.0,0.9499939527101937,0.9541120983279606,0.8893119192082082,0.9015444015444015,0.9265873015873016,0.8778195488721805,0.900804289544236,0.0818341564333052,0.2783095404641379,0.04058052852183057,0.6384745412397743
alphaearth_embeddings,AlphaEarth Embeddings,3,2673,2416,643,196,447,20.0,20.0,0.9000479386385426,0.8044688184946317,0.7983095922932931,0.7160493827160493,0.69377990430622,0.7397959183673469,0.8568232662192393,0.12180065110943644,0.3890969932744079,0.059989593070656204,0.287124464486402
alphaearth_embeddings,AlphaEarth Embeddings,4,2846,2644,470,140,330,20.0,20.0,0.9752813852813852,0.9313800467656841,0.9326839826839827,0.8745980707395499,0.7953216374269005,0.9714285714285714,0.8939393939393939,0.06228930057632884,0.2232760981455924,0.07052937556916215,0.4183290043987429
alphaearth_embeddings,AlphaEarth Embeddings,5,2742,2581,574,241,333,20.0,20.0,0.9603005495121677,0.9414978363860673,0.8988822847744009,0.8798449612403101,0.8254545454545454,0.941908713692946,0.8558558558558559,0.07480128502550201,0.26242130624293625,0.043635729319567725,0.3797780312442157
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,2592,2290,724,399,325,20.0,20.0,0.9670869481395797,0.9694858423347003,0.9072450356660883,0.9221411192214112,0.8959810874704491,0.949874686716792,0.8646153846153846,0.06714692640185674,0.23448069971231375,0.042228721155002716,0.5330460759798936
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,2411,2078,905,532,373,20.0,20.0,0.9699399302545909,0.9699305764163803,0.9215439738757081,0.9388888888888889,0.9251824817518248,0.9530075187969925,0.8900804289544236,0.056154553228142494,0.2058649143931715,0.019629677480831113,0.48459095752267917
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,2673,2416,643,196,447,20.0,20.0,0.9325777290782086,0.8680364136722745,0.7655800575263663,0.6871165644171779,0.8615384615384616,0.5714285714285714,0.959731543624161,0.10844251898998597,0.3473494197568808,0.08302566632335087,0.5536937629893086
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,2846,2644,470,140,330,20.0,20.0,0.9826839826839826,0.9585217412999044,0.9423160173160172,0.8896103896103896,0.8154761904761905,0.9785714285714285,0.906060606060606,0.04986853694048416,0.18644027875672814,0.05969482280069822,0.350490542684592
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,2742,2581,574,241,333,20.0,20.0,0.9855706328735374,0.9776774193844762,0.9385755049655464,0.923679060665362,0.8740740740740741,0.979253112033195,0.8978978978978979,0.04738421433764407,0.18004314267509033,0.05688957977693441,0.4070296362971924
