latent_dimensions,threshold_quantile,held_out_domain,highest_support_feature_set,fusion_minus_conventional_coverage,fusion_exceeds_conventional
5,0.9,Balochistan,Conventional,-0.3235887096774194,False
5,0.9,Gilgit-Baltistan,Conventional,-0.09292649098474337,False
5,0.9,KPK-AJK,AlphaEarth Embeddings,0.07977207977207973,True
5,0.9,Kashgar,Conventional,-0.32033096926713944,False
5,0.9,Punjab-Sindh,AlphaEarth Embeddings,0.012315270935960632,True
5,0.95,Balochistan,Conventional,-0.185483870967742,False
5,0.95,Gilgit-Baltistan,Conventional,-0.06796116504854366,False
5,0.95,KPK-AJK,AlphaEarth Embeddings,0.09971509971509973,True
5,0.95,Kashgar,Conventional,-0.2399527186761229,False
5,0.95,Punjab-Sindh,AlphaEarth Embeddings,0.01231527093596052,True
5,0.975,Balochistan,Conventional,-0.05141129032258063,False
5,0.975,Gilgit-Baltistan,Conventional,-0.04993065187239942,False
5,0.975,KPK-AJK,AlphaEarth Embeddings,0.03988603988603995,True
5,0.975,Kashgar,Conventional,-0.14302600472813243,False
5,0.975,Punjab-Sindh,AlphaEarth Embeddings,-0.0024630541871920597,False
5,0.99,Balochistan,Conventional,-0.0020161290322581182,False
5,0.99,Gilgit-Baltistan,Conventional,-0.01386962552011095,False
5,0.99,KPK-AJK,AlphaEarth Embeddings,-0.03988603988603989,False
5,0.99,Kashgar,Conventional,-0.07801418439716312,False
5,0.99,Punjab-Sindh,Conventional + AlphaEarth Embeddings,0.0024630541871920597,True
10,0.9,Balochistan,Conventional,-0.17439516129032262,False
10,0.9,Gilgit-Baltistan,Conventional + AlphaEarth Embeddings,0.03467406380027738,True
10,0.9,KPK-AJK,AlphaEarth Embeddings,0.07407407407407407,True
10,0.9,Kashgar,Conventional,-0.20330969267139476,False
10,0.9,Punjab-Sindh,Conventional + AlphaEarth Embeddings,0.027093596059113323,True
10,0.95,Balochistan,Conventional,-0.07056451612903236,False
10,0.95,Gilgit-Baltistan,Conventional + AlphaEarth Embeddings,0.018030513176144236,True
10,0.95,KPK-AJK,AlphaEarth Embeddings,0.03988603988603995,True
10,0.95,Kashgar,Conventional,-0.15957446808510634,False
10,0.95,Punjab-Sindh,Conventional,-0.0049261083743842304,False
10,0.975,Balochistan,Conventional,-0.03629032258064513,False
10,0.975,Gilgit-Baltistan,Conventional + AlphaEarth Embeddings,0.00832177531206657,True
10,0.975,KPK-AJK,AlphaEarth Embeddings,-0.005698005698005715,False
10,0.975,Kashgar,Conventional,-0.1264775413711584,False
10,0.975,Punjab-Sindh,Conventional,0.0,False
10,0.99,Balochistan,Conventional,-0.022177419354838634,False
10,0.99,Gilgit-Baltistan,AlphaEarth Embeddings,0.00277392510402219,True
10,0.99,KPK-AJK,AlphaEarth Embeddings,-0.0854700854700855,False
10,0.99,Kashgar,Conventional,-0.0685579196217494,False
10,0.99,Punjab-Sindh,Conventional,-0.01231527093596052,False
15,0.9,Balochistan,Conventional,-0.4203629032258065,False
15,0.9,Gilgit-Baltistan,AlphaEarth Embeddings,0.19140083217753123,True
15,0.9,KPK-AJK,AlphaEarth Embeddings,-0.019943019943019946,False
15,0.9,Kashgar,Conventional,-0.218676122931442,False
15,0.9,Punjab-Sindh,Conventional,-0.0862068965517242,False
15,0.95,Balochistan,Conventional,-0.3326612903225806,False
