feature_set,feature_set_name,held_out_domain,n_test,latent_dimensions,threshold_quantile,explained_variance_ratio,reference_distance_threshold,aoa_coverage,median_dissimilarity_index,p90_dissimilarity_index
conventional,Conventional,Balochistan,992,5,0.9,0.5597950577952168,0.8119390556113583,0.967741935483871,0.5031903977519316,0.7933026837117256
conventional,Conventional,Balochistan,992,5,0.95,0.5597950577952168,0.9353740748282604,0.9879032258064516,0.4367877487072975,0.6886158694799374
conventional,Conventional,Balochistan,992,5,0.975,0.5597950577952168,1.0590780879946409,0.9959677419354839,0.38576941679249854,0.608183135057095
conventional,Conventional,Balochistan,992,5,0.99,0.5597950577952168,1.2042572192513588,1.0,0.3392630160833857,0.534863666607102
conventional,Conventional,Balochistan,992,10,0.9,0.7813976313994779,1.9236451825380343,0.9475806451612904,0.6124630743868729,0.8874228502799911
conventional,Conventional,Balochistan,992,10,0.95,0.7813976313994779,2.1864613031020887,0.9707661290322581,0.5388440403016508,0.7807532145175908
conventional,Conventional,Balochistan,992,10,0.975,0.7813976313994779,2.4748381737122496,0.9838709677419355,0.47605603268980734,0.6897770969221197
conventional,Conventional,Balochistan,992,10,0.99,0.7813976313994779,2.8694447290198073,0.9939516129032258,0.41058872143851954,0.5949188264721904
conventional,Conventional,Balochistan,992,15,0.9,0.8870546825940908,2.967266045606716,0.9475806451612904,0.677034493265779,0.9014241925609521
conventional,Conventional,Balochistan,992,15,0.95,0.8870546825940908,3.282237727981877,0.9758064516129032,0.6120645821737345,0.8149212887511273
conventional,Conventional,Balochistan,992,15,0.975,0.8870546825940908,3.6339509340167035,0.9889112903225806,0.5528256985439146,0.7360488481659474
conventional,Conventional,Balochistan,992,15,0.99,0.8870546825940908,4.180714252640315,0.9979838709677419,0.4805258963353823,0.6397867057250624
conventional,Conventional,Balochistan,992,20,0.9,0.9402172599716629,3.805244803588146,0.9616935483870968,0.6826989311568821,0.8889188159518497
conventional,Conventional,Balochistan,992,20,0.95,0.9402172599716629,4.166703623184914,0.9868951612903226,0.6234752444941576,0.8118056888881797
conventional,Conventional,Balochistan,992,20,0.975,0.9402172599716629,4.482273620694264,0.9949596774193549,0.5795800926132495,0.7546513201683069
conventional,Conventional,Balochistan,992,20,0.99,0.9402172599716629,4.980466916932353,0.998991935483871,0.5216050228880964,0.6791639743078424
