feature_set,feature_set_name,held_out_domain,min,median,max,mean,std,range,standard_aoa_coverage
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,0.33568548387096775,0.7137096774193548,0.9596774193548387,0.6922253024193549,0.20314028923688376,0.623991935483871,0.49294354838709675
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,0.8044382801664355,0.9618585298196949,0.9986130374479889,0.9422676837725381,0.06028183471181588,0.19417475728155342,0.984743411927878
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,0.43304843304843305,0.6737891737891738,0.8888888888888888,0.6575854700854701,0.13952250338685251,0.4558404558404558,0.5954415954415955
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,0.475177304964539,0.6897163120567376,0.9184397163120568,0.6928930260047281,0.12899169167186805,0.44326241134751776,0.5803782505910166
alphaearth_embeddings,AlphaEarth Embeddings,Punjab-Sindh,0.42610837438423643,0.8780788177339902,0.9778325123152709,0.8155788177339901,0.16591036227871062,0.5517241379310345,0.7438423645320197
conventional,Conventional,Balochistan,0.9475806451612904,0.9873991935483871,1.0,0.9812878024193549,0.017560660368173435,0.05241935483870963,0.9758064516129032
conventional,Conventional,Gilgit-Baltistan,0.7059639389736477,0.9257975034674064,0.9972260748959778,0.8964112343966713,0.08900758560690852,0.2912621359223301,0.8599167822468793
conventional,Conventional,KPK-AJK,0.25071225071225073,0.48148148148148145,0.7663817663817664,0.5021367521367521,0.1618491078057209,0.5156695156695157,0.4358974358974359
conventional,Conventional,Kashgar,0.8238770685579196,0.9444444444444444,0.9846335697399528,0.933806146572104,0.051901887470685915,0.1607565011820331,0.9125295508274232
conventional,Conventional,Punjab-Sindh,0.7832512315270936,0.9519704433497537,0.9975369458128078,0.9264162561576355,0.07035818223562626,0.2142857142857142,0.9113300492610837
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Balochistan,0.5272177419354839,0.8190524193548387,0.9979838709677419,0.7984501008064516,0.1492636735579217,0.470766129032258,0.6431451612903226
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Gilgit-Baltistan,0.7642163661581137,0.9486823855755895,0.9930651872399445,0.9303918169209432,0.06381076669085249,0.2288488210818308,0.9542302357836339
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,KPK-AJK,0.29914529914529914,0.4871794871794872,0.6809116809116809,0.48504273504273504,0.11852445379250467,0.3817663817663817,0.4017094017094017
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Kashgar,0.6063829787234043,0.8085106382978724,0.9527186761229315,0.7946956264775413,0.11369963906960534,0.3463356973995272,0.7671394799054374
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Punjab-Sindh,0.6970443349753694,0.9100985221674877,0.9926108374384236,0.896551724137931,0.08058366520858534,0.29556650246305416,0.8472906403940886
