held_out_domain,comparison,feature_set_a,feature_set_b,metric,estimate_a,estimate_b,difference_a_minus_b,ci95_low,ci95_high,bootstrap_p_two_sided,bootstrap_repetitions,resampling_unit
Kashgar,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9581244191346661,0.9614808588223455,-0.0033564396876794023,-0.055729371330135426,0.007144712484902117,0.6456771614192903,2000,1-degree spatial block
Kashgar,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9480645620240762,0.9446592836203009,0.003405278403775247,-0.05674418435359431,0.04948042595655266,0.5717141429285357,2000,1-degree spatial block
Kashgar,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.06725054825681044,0.0723401530441486,-0.0050896047873381645,-0.025628299431394955,0.01402909630842811,0.5507246376811594,2000,1-degree spatial block
Kashgar,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9272475418667014,0.9614808588223455,-0.03423331695564402,-0.15405997889457304,-0.006436173031138638,0.01899050474762619,2000,1-degree spatial block
Kashgar,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.909298396758112,0.9446592836203009,-0.03536088686218897,-0.18516241896790983,0.020190598253396422,0.11594202898550725,2000,1-degree spatial block
Kashgar,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.09424523639454997,0.0723401530441486,0.021905083350401366,-0.02782106032283698,0.05622983316388704,0.367816091954023,2000,1-degree spatial block
Kashgar,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9581244191346661,0.9272475418667014,0.03087687726796462,0.002992650089651036,0.10362266620184755,0.038980509745127435,2000,1-degree spatial block
Kashgar,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9480645620240762,0.909298396758112,0.038766165265964214,0.011547462789440261,0.15311666878968044,0.014992503748125937,2000,1-degree spatial block
Kashgar,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.06725054825681044,0.09424523639454997,-0.02699468813773953,-0.04902735572685024,0.006202637065718992,0.13493253373313344,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9806911054820054,0.9703197438225876,0.010371361659417877,0.0013887325000938588,0.01545099863059718,0.01699150424787606,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9859581069180627,0.9817504452089533,0.004207661709109467,0.0008021831224570564,0.007615454231664209,0.013993003498250875,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.04401447019413527,0.05819280153762709,-0.01417833134349182,-0.023737990084270005,-0.003314849426302164,0.017991004497751123,2000,1-degree spatial block
Gilgit-Baltistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9621389539422327,0.9703197438225876,-0.008180789880354866,-0.02989617899925049,0.0034292577316328288,0.1839080459770115,2000,1-degree spatial block
Gilgit-Baltistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.9626023585188872,0.9817504452089533,-0.01914808669006607,-0.04625778792899382,-0.009520494132513347,0.009995002498750625,2000,1-degree spatial block
Gilgit-Baltistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.07036837233566369,0.05819280153762709,0.012175570798036599,-0.015263342032793899,0.060477780840663097,0.5217391304347826,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9806911054820054,0.9621389539422327,0.018552151539772743,0.004579722398365349,0.03581382385730214,0.0009995002498750624,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9859581069180627,0.9626023585188872,0.023355748399175535,0.016090533203139468,0.04811267169527101,0.0009995002498750624,2000,1-degree spatial block
Gilgit-Baltistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.04401447019413527,0.07036837233566369,-0.02635390214152842,-0.06974850166669365,-0.004353063186560771,0.0009995002498750624,2000,1-degree spatial block
KPK-AJK,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9793348086435825,0.9688883103358501,0.010446498307732366,-0.006636843305499384,0.04209817623822414,0.24287856071964017,2000,1-degree spatial block
KPK-AJK,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9759929321422645,0.9649068601416692,0.011086072000595304,-0.008587136823253558,0.07799012657530577,0.41879060469765117,2000,1-degree spatial block
KPK-AJK,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.05961454361093732,0.08016692197450957,-0.020552378363572252,-0.03237407822802806,-0.00710207124672167,0.008995502248875561,2000,1-degree spatial block
KPK-AJK,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9662848216610258,0.9688883103358501,-0.0026034886748242947,-0.021947895601617716,0.038281070786249906,0.7756121939030485,2000,1-degree spatial block
KPK-AJK,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.951468235410613,0.9649068601416692,-0.01343862473105617,-0.048417292487128186,0.07070331427071895,0.638680659670165,2000,1-degree spatial block
KPK-AJK,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.06948682674348595,0.08016692197450957,-0.010680095231023617,-0.027988666786190584,0.009342597279347895,0.3188405797101449,2000,1-degree spatial block
KPK-AJK,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9793348086435825,0.9662848216610258,0.01304998698255666,0.0015005063863943874,0.027119752906269803,0.0239880059970015,2000,1-degree spatial block
KPK-AJK,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9759929321422645,0.951468235410613,0.024524696731651474,0.002771130934724045,0.05487396648512254,0.021989005497251374,2000,1-degree spatial block
KPK-AJK,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.05961454361093732,0.06948682674348595,-0.009872283132548634,-0.029121569378284126,0.0017810887450400814,0.10294852573713144,2000,1-degree spatial block
Balochistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.8942577030812324,0.8824872972444793,0.01177040583675315,-0.03043443585469165,0.06352559449304983,0.6276861569215393,2000,1-degree spatial block
Balochistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9039269181482998,0.9023966821701466,0.0015302359781532715,-0.03461711932220363,0.041248261816945866,0.9615192403798101,2000,1-degree spatial block
Balochistan,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.14776160667679786,0.14646759112996635,0.0012940155468315062,-0.04968633545856224,0.04930802228937607,0.9355322338830585,2000,1-degree spatial block
Balochistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.8140919158361019,0.8824872972444793,-0.06839538140837742,-0.12256059576576907,-0.005461902550806629,0.044977511244377814,2000,1-degree spatial block
Balochistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.8069655812657865,0.9023966821701466,-0.09543110090436002,-0.17595142820714585,-0.03821760756025233,0.001999000499750125,2000,1-degree spatial block
Balochistan,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.20126464833411034,0.14646759112996635,0.05479705720414399,-0.00972555851492664,0.12054252634062931,0.08995502248875563,2000,1-degree spatial block
Balochistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.8942577030812324,0.8140919158361019,0.08016578724513057,0.048347371900370424,0.11258547812019569,0.0009995002498750624,2000,1-degree spatial block
Balochistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9039269181482998,0.8069655812657865,0.0969613368825133,0.058732082520141005,0.15097148115834136,0.0009995002498750624,2000,1-degree spatial block
Balochistan,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.14776160667679786,0.20126464833411034,-0.05350304165731248,-0.07773306467076627,-0.031677985197720596,0.0009995002498750624,2000,1-degree spatial block
Punjab-Sindh,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9902517623363545,0.9901309164149044,0.00012084592145011896,-0.018246673136040024,0.011686274509803956,0.9689067201604814,1993,1-degree spatial block
Punjab-Sindh,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9549532224683663,0.9541761401824705,0.0007770822858957915,-0.18004886957783997,0.18890987483029842,0.9398194583751254,1993,1-degree spatial block
Punjab-Sindh,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.03328105789660365,0.03904780023792714,-0.005766742341323489,-0.01646877267992348,0.005644982498654255,0.320962888665998,1993,1-degree spatial block
Punjab-Sindh,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9626183282980867,0.9901309164149044,-0.02751258811681767,-0.0854901960784314,0.009174841677807294,0.12337011033099297,1993,1-degree spatial block
Punjab-Sindh,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.8790358697201719,0.9541761401824705,-0.07514027046229865,-0.40181721732130193,0.21130148082444344,0.20561685055165496,1993,1-degree spatial block
Punjab-Sindh,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.0614101931938762,0.03904780023792714,0.022362392955949065,-0.0010629934014843383,0.054482130604216736,0.07221664994984955,1993,1-degree spatial block
Punjab-Sindh,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9902517623363545,0.9626183282980867,0.02763343403826779,0.00034952701619359603,0.07227209552012658,0.04714142427281846,1993,1-degree spatial block
Punjab-Sindh,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9549532224683663,0.8790358697201719,0.07591735274819444,-0.037022714823293355,0.24926181426447333,0.14543630892678033,1993,1-degree spatial block
Punjab-Sindh,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.03328105789660365,0.0614101931938762,-0.028129135297272553,-0.053452352399516415,-0.00878392009770613,0.0010030090270812437,1993,1-degree spatial block
