held_out_domain,feature_set,feature_set_name,n_test,n_positive,n_control,roc_auc,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc,pr_auc_ci95_low,pr_auc_ci95_high,brier,brier_ci95_low,brier_ci95_high,ece_10bin,delta_roc_auc_vs_conventional,delta_roc_auc_ci95_low,delta_roc_auc_ci95_high,delta_roc_auc_p,delta_pr_auc_vs_conventional,delta_pr_auc_ci95_low,delta_pr_auc_ci95_high,delta_pr_auc_p,delta_brier_vs_conventional,delta_brier_ci95_low,delta_brier_ci95_high,delta_brier_p
Kashgar,conventional,Conventional,846,323,523,0.9614808588223456,0.8511650945641176,0.9824889300989348,0.9446592836203008,0.6198850747883163,0.9826666642412104,0.0723401530441486,0.0475086114555639,0.1154219879835321,0.0609360054339501,,,,,,,,,,,,
Kashgar,alphaearth_embeddings,AlphaEarth Embeddings,846,323,523,0.9272475418667014,0.7238229532820167,0.9714239228630802,0.909298396758112,0.4569604366351292,0.9710559562537155,0.0942452363945499,0.0548243136552315,0.1330922860347765,0.0322944069666713,,,,,,,,,,,,
Kashgar,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,846,323,523,0.958124419134666,0.797216577540107,0.9849075472994294,0.9480645620240762,0.5638790851983694,0.9864893499310884,0.0672505482568104,0.0415889592534901,0.1102325183447282,0.0215277283264472,-0.0033564396876794023,-0.055729371330135426,0.007144712484902117,0.6456771614192903,0.003405278403775247,-0.05674418435359431,0.04948042595655266,0.5717141429285357,-0.0050896047873381645,-0.025628299431394955,0.01402909630842811,0.5507246376811594
Gilgit-Baltistan,conventional,Conventional,721,427,294,0.9703197438225876,0.9564495530012772,0.9917795918450776,0.9817504452089532,0.9784416845048052,0.99065916552751,0.058192801537627,0.0342120245482405,0.0738438427170292,0.0283058640969926,,,,,,,,,,,,
Gilgit-Baltistan,alphaearth_embeddings,AlphaEarth Embeddings,721,427,294,0.9621389539422328,0.9443157258429992,0.9824902723735408,0.9626023585188872,0.9425234375236444,0.970709413348023,0.0703683723356636,0.0448116035523694,0.0989440003363463,0.0413558797043154,,,,,,,,,,,,
Gilgit-Baltistan,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,721,427,294,0.9806911054820054,0.970966202432528,0.9938775510204082,0.9859581069180628,0.9844423416866168,0.9922717066331368,0.0440144701941352,0.0251628680517983,0.0620940057841057,0.0212301827078226,0.010371361659417877,0.0013887325000938588,0.01545099863059718,0.01699150424787606,0.004207661709109467,0.0008021831224570564,0.007615454231664209,0.013993003498250875,-0.01417833134349182,-0.023737990084270005,-0.003314849426302164,0.017991004497751123
KPK-AJK,conventional,Conventional,351,167,184,0.96888831033585,0.931453698359106,0.9924043862648784,0.9649068601416692,0.8936720587467314,0.9927752319913018,0.0801669219745095,0.0582131638463177,0.1009428186167646,0.0927323379472975,,,,,,,,,,,,
KPK-AJK,alphaearth_embeddings,AlphaEarth Embeddings,351,167,184,0.9662848216610258,0.9442059678807956,0.9829729284369116,0.951468235410613,0.9051638344277532,0.9758017794604592,0.0694868267434859,0.0484623316580686,0.0973044325617042,0.0683042952060478,,,,,,,,,,,,
KPK-AJK,conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,351,167,184,0.9793348086435824,0.9654811067472472,0.991445937451798,0.9759929321422643,0.9545448393291946,0.9889755747530792,0.0596145436109373,0.0400471842432971,0.0794260198131554,0.0599528729509148,0.010446498307732366,-0.006636843305499384,0.04209817623822414,0.24287856071964017,0.011086072000595304,-0.008587136823253558,0.07799012657530577,0.41879060469765117,-0.020552378363572252,-0.03237407822802806,-0.00710207124672167,0.008995502248875561
Balochistan,conventional,Conventional,992,516,476,0.8824872972444793,0.8103969266422352,0.9329034082018955,0.9023966821701466,0.8124114195562239,0.945437936370915,0.1464675911299663,0.1010577917479839,0.2035140453996882,0.0639290664062636,,,,,,,,,,,,
