feature_set,feature_set_name,held_out_domain_source,held_out_domain,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional,Conventional,Northern high mountains,Northern high mountains,1420,1353,1896,907,989,20.0,20.0,0.9394630906899825,0.9380245529835296,0.8820520767026041,0.8756998880179171,0.8896473265073948,0.8621830209481808,0.9019211324570273,0.10100906003232055,0.33418839978242193,0.07655657754428034,0.3533093275238145
conventional,Conventional,Western arid region,Western arid region,2657,2579,659,337,322,20.0,20.0,0.9366256888512082,0.9410589144530478,0.8534889507344674,0.8620689655172413,0.8356545961002786,0.8902077151335311,0.8167701863354038,0.10392016954779192,0.33108246120166,0.036749903191259405,0.3534271552896552
conventional,Conventional,Indus lowland,Indus lowland,2963,2886,353,88,265,20.0,20.0,0.9655660377358491,0.8749552112161989,0.8750857632933104,0.8235294117647058,0.8536585365853658,0.7954545454545454,0.9547169811320755,0.07563335905243049,0.24653374278229462,0.08163721453537581,0.32243067387395835
conventional,Conventional,Southern coastal region,Southern coastal region,3097,3087,219,99,120,20.0,20.0,0.9283670033670033,0.9080969218343738,0.872979797979798,0.863849765258216,0.8070175438596491,0.9292929292929293,0.8166666666666667,0.10138305144021557,0.34596645340143284,0.05981662634135436,0.4309039503927886
conventional,Conventional,Transitional foothills and plateaus,Transitional foothills and plateaus,3127,3040,189,77,112,20.0,20.0,0.9496753246753247,0.9380345828711818,0.8713474025974026,0.8439306358381503,0.7604166666666666,0.948051948051948,0.7946428571428571,0.10217568420847398,0.3296075002539193,0.10707788848570267,0.45705882295132094
alphaearth_embeddings,AlphaEarth Embeddings,Northern high mountains,Northern high mountains,1420,1353,1896,907,989,20.0,20.0,0.9066032866492832,0.9009959984343187,0.8285902368166702,0.8027551659361303,0.9289855072463769,0.7067254685777288,0.9504550050556118,0.12833771842800182,0.4120794092507137,0.08372508493952037,0.46635173028832644
alphaearth_embeddings,AlphaEarth Embeddings,Western arid region,Western arid region,2657,2579,659,337,322,20.0,20.0,0.9044639401367566,0.90484520238696,0.8244373997825165,0.8237082066869301,0.8442367601246106,0.8041543026706232,0.84472049689441,0.1272754174627327,0.40013907116564784,0.04303424835325746,0.49218656646731834
alphaearth_embeddings,AlphaEarth Embeddings,Indus lowland,Indus lowland,2963,2886,353,88,265,20.0,20.0,0.9848627787307033,0.9456270133520008,0.9319039451114923,0.8888888888888888,0.8695652173913043,0.9090909090909091,0.9547169811320755,0.042797448021783174,0.16983056180772038,0.05384849485519136,0.49094653559599577
alphaearth_embeddings,AlphaEarth Embeddings,Southern coastal region,Southern coastal region,3097,3087,219,99,120,20.0,20.0,0.9255892255892255,0.8873233339912002,0.845580808080808,0.8392857142857143,0.752,0.9494949494949495,0.7416666666666667,0.11748863292262121,0.37920097234649836,0.10517921602548255,0.44451795522062965
alphaearth_embeddings,AlphaEarth Embeddings,Transitional foothills and plateaus,Transitional foothills and plateaus,3127,3040,189,77,112,20.0,20.0,0.8536641929499071,0.8198995808971083,0.7869318181818181,0.75,0.7228915662650602,0.7792207792207793,0.7946428571428571,0.15480328656909742,0.48012259347407926,0.08056195436393432,0.5117831456463142
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Northern high mountains,Northern high mountains,1420,1353,1896,907,989,20.0,20.0,0.9424039294421659,0.9443430254715092,0.8868418089614202,0.8766961651917404,0.9428934010152284,0.8191841234840133,0.9544994944388271,0.09605035683664509,0.3242486104804365,0.07473391068092994,0.40599180265659907
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Western arid region,Western arid region,2657,2579,659,337,322,20.0,20.0,0.9523748087804339,0.9557912781305061,0.8807849678382513,0.8790199081163859,0.9082278481012658,0.8516320474777448,0.9099378881987578,0.0898986428228928,0.2900266897056387,0.04417148180174113,0.44801499801734623
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Indus lowland,Indus lowland,2963,2886,353,88,265,20.0,20.0,0.9850771869639794,0.9302345860485768,0.954631217838765,0.9130434782608695,0.875,0.9545454545454546,0.9547169811320755,0.039449548325318835,0.1494576961745785,0.06846786936330287,0.33725326489373514
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Southern coastal region,Southern coastal region,3097,3087,219,99,120,20.0,20.0,0.9403198653198654,0.8955190629878096,0.8866161616161616,0.8789237668161435,0.7903225806451613,0.98989898989899,0.7833333333333333,0.10516780912882127,0.3611278468666266,0.10432999944905097,0.49677969348693174
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,Transitional foothills and plateaus,Transitional foothills and plateaus,3127,3040,189,77,112,20.0,20.0,0.973678107606679,0.9655832990071379,0.8977272727272727,0.872093023255814,0.7894736842105263,0.974025974025974,0.8214285714285714,0.06767721010297315,0.24276767850216735,0.09448197280259506,0.3420643623204591
