held_out_domain,comparison,feature_set_a,feature_set_b,metric,estimate_a,estimate_b,difference_a_minus_b,ci95_low,ci95_high,bootstrap_p_two_sided,bootstrap_repetitions,resampling_unit
Indus lowland,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9850771869639794,0.9655660377358491,0.019511149228130242,0.005097300517052941,0.03989534220246854,0.010994502748625687,2000,1-degree spatial block
Indus lowland,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9302345860485768,0.8749552112161989,0.05527937483237788,-0.021344003427180736,0.1269090508732589,0.08895552223888056,2000,1-degree spatial block
Indus lowland,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.039449548325318835,0.07563335905243049,-0.03618381072711165,-0.07419673436637313,-0.0053136012301935745,0.01199400299850075,2000,1-degree spatial block
Indus lowland,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9848627787307033,0.9655660377358491,0.019296740994854122,0.00012127436928073859,0.04401406723172435,0.050974512743628186,2000,1-degree spatial block
Indus lowland,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.9456270133520008,0.8749552112161989,0.07067180213580193,-0.012955124618973734,0.20196077791156627,0.06996501749125437,2000,1-degree spatial block
Indus lowland,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.04279744802178317,0.07563335905243049,-0.03283591103064732,-0.07993513212555256,0.005071753914567999,0.11694152923538231,2000,1-degree spatial block
Indus lowland,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9850771869639794,0.9848627787307033,0.0002144082332761199,-0.008951765947091784,0.007922722488407336,0.783608195902049,2000,1-degree spatial block
Indus lowland,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9302345860485768,0.9456270133520008,-0.01539242730342405,-0.11162592292599667,0.025611509403268406,0.6316841579210395,2000,1-degree spatial block
Indus lowland,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.039449548325318835,0.04279744802178317,-0.003347899696464332,-0.013272398722833383,0.007289958455172409,0.5197401299350325,2000,1-degree spatial block
Northern high mountains,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9424039294421659,0.9394630906899825,0.002940838752183428,-0.009462890211804914,0.01811178199590439,0.7296351824087957,2000,1-degree spatial block
Northern high mountains,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9443430254715092,0.9380245529835296,0.006318472487979565,-0.008760543340232319,0.03312325558411149,0.4577711144427786,2000,1-degree spatial block
Northern high mountains,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.0960503568366451,0.10100906003232055,-0.004958703195675443,-0.02124092362249155,0.0098418391787894,0.5767116441779111,2000,1-degree spatial block
Northern high mountains,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9066032866492832,0.9394630906899825,-0.032859804040699214,-0.08307172393688998,0.0233693374843302,0.22688655672163918,2000,1-degree spatial block
Northern high mountains,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.9009959984343187,0.9380245529835296,-0.037028554549210946,-0.09644673965416843,0.02347077810648335,0.20789605197401298,2000,1-degree spatial block
Northern high mountains,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.1283377184280018,0.10100906003232055,0.027328658395681243,-0.04271869554949134,0.10033742446120637,0.46276861569215394,2000,1-degree spatial block
Northern high mountains,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9424039294421659,0.9066032866492832,0.03580064279288264,-0.009068429885461148,0.07662005618805985,0.10194902548725637,2000,1-degree spatial block
Northern high mountains,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9443430254715092,0.9009959984343187,0.04334702703719051,0.0005392215909110905,0.09582377804343782,0.047976011994003,2000,1-degree spatial block
Northern high mountains,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.0960503568366451,0.1283377184280018,-0.032287361591356686,-0.09344220900304424,0.025361962593068138,0.2818590704647676,2000,1-degree spatial block
Southern coastal region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9403198653198654,0.9283670033670033,0.01195286195286216,-0.013394795308857812,0.02940656467430316,0.2898550724637681,2000,1-degree spatial block
Southern coastal region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.8955190629878096,0.9080969218343738,-0.01257785884656426,-0.0917458876415415,0.04695491093539309,0.9505247376311844,2000,1-degree spatial block
Southern coastal region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.10516780912882126,0.10138305144021557,0.003784757688605686,-0.037327632469841054,0.04887471633137319,0.8305847076461769,2000,1-degree spatial block
Southern coastal region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9255892255892255,0.9283670033670033,-0.002777777777777768,-0.0779419647976149,0.061765870659032586,0.9005497251374313,2000,1-degree spatial block
Southern coastal region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.8873233339912002,0.9080969218343738,-0.020773587843173624,-0.16224036930507002,0.09213909382487516,0.7086456771614192,2000,1-degree spatial block
Southern coastal region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.11748863292262121,0.10138305144021557,0.016105581482405637,-0.04319578807078108,0.07218113647596916,0.5737131434282858,2000,1-degree spatial block
Southern coastal region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9403198653198654,0.9255892255892255,0.014730639730639927,-0.04352839839068652,0.06956621551483215,0.6066966516741629,2000,1-degree spatial block
Southern coastal region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.8955190629878096,0.8873233339912002,0.008195728996609364,-0.06997218241522724,0.10432094398999855,0.7346326836581709,2000,1-degree spatial block
Southern coastal region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.10516780912882126,0.11748863292262121,-0.012320823793799951,-0.04767054089303173,0.026176245611087084,0.5067466266866567,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.973678107606679,0.9496753246753247,0.024002782931354383,-0.023957619622901983,0.12144774496336987,0.5417291354322838,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9655832990071379,0.9380345828711818,0.02754871613595611,-0.023442316896726958,0.1512037266184985,0.4497751124437781,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.06767721010297313,0.10217568420847398,-0.034498474105500845,-0.08560964188307744,0.006546395280463277,0.095952023988006,2000,1-degree spatial block
Transitional foothills and plateaus,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.8536641929499071,0.9496753246753247,-0.09601113172541753,-0.17591859705324608,0.06326834151092979,0.18990504747626186,2000,1-degree spatial block
Transitional foothills and plateaus,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.8198995808971083,0.9380345828711818,-0.11813500197407345,-0.27271473130782264,0.07863204828403161,0.21489255372313842,2000,1-degree spatial block
Transitional foothills and plateaus,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.15480328656909742,0.10217568420847398,0.05262760236062344,-0.032356494335338576,0.10702410462028865,0.2108945527236382,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.973678107606679,0.8536641929499071,0.12001391465677191,0.04165747162673389,0.1674160635128178,0.0009995002498750624,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9655832990071379,0.8198995808971083,0.14568371811002956,0.04195119757839151,0.26893006948401077,0.0009995002498750624,2000,1-degree spatial block
Transitional foothills and plateaus,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.06767721010297313,0.15480328656909742,-0.08712607646612429,-0.11488113927692181,-0.0428324342187065,0.0009995002498750624,2000,1-degree spatial block
Western arid region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,roc_auc,0.9523748087804339,0.9366256888512082,0.015749119929225674,0.003709340369771935,0.026725052736991467,0.01899050474762619,2000,1-degree spatial block
Western arid region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,pr_auc,0.9557912781305061,0.9410589144530478,0.014732363677458338,0.0030401610403118368,0.03962506292800255,0.013993003498250875,2000,1-degree spatial block
Western arid region,Fusion - Conventional,conventional_alphaearth_embeddings,conventional,brier,0.08989864282289278,0.10392016954779192,-0.014021526724899133,-0.025196361111582313,-0.004720818412228583,0.0009995002498750624,2000,1-degree spatial block
Western arid region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,roc_auc,0.9044639401367566,0.9366256888512082,-0.032161748714451655,-0.07026280473605005,-0.0014633998852346646,0.04097951024487756,2000,1-degree spatial block
Western arid region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,pr_auc,0.90484520238696,0.9410589144530478,-0.03621371206608781,-0.11254843127797826,0.007974163135285196,0.10294852573713144,2000,1-degree spatial block
Western arid region,AlphaEarth - Conventional,alphaearth_embeddings,conventional,brier,0.1272754174627327,0.10392016954779192,0.02335524791494077,0.0002312167548681803,0.0445727587445598,0.04897551224387806,2000,1-degree spatial block
Western arid region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,roc_auc,0.9523748087804339,0.9044639401367566,0.04791086864367733,0.02343089646623491,0.07928147762623246,0.0009995002498750624,2000,1-degree spatial block
Western arid region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,pr_auc,0.9557912781305061,0.90484520238696,0.05094607574354615,0.02042772558998586,0.12647406504860675,0.0009995002498750624,2000,1-degree spatial block
Western arid region,Fusion - AlphaEarth,conventional_alphaearth_embeddings,alphaearth_embeddings,brier,0.08989864282289278,0.1272754174627327,-0.037376774639839905,-0.059243355224916625,-0.018571063946651433,0.0009995002498750624,2000,1-degree spatial block
