feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
fused_reduced,Conventional + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9524767432446997,0.022421729588637317,0.9272002963958798,0.05541806239966666,0.8837262114456117,0.042818371239194006,0.8628534393619388,0.06188392043767051,0.08225687576329192,0.01800231840661412
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,0.9500909259559389,0.024266521071250755,0.9269308864177355,0.05683654534642155,0.8777423630032866,0.04063899763089133,0.8567075670420591,0.061041785679541175,0.08571641990711816,0.020508923204166606
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,0.947133743635772,0.026909187395752345,0.9245888141568024,0.058099819961657466,0.8159091758529357,0.0568215840465485,0.7723848485307775,0.0826608526343784,0.08994491709441645,0.024586174719001347
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,0.9476102683412954,0.024973543091583037,0.9232334863841404,0.05646602520586259,0.8755355444378224,0.04328810454238364,0.8534558719244829,0.06507292331861066,0.08657753037089788,0.020050298173575794
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,0.9455393354047359,0.025228054287755087,0.9223081698066805,0.058127743669770714,0.8302303213531872,0.05657151935084082,0.7939385846139718,0.07945462071427524,0.09021524653086854,0.0241928063703312
alphaearth_only,AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9505974570434352,0.02518163702626574,0.9217711769448353,0.05927474120702991,0.8791206925589405,0.03843277018338725,0.8596779565045363,0.06665922984659814,0.08230520859921604,0.01963343145124436
alphaearth_only,AlphaEarth Embeddings,catboost,CatBoost,0.9462090634390041,0.0285929101787072,0.921010125033356,0.06269515157474453,0.8731939132105694,0.04822118853007421,0.851256042025468,0.07005006878469348,0.08507577568198395,0.019691018026364346
fused_reduced,Conventional + AlphaEarth Embeddings,catboost,CatBoost,0.945142510861922,0.026409206322970863,0.9205782096631093,0.05914651870103022,0.8649100385005534,0.043066081351913726,0.8416597192304394,0.06446267800776094,0.08669625753411185,0.019619006173696673
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9466231331031156,0.02222135289912828,0.9196868320743713,0.06235558254247263,0.8686200449056967,0.04042845731081982,0.8456485892639778,0.06563465490073918,0.08669966943091714,0.019583153313409134
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9468635259381358,0.024952686298224742,0.918968042907862,0.06451071075852602,0.8746499439680907,0.04341045896808749,0.8521438522655487,0.06806210826389217,0.08544026772670077,0.01961814340845039
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,0.9420494616643845,0.02673037295281266,0.9158572712594919,0.05676538055860005,0.8397783539204502,0.04655776711206479,0.8057478563160236,0.05855085972288743,0.1009658642610902,0.017849978422780945
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,0.9418864102274821,0.02676793937025513,0.9156386752315328,0.05730688124702084,0.8475920705876803,0.04544615180479313,0.8159920454826446,0.05744069808587159,0.09783868469423966,0.01730095599360337
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,0.9394756341516187,0.030097362239799072,0.9120815862730348,0.06792721882727298,0.8569981465351129,0.05268999728413227,0.8335321883189364,0.07877242528129255,0.09771377097011154,0.019253221967576895
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,0.9385088083321641,0.03248182203068422,0.9107528553198438,0.07034479974945794,0.8528389331528402,0.049842330716711354,0.8266557412928155,0.07478745810436413,0.09966929808788907,0.01972061050348998
conventional_reduced,Conventional,random_forest,Random Forest,0.823200850076247,0.04575799006027108,0.7198122666009767,0.15860169525657325,0.6444241537468538,0.043370515663901384,0.49030817364668283,0.09488148742590273,0.18782228657836555,0.020845788316776
conventional_reduced,Conventional,lightgbm,LightGBM,0.8147750233170237,0.047132351518113375,0.7173183916267656,0.1582822311948792,0.6251609111314252,0.06003856381312415,0.4434459482162705,0.13504254886908182,0.22639242509766055,0.04496398862698241
conventional_reduced,Conventional,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.8174466525318624,0.044916364118274,0.7144010914557075,0.1605397884669253,0.7432816661231046,0.05176970969911981,0.7112466881992269,0.12509970632050726,0.17613655475942938,0.01629833440030555
conventional_reduced,Conventional,extra_trees,Extra Trees,0.8109488458016519,0.05020742944022647,0.7127017191793037,0.16949712982670426,0.6246636445971594,0.03959317861900542,0.43718909258729377,0.09479292091446931,0.19053922371700485,0.024911536545294675
conventional_reduced,Conventional,catboost,CatBoost,0.8131408462485116,0.06973745479779543,0.7106420051376048,0.2004003113208364,0.6590361701823968,0.06057370904152287,0.5246930822627061,0.1324542973254712,0.19367672560711624,0.01546103871919478
conventional_reduced,Conventional,xgboost,XGBoost,0.8069320546146104,0.061653123514900966,0.6972293683173634,0.1866465756028528,0.6469614109966113,0.06401191233533972,0.5048570048592029,0.14521143841310352,0.20191095806764753,0.022260911116572066
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),0.6406869787427789,0.0944404062934992,0.533279658951298,0.19434362540226183,0.5979067651675658,0.056273056105828875,0.5537384527428567,0.14271436290631748,0.24331608607152028,0.025514440313255657
