factor,factor_name,official_reduced_strategy,reason
A00,AlphaEarth embedding band A00,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A01,AlphaEarth embedding band A01,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A02,AlphaEarth embedding band A02,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A03,AlphaEarth embedding band A03,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A04,AlphaEarth embedding band A04,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A05,AlphaEarth embedding band A05,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A06,AlphaEarth embedding band A06,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A07,AlphaEarth embedding band A07,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A08,AlphaEarth embedding band A08,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A09,AlphaEarth embedding band A09,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A10,AlphaEarth embedding band A10,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A11,AlphaEarth embedding band A11,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A12,AlphaEarth embedding band A12,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A13,AlphaEarth embedding band A13,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A14,AlphaEarth embedding band A14,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A15,AlphaEarth embedding band A15,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A16,AlphaEarth embedding band A16,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A17,AlphaEarth embedding band A17,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A18,AlphaEarth embedding band A18,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A19,AlphaEarth embedding band A19,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A20,AlphaEarth embedding band A20,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A21,AlphaEarth embedding band A21,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A22,AlphaEarth embedding band A22,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A23,AlphaEarth embedding band A23,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A24,AlphaEarth embedding band A24,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A25,AlphaEarth embedding band A25,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A26,AlphaEarth embedding band A26,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A27,AlphaEarth embedding band A27,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A28,AlphaEarth embedding band A28,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A29,AlphaEarth embedding band A29,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A30,AlphaEarth embedding band A30,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A31,AlphaEarth embedding band A31,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A32,AlphaEarth embedding band A32,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A33,AlphaEarth embedding band A33,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A34,AlphaEarth embedding band A34,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A35,AlphaEarth embedding band A35,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A36,AlphaEarth embedding band A36,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A37,AlphaEarth embedding band A37,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A38,AlphaEarth embedding band A38,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A39,AlphaEarth embedding band A39,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A40,AlphaEarth embedding band A40,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A41,AlphaEarth embedding band A41,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A42,AlphaEarth embedding band A42,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A43,AlphaEarth embedding band A43,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A44,AlphaEarth embedding band A44,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A45,AlphaEarth embedding band A45,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A46,AlphaEarth embedding band A46,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A47,AlphaEarth embedding band A47,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A48,AlphaEarth embedding band A48,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A49,AlphaEarth embedding band A49,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A50,AlphaEarth embedding band A50,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A51,AlphaEarth embedding band A51,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A52,AlphaEarth embedding band A52,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A53,AlphaEarth embedding band A53,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A54,AlphaEarth embedding band A54,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A55,AlphaEarth embedding band A55,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A56,AlphaEarth embedding band A56,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A57,AlphaEarth embedding band A57,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A58,AlphaEarth embedding band A58,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A59,AlphaEarth embedding band A59,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A60,AlphaEarth embedding band A60,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A61,AlphaEarth embedding band A61,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A62,AlphaEarth embedding band A62,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
A63,AlphaEarth embedding band A63,keep,Kept as part of the fixed 64-band AlphaEarth representation; handled by model regularization and spatial CV.
