,elevation_m,slope_deg,aspect_deg,rain_annual_total,rain_monsoon_total,rain_max_1day,rain_max_3day,rain_max_7day,ndvi_median,ndvi_max,ndvi_amplitude,evi_median,lst_day_mean_c,lst_day_max_c,modis_lc_type1
elevation_m,1.0,0.3927016375627697,-0.1288258015552242,0.47260822709095923,0.07251316458090523,0.21978716986643382,0.3470794458822771,0.41606609634410024,-0.5421095570602691,-0.1791605627740015,0.23744470816986085,-0.6052132718524169,-0.8786679222062135,-0.7981823493621761,0.19662123464483694
slope_deg,0.3927016375627697,1.0,-0.010320476787664946,0.43780073320298984,0.22094702339297656,0.2112439064142099,0.2665560887234997,0.29469765334252673,-0.044314738381814496,0.15325743260546923,0.31051376777239065,-0.14818529713884748,-0.47390440365614017,-0.42034692458745154,-0.027499836214949693
aspect_deg,-0.1288258015552242,-0.010320476787664946,1.0,0.035150206748699786,0.04562854646037965,0.08094689260508164,0.05623531743740688,0.03209708982449542,0.12972501270233888,0.1825468771177573,0.1587099172278242,0.06347092561441238,0.07206693335942257,0.01852104452898284,-0.12013684558992226
rain_annual_total,0.47260822709095923,0.43780073320298984,0.035150206748699786,1.0,0.776759652790488,0.7807304650599944,0.8857725567983593,0.8983501834861448,0.051532188072185306,0.33878213536333723,0.5692897870487919,-0.05991530279647449,-0.680706721714755,-0.6887198861266389,-0.25244219982620886
rain_monsoon_total,0.07251316458090523,0.22094702339297656,0.04562854646037965,0.776759652790488,1.0,0.6067564290098334,0.6757435913994192,0.6537401761691105,0.23034633560913695,0.36659054938832636,0.4484374848369934,0.1790154162541813,-0.33404983933305565,-0.38825135958931817,-0.3326273282545581
rain_max_1day,0.21978716986643382,0.2112439064142099,0.08094689260508164,0.7807304650599944,0.6067564290098334,1.0,0.9005377442494452,0.8574945357985837,0.13995819868622114,0.31759308445041456,0.4196749983950764,0.08793788930851619,-0.41968134770287646,-0.4618932803394088,-0.2884602051180008
rain_max_3day,0.3470794458822771,0.2665560887234997,0.05623531743740688,0.8857725567983593,0.6757435913994192,0.9005377442494452,1.0,0.9594727851422545,0.07866680910953147,0.31795150942520495,0.5052443768272886,0.0017474509843945223,-0.559749200137138,-0.5845091562620413,-0.25370207701428427
rain_max_7day,0.41606609634410024,0.29469765334252673,0.03209708982449542,0.8983501834861448,0.6537401761691105,0.8574945357985837,0.9594727851422545,1.0,0.032416011578595014,0.2946639197449377,0.5151192540945898,-0.0468987198374772,-0.6125831687381643,-0.62736163006263,-0.22019847816341878
ndvi_median,-0.5421095570602691,-0.044314738381814496,0.12972501270233888,0.051532188072185306,0.23034633560913695,0.13995819868622114,0.07866680910953147,0.032416011578595014,1.0,0.7310700555304727,0.3216191343633943,0.9401956668934575,0.327277087634417,0.2236022387220382,-0.5698851776121547
ndvi_max,-0.1791605627740015,0.15325743260546923,0.1825468771177573,0.33878213536333723,0.36659054938832636,0.31759308445041456,0.31795150942520495,0.2946639197449377,0.7310700555304727,1.0,0.7861010325154427,0.6259323797720017,-0.09899121205593507,-0.17025779192088525,-0.5521690066411322
ndvi_amplitude,0.23744470816986085,0.31051376777239065,0.1587099172278242,0.5692897870487919,0.4484374848369934,0.4196749983950764,0.5052443768272886,0.5151192540945898,0.3216191343633943,0.7861010325154427,1.0,0.17961551815224278,-0.5466249052791985,-0.5691629027392875,-0.36290004733356307
evi_median,-0.6052132718524169,-0.14818529713884748,0.06347092561441238,-0.05991530279647449,0.1790154162541813,0.08793788930851619,0.0017474509843945223,-0.0468987198374772,0.9401956668934575,0.6259323797720017,0.17961551815224278,1.0,0.42679251116890554,0.31325250735427146,-0.5550042893004493
lst_day_mean_c,-0.8786679222062135,-0.47390440365614017,0.07206693335942257,-0.680706721714755,-0.33404983933305565,-0.41968134770287646,-0.559749200137138,-0.6125831687381643,0.327277087634417,-0.09899121205593507,-0.5466249052791985,0.42679251116890554,1.0,0.9516556989807993,-0.003353190637043325
lst_day_max_c,-0.7981823493621761,-0.42034692458745154,0.01852104452898284,-0.6887198861266389,-0.38825135958931817,-0.4618932803394088,-0.5845091562620413,-0.62736163006263,0.2236022387220382,-0.17025779192088525,-0.5691629027392875,0.31325250735427146,0.9516556989807993,1.0,0.10667459910330884
modis_lc_type1,0.19662123464483694,-0.027499836214949693,-0.12013684558992226,-0.25244219982620886,-0.3326273282545581,-0.2884602051180008,-0.25370207701428427,-0.22019847816341878,-0.5698851776121547,-0.5521690066411322,-0.36290004733356307,-0.5550042893004493,-0.003353190637043325,0.10667459910330884,1.0
