factor,factor_name,r2_against_other_factors,vif
lst_day_mean_c,Mean daytime LST,0.9722599315404895,36.048937711152504
ndvi_max,NDVI maximum,0.9695024877602914,32.78955975622074
relief,Relief,0.9688406741727129,32.09312054897774
tri,Terrain ruggedness index,0.9660504522465209,29.455473376593666
rain_annual_total,Annual rainfall total,0.9641683500759795,27.908287843860286
ndvi_amplitude,NDVI amplitude,0.9480256104083038,19.240245202605845
rain_max_3day,Maximum 3-day rainfall,0.9474772733589701,19.03937712210883
ndvi_median,NDVI median,0.9441736007552342,17.912672383106596
rain_monsoon_total,Monsoon rainfall total,0.9432994733074372,17.63652047576424
lst_day_max_c,Maximum daytime LST,0.9401404461401264,16.705771017621
evi_median,EVI median,0.9396781273002257,16.577734663130606
rain_max_7day,Maximum 7-day rainfall,0.9320748667266279,14.722091099555014
elevation_m,Elevation,0.9304549809312852,14.379175006220617
rain_max_1day,Maximum 1-day rainfall,0.868896957967841,7.627588074994513
log1p_dist_river_m,Distance to rivers/streams,0.7368846093784982,3.800613858573273
dist_river_m,Distance to rivers/streams,0.6829711142577908,3.154286706900096
dist_road_m,Distance to roads,0.6441858201231735,2.810455728172985
dist_fault_m,Distance to active faults,0.6412304039229078,2.7873041944867603
log1p_dist_fault_m,Distance to active faults,0.6278946887319465,2.6874112508424535
log1p_dist_road_m,Distance to roads,0.619514276874277,2.6282195079092947
valley_depth,Valley depth,0.563198075511171,2.2893672026977856
lithology_code,Lithology/geology class,0.5101294348808545,2.0413555563535066
ls_factor,LS factor,0.4868086506433531,1.9485909130261685
slope_deg,Slope,0.4238191919426926,1.735566311852128
modis_lc_type1,MODIS land cover,0.373598908310493,1.59642122797525
aspect_deg,Aspect,0.3603629522408772,1.5633866166810655
twi,Topographic wetness index,0.3564965591013013,1.553993244548045
plan_curvature,Plan curvature,0.31723858120753756,1.4646404622109557
soil_type,Soil type,0.3089669975385867,1.4471088883426217
eq_density_ms5,Earthquake density > Ms5,0.2408414530736478,1.317247897753053
profile_curvature,Profile curvature,0.18973439289341454,1.2341632067674029
