factor,factor_name,r2_against_other_factors,vif
relief,Relief,0.9680821237965855,31.330405369923188
tri,Terrain ruggedness index,0.9652962895836125,28.81536262266029
lst_day_mean_c,Mean daytime LST,0.9188462103439495,12.322283460060751
elevation_m,Elevation,0.9180747787874473,12.206253278285661
rain_monsoon_total,Monsoon rainfall total,0.7518540155496799,4.029885884372247
rain_max_1day,Maximum 1-day rainfall,0.7270529748261962,3.6637145957653603
ndvi_median,NDVI median,0.6443928455931041,2.8120919042471546
ndvi_amplitude,NDVI amplitude,0.48520201814391384,1.9425095576220692
valley_depth,Valley depth,0.4750027216203778,1.9047717791727414
lithology_code,Lithology/geology class,0.47077821964982447,1.8895669776446462
log1p_dist_river_m,Distance to rivers/streams,0.36594659068578883,1.5771542039046753
slope_deg,Slope,0.34017452309394736,1.5155522710172378
twi,Topographic wetness index,0.3379270118406865,1.5104074896337134
modis_lc_type1,MODIS land cover,0.32308280052979554,1.4772855539535106
plan_curvature,Plan curvature,0.3049784572794839,1.4388043226483451
aspect_deg,Aspect,0.2815163545862144,1.3918201289384742
log1p_dist_fault_m,Distance to active faults,0.25958088307720517,1.3505864140245751
soil_type,Soil type,0.2419434293376339,1.3191627626500635
log1p_dist_road_m,Distance to roads,0.23856891058262264,1.3133164824740318
eq_density_ms5,Earthquake density > Ms5,0.19693602457061032,1.245230804264767
profile_curvature,Profile curvature,0.18060723523204092,1.2204159506865873
