,elevation_m,slope_deg,aspect_deg,rain_annual_total,rain_monsoon_total,rain_max_1day,rain_max_3day,rain_max_7day,ndvi_median,ndvi_max,ndvi_amplitude,evi_median,lst_day_mean_c,lst_day_max_c,modis_lc_type1,dist_road_m,log1p_dist_road_m,dist_river_m,log1p_dist_river_m,dist_fault_m,log1p_dist_fault_m,lithology_code,profile_curvature,plan_curvature,tri,twi,valley_depth,relief,ls_factor,soil_type,eq_density_ms5
elevation_m,1.0,0.3927016375627697,-0.1288258015552242,0.47260822709095923,0.07251316458090523,0.21978716986643382,0.3470794458822771,0.41606609634410024,-0.5421095570602691,-0.1791605627740015,0.23744470816986085,-0.6052132718524169,-0.8786679222062135,-0.7981823493621761,0.19662123464483694,0.10859657338192426,0.10859657338192426,0.19953899469399114,0.19953899469399114,0.14644967298853406,0.14644967298853406,-0.00465252090727383,0.33195119531633493,-0.2556135583495933,0.500105491016168,-0.23719633971963666,0.33053370141183464,0.5394873268409528,0.5392395437743015,0.310182582283143,-0.14635618408041778
slope_deg,0.3927016375627697,1.0,-0.010320476787664946,0.43780073320298984,0.22094702339297656,0.2112439064142099,0.2665560887234997,0.29469765334252673,-0.044314738381814496,0.15325743260546923,0.31051376777239065,-0.14818529713884748,-0.47390440365614017,-0.42034692458745154,-0.027499836214949693,-0.12881495256733538,-0.12881495256733538,-0.2202879295987975,-0.2202879295987975,0.09346859731530424,0.09346859731530424,0.11066025315438031,0.27274950349530674,-0.21488033011375138,0.38523260452973535,-0.14078200057365867,0.38102240722900227,0.41150856110117917,0.417128220555219,0.062050412660600664,0.08520916893567122
aspect_deg,-0.1288258015552242,-0.010320476787664946,1.0,0.035150206748699786,0.04562854646037965,0.08094689260508164,0.05623531743740688,0.03209708982449542,0.12972501270233888,0.1825468771177573,0.1587099172278242,0.06347092561441238,0.07206693335942257,0.01852104452898284,-0.12013684558992226,0.20184364340807584,0.20184364340807584,-0.021208432281443104,-0.021208432281443104,0.09840506211395328,0.09840506211395328,0.46240251669850646,-0.03600200749696564,-0.03520163205978315,0.08577481670876169,0.0062011858140579015,0.012213638054429257,0.07391082160529927,0.07362537576762997,0.1054593377388383,0.10991530390210788
rain_annual_total,0.47260822709095923,0.43780073320298984,0.035150206748699786,1.0,0.776759652790488,0.7807304650599944,0.8857725567983593,0.8983501834861448,0.051532188072185306,0.33878213536333723,0.5692897870487919,-0.05991530279647449,-0.680706721714755,-0.6887198861266389,-0.25244219982620886,-0.08668250983748489,-0.08668250983748489,-0.01381729704030904,-0.01381729704030904,0.05973977888387574,0.05973977888387574,0.4097819022748427,0.19935012616169123,-0.21146874336203642,0.38223982867412754,-0.12260277600164986,0.3369980079650227,0.3992418313746717,0.4132389902836664,0.11128508990684127,-0.02193029433042005
rain_monsoon_total,0.07251316458090523,0.22094702339297656,0.04562854646037965,0.776759652790488,1.0,0.6067564290098334,0.6757435913994192,0.6537401761691105,0.23034633560913695,0.36659054938832636,0.4484374848369934,0.1790154162541813,-0.33404983933305565,-0.38825135958931817,-0.3326273282545581,-0.10482813572929851,-0.10482813572929851,0.004957230648059205,0.004957230648059205,0.024120885968258947,0.024120885968258947,0.3341208209130925,0.008477560886671587,-0.041560851490183494,0.09944913316085366,-0.02867524761716882,0.048465877059519824,0.09558979662105013,0.11716901193181549,0.11523319499048755,0.0560427240780081
rain_max_1day,0.21978716986643382,0.2112439064142099,0.08094689260508164,0.7807304650599944,0.6067564290098334,1.0,0.9005377442494452,0.8574945357985837,0.13995819868622114,0.31759308445041456,0.4196749983950764,0.08793788930851619,-0.41968134770287646,-0.4618932803394088,-0.2884602051180008,-0.03238961554805202,-0.03238961554805202,0.03975118221684214,0.03975118221684214,-0.032938015901160765,-0.032938015901160765,0.4678141756119238,0.09240915129441724,-0.11574604216909538,0.20081106510000385,-0.06415495968822144,0.1557296990019094,0.20693657651271224,0.20709175256775314,0.007392014378078388,0.012098881617982005
rain_max_3day,0.3470794458822771,0.2665560887234997,0.05623531743740688,0.8857725567983593,0.6757435913994192,0.9005377442494452,1.0,0.9594727851422545,0.07866680910953147,0.31795150942520495,0.5052443768272886,0.0017474509843945223,-0.559749200137138,-0.5845091562620413,-0.25370207701428427,-0.0732732410293795,-0.0732732410293795,0.020910872894989826,0.020910872894989826,0.05623581037241833,0.05623581037241833,0.45309146120263805,0.11539792183730985,-0.1501441631326771,0.2788600863245069,-0.06268876635195837,0.24676990362802864,0.2838930399458944,0.28540970774853625,0.0638347200824361,-0.04916193252111645
rain_max_7day,0.41606609634410024,0.29469765334252673,0.03209708982449542,0.8983501834861448,0.6537401761691105,0.8574945357985837,0.9594727851422545,1.0,0.032416011578595014,0.2946639197449377,0.5151192540945898,-0.0468987198374772,-0.6125831687381643,-0.62736163006263,-0.22019847816341878,-0.07909436236556465,-0.07909436236556465,0.02390385552894481,0.02390385552894481,0.08542488475979766,0.08542488475979766,0.4088218500163354,0.13435617314672538,-0.15603320233217022,0.29969226549829125,-0.06874961927048488,0.266027643678449,0.30842730989632566,0.3127044565580099,0.08637898183278879,-0.07620116152225695
ndvi_median,-0.5421095570602691,-0.044314738381814496,0.12972501270233888,0.051532188072185306,0.23034633560913695,0.13995819868622114,0.07866680910953147,0.032416011578595014,1.0,0.7310700555304727,0.3216191343633943,0.9401956668934575,0.327277087634417,0.2236022387220382,-0.5698851776121547,-0.12257698534131801,-0.12257698534131801,-0.18501081438286782,-0.18501081438286782,-0.03914705034647309,-0.03914705034647309,0.2589993866850998,-0.14720656291420656,0.05620942816844187,-0.12401001969495724,0.09142488786998132,-0.07295406487731375,-0.15396437414512568,-0.13114830251698262,-0.2526373639829309,0.15589062545107946
ndvi_max,-0.1791605627740015,0.15325743260546923,0.1825468771177573,0.33878213536333723,0.36659054938832636,0.31759308445041456,0.31795150942520495,0.2946639197449377,0.7310700555304727,1.0,0.7861010325154427,0.6259323797720017,-0.09899121205593507,-0.17025779192088525,-0.5521690066411322,-0.10136995344883913,-0.10136995344883913,-0.12027913404786662,-0.12027913404786662,0.12589424917626982,0.12589424917626982,0.38511431163296456,-0.06534574420579929,-0.010303515185064996,0.07235861356383266,0.048623239778665256,0.12700320015760613,0.042508336201714736,0.06599332087904007,-0.14075510455726853,0.053201153503770665
