feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,0.9500909259559388,0.0242665210712507,0.9269308864177356,0.0568365453464215,0.8777423630032866,0.0406389976308913,0.8567075670420591,0.0610417856795411,0.0857164199071181,0.0205089232041666
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,0.947133743635772,0.0269091873957523,0.9245888141568024,0.0580998199616574,0.8159091758529357,0.0568215840465485,0.7723848485307775,0.0826608526343784,0.0899449170944164,0.0245861747190013
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,0.9476102683412954,0.024973543091583,0.9232334863841404,0.0564660252058625,0.8755355444378224,0.0432881045423836,0.8534558719244829,0.0650729233186106,0.0865775303708978,0.0200502981735757
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,0.945539335404736,0.025228054287755,0.9223081698066804,0.0581277436697707,0.8302303213531872,0.0565715193508408,0.7939385846139718,0.0794546207142752,0.0902152465308685,0.0241928063703312
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9466231331031156,0.0222213528991282,0.9196868320743712,0.0623555825424726,0.8686200449056967,0.0404284573108198,0.8456485892639778,0.0656346549007391,0.0866996694309171,0.0195831533134091
alphaearth_only,AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9468635259381358,0.0249526862982247,0.918968042907862,0.064510710758526,0.8746499439680907,0.0434104589680874,0.8521438522655487,0.0680621082638921,0.0854402677267007,0.0196181434084503
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,0.9420494616643844,0.0267303729528126,0.915857271259492,0.0567653805586,0.8397783539204502,0.0465577671120647,0.8057478563160236,0.0585508597228874,0.1009658642610902,0.0178499784227809
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,0.941886410227482,0.0267679393702551,0.9156386752315328,0.0573068812470208,0.8475920705876803,0.0454461518047931,0.8159920454826446,0.0574406980858715,0.0978386846942396,0.0173009559936033
alphaearth_only,AlphaEarth Embeddings,random_forest,Random Forest,0.9394756341516188,0.030097362239799,0.9120815862730348,0.0679272188272729,0.8569981465351129,0.0526899972841322,0.8335321883189364,0.0787724252812925,0.0977137709701115,0.0192532219675768
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,0.938508808332164,0.0324818220306842,0.9107528553198438,0.0703447997494579,0.8528389331528402,0.0498423307167113,0.8266557412928155,0.0747874581043641,0.099669298087889,0.0197206105034899
conventional_reduced,Conventional,random_forest,Random Forest,0.823200850076247,0.045757990060271,0.7198122666009767,0.1586016952565732,0.6444241537468538,0.0433705156639013,0.4903081736466828,0.0948814874259027,0.1878222865783655,0.0208457883167759
conventional_reduced,Conventional,lightgbm,LightGBM,0.8147750233170237,0.0471323515181133,0.7173183916267656,0.1582822311948792,0.6251609111314252,0.0600385638131241,0.4434459482162705,0.1350425488690818,0.2263924250976605,0.0449639886269824
conventional_reduced,Conventional,extra_trees,Extra Trees,0.8109488458016519,0.0502074294402264,0.7127017191793037,0.1694971298267042,0.6246636445971594,0.0395931786190054,0.4371890925872937,0.0947929209144693,0.1905392237170048,0.0249115365452946
conventional_reduced,Conventional,xgboost,XGBoost,0.8069320546146104,0.0616531235149009,0.6972293683173634,0.1866465756028528,0.6469614109966113,0.0640119123353397,0.5048570048592029,0.1452114384131035,0.2019109580676475,0.022260911116572
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),0.6406869787427789,0.0944404062934992,0.533279658951298,0.1943436254022618,0.5979067651675658,0.0562730561058288,0.5537384527428567,0.1427143629063174,0.2433160860715202,0.0255144403132556
