feature_set,model,feature_set_name,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
conventional_reduced,xgboost,Conventional,XGBoost,1,2592,724,399,325,0.8385347985347985,0.8154038076368157,0.6370271833429728,0.5261382799325464,0.2282779663635813,0.4687343239784241
conventional_reduced,xgboost,Conventional,XGBoost,2,2411,905,532,373,0.8775272631982101,0.8884391014414605,0.7257629663972263,0.6698224852071006,0.2134133373220635,0.4900258779525757
conventional_reduced,xgboost,Conventional,XGBoost,3,2673,643,196,447,0.7174245537141031,0.5146822836653876,0.5874594804364699,0.3455882352941176,0.2094673856347398,0.5715640783309937
conventional_reduced,xgboost,Conventional,XGBoost,4,2846,470,140,330,0.7768181818181819,0.4797748626260089,0.5852813852813853,0.3669724770642202,0.1849346375975483,0.5252612829208374
conventional_reduced,xgboost,Conventional,XGBoost,5,2742,574,241,333,0.824355475807758,0.7878467862171439,0.6992760395250022,0.6157635467980296,0.1734614634203044,0.4905830323696136
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,1,2592,724,399,325,0.9484326200115674,0.9558194143689476,0.8695392326971274,0.8786717752234994,0.0950929653065282,0.4404743313789367
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,2,2411,905,532,373,0.9495051301175188,0.9550715258132684,0.8848747203128464,0.89453125,0.0926481762919421,0.4970052540302276
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,3,2673,643,196,447,0.9064169291877824,0.8231512008091518,0.8046100990731864,0.7388888888888889,0.1121307278095206,0.502271831035614
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,4,2846,470,140,330,0.972012987012987,0.937462448253147,0.9147186147186148,0.8648648648648649,0.0620276165115465,0.5196720361709595
alphaearth_only,xgboost,AlphaEarth Embeddings,XGBoost,5,2742,574,241,333,0.9616836753766216,0.9446628426761866,0.9039350553873376,0.8903225806451613,0.0709881659349519,0.5409178137779236
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,1,2592,724,399,325,0.9485405822247926,0.9528819816648874,0.8741546173125121,0.882051282051282,0.0952678241521209,0.4425134062767029
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,2,2411,905,532,373,0.9562629764760426,0.9642387086648364,0.8919928843556613,0.9032882011605416,0.0911674711608517,0.4399517178535461
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,3,2673,643,196,447,0.9098981874629046,0.8262792666530053,0.8095751723508195,0.7507163323782235,0.1113309142715082,0.5117478966712952
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,4,2846,470,140,330,0.9736580086580088,0.9419952305659752,0.9132034632034632,0.8619528619528619,0.0590616936600106,0.4756693542003631
fused_reduced,xgboost,Conventional + AlphaEarth Embeddings,XGBoost,5,2742,574,241,333,0.9620948749579455,0.9492592445399728,0.8997856777939766,0.8855291576673866,0.0717541962910992,0.5249663591384888
