feature,factor_name,importance,feature_set,feature_set_name,model,model_name
slope_deg,Slope (degrees),0.670736026173637,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
elevation_m,Elevation (m),0.4416144931474941,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
lst_day_mean_c,Mean daytime LST (deg C),0.3333205362858562,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
ndvi_median,NDVI median,0.21157726273787753,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
aspect_deg,Aspect (degrees),0.12525879046252325,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
ndvi_amplitude,NDVI amplitude,0.11785567321289481,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
rain_monsoon_total,Monsoon rainfall total,0.07294688574754238,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
rain_max_1day,Maximum 1-day rainfall,0.05584163328408114,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
modis_lc_type1,MODIS land-cover class,0.01989040930181816,conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2)
elevation_m,Elevation (m),0.23616385910247217,conventional_reduced,Conventional,random_forest,Random Forest
lst_day_mean_c,Mean daytime LST (deg C),0.18873855550658258,conventional_reduced,Conventional,random_forest,Random Forest
ndvi_median,NDVI median,0.13560489274893314,conventional_reduced,Conventional,random_forest,Random Forest
aspect_deg,Aspect (degrees),0.12577672180137592,conventional_reduced,Conventional,random_forest,Random Forest
rain_monsoon_total,Monsoon rainfall total,0.10060320795124882,conventional_reduced,Conventional,random_forest,Random Forest
rain_max_1day,Maximum 1-day rainfall,0.08716201959012061,conventional_reduced,Conventional,random_forest,Random Forest
ndvi_amplitude,NDVI amplitude,0.07311692797428328,conventional_reduced,Conventional,random_forest,Random Forest
slope_deg,Slope (degrees),0.029101496373166124,conventional_reduced,Conventional,random_forest,Random Forest
modis_lc_type1,MODIS land-cover class,0.023732318951817294,conventional_reduced,Conventional,random_forest,Random Forest
elevation_m,Elevation (m),0.2019212471079098,conventional_reduced,Conventional,extra_trees,Extra Trees
lst_day_mean_c,Mean daytime LST (deg C),0.17914608481530392,conventional_reduced,Conventional,extra_trees,Extra Trees
aspect_deg,Aspect (degrees),0.16257276136960502,conventional_reduced,Conventional,extra_trees,Extra Trees
ndvi_median,NDVI median,0.10796631004210581,conventional_reduced,Conventional,extra_trees,Extra Trees
rain_monsoon_total,Monsoon rainfall total,0.09248583435279796,conventional_reduced,Conventional,extra_trees,Extra Trees
rain_max_1day,Maximum 1-day rainfall,0.0774140115093775,conventional_reduced,Conventional,extra_trees,Extra Trees
modis_lc_type1,MODIS land-cover class,0.06352244842374438,conventional_reduced,Conventional,extra_trees,Extra Trees
ndvi_amplitude,NDVI amplitude,0.059754725429511324,conventional_reduced,Conventional,extra_trees,Extra Trees
slope_deg,Slope (degrees),0.05521657694964433,conventional_reduced,Conventional,extra_trees,Extra Trees
lst_day_mean_c,Mean daytime LST (deg C),0.19042591750621796,conventional_reduced,Conventional,xgboost,XGBoost
slope_deg,Slope (degrees),0.15832634270191193,conventional_reduced,Conventional,xgboost,XGBoost
elevation_m,Elevation (m),0.14259982109069824,conventional_reduced,Conventional,xgboost,XGBoost
aspect_deg,Aspect (degrees),0.11211195588111877,conventional_reduced,Conventional,xgboost,XGBoost
ndvi_median,NDVI median,0.09525870531797409,conventional_reduced,Conventional,xgboost,XGBoost
modis_lc_type1,MODIS land-cover class,0.09347984939813614,conventional_reduced,Conventional,xgboost,XGBoost
ndvi_amplitude,NDVI amplitude,0.07456664741039276,conventional_reduced,Conventional,xgboost,XGBoost
