feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.7569539232697128,0.7966599456537222,0.6505070368228263,0.7448869752421959,0.20241500574930965,0.435770949379148
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.609254369166885,0.6318703442539273,0.537173194380052,0.4806565064478312,0.26555406706137585,0.5173824817599524
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.5005821120394467,0.2977951098727122,0.5414383874355111,0.37037037037037035,0.2627545156692144,0.4799049479245576
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.6708874458874458,0.40470613354815627,0.6518398268398269,0.5426008968609866,0.2483306137450616,0.4353584934764303
conventional_reduced,Conventional,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.6657570433504043,0.5353667614279726,0.6085753803596127,0.6301775147928994,0.23752622813263985,0.43332537321881687
conventional_reduced,Conventional,random_forest,Random Forest,1,2592,724,399,325,0.8407942934258723,0.8169071992316267,0.6303643724696356,0.5060240963855421,0.21127704427184163,0.47263037166215593
conventional_reduced,Conventional,random_forest,Random Forest,2,2411,905,532,373,0.8852879517829425,0.8929481724642183,0.7019593218972364,0.5979381443298969,0.2094674342573623,0.5308460293463007
conventional_reduced,Conventional,random_forest,Random Forest,3,2673,643,196,447,0.7609003332876776,0.5788817861125425,0.62541090261608,0.4295774647887324,0.17782070515421586,0.5048351493870851
conventional_reduced,Conventional,random_forest,Random Forest,4,2846,470,140,330,0.805064935064935,0.526721767817952,0.5912337662337662,0.3627450980392157,0.16893677085023848,0.5113172874146316
conventional_reduced,Conventional,random_forest,Random Forest,5,2742,574,241,333,0.8239567368198073,0.783602407378544,0.6731524055175507,0.555256064690027,0.1716094783581696,0.48598459811407385
conventional_reduced,Conventional,extra_trees,Extra Trees,1,2592,724,399,325,0.852886061307114,0.8512264142322089,0.6258723732407943,0.45955882352941174,0.19467667755503856,0.5470484822768618
conventional_reduced,Conventional,extra_trees,Extra Trees,2,2411,905,532,373,0.863361486826987,0.8868637320708999,0.649589792174807,0.48246844319775595,0.2296024028401396,0.5598558839109679
conventional_reduced,Conventional,extra_trees,Extra Trees,3,2673,643,196,447,0.7388599735196093,0.50617334765903,0.571348673697667,0.3111111111111111,0.18370338764266989,0.5011898866218925
conventional_reduced,Conventional,extra_trees,Extra Trees,4,2846,470,140,330,0.807965367965368,0.5671378339459068,0.6033549783549783,0.37755102040816324,0.16160135588409302,0.5323896516671591
conventional_reduced,Conventional,extra_trees,Extra Trees,5,2742,574,241,333,0.7916713393891817,0.7521072679884732,0.6731524055175507,0.555256064690027,0.18311229466308315,0.5149171996382702
conventional_reduced,Conventional,xgboost,XGBoost,1,2592,724,399,325,0.8385347985347985,0.8154038076368157,0.6370271833429728,0.5261382799325464,0.22827796636358133,0.4687343239784241
conventional_reduced,Conventional,xgboost,XGBoost,2,2411,905,532,373,0.8775272631982101,0.8884391014414605,0.7257629663972263,0.6698224852071006,0.21341333732206355,0.4900258779525757
conventional_reduced,Conventional,xgboost,XGBoost,3,2673,643,196,447,0.7174245537141031,0.5146822836653876,0.5874594804364699,0.34558823529411764,0.20946738563473988,0.5715640783309937
conventional_reduced,Conventional,xgboost,XGBoost,4,2846,470,140,330,0.7768181818181819,0.47977486262600894,0.5852813852813853,0.3669724770642202,0.18493463759754838,0.5252612829208374
conventional_reduced,Conventional,xgboost,XGBoost,5,2742,574,241,333,0.824355475807758,0.7878467862171439,0.6992760395250022,0.6157635467980296,0.1734614634203044,0.49058303236961365
conventional_reduced,Conventional,lightgbm,LightGBM,1,2592,724,399,325,0.8280933101985734,0.8191645876126232,0.5944823597455177,0.41187384044526903,0.263715487457612,0.5779098814107072
conventional_reduced,Conventional,lightgbm,LightGBM,2,2411,905,532,373,0.844569533753956,0.8653977952081737,0.6296060190691205,0.46089385474860334,0.2787141858175139,0.6403007453554238
conventional_reduced,Conventional,lightgbm,LightGBM,3,2673,643,196,447,0.7311783773912249,0.5113737066113753,0.5562194676528329,0.25984251968503935,0.22560729096539736,0.5357364507926877
conventional_reduced,Conventional,lightgbm,LightGBM,4,2846,470,140,330,0.8375541125541124,0.5845747679450688,0.6270562770562771,0.44642857142857145,0.17998459317364707,0.5455345122198849
conventional_reduced,Conventional,lightgbm,LightGBM,5,2742,574,241,333,0.8324797826872515,0.8060811007565865,0.7184404321333782,0.6381909547738693,0.18394056807413253,0.5214771874297708
