factor,factor_name,r2_against_other_factors,vif
rain_monsoon_total,rain_monsoon_total,0.749991935762494,3.999870976361813
rain_max_1day,rain_max_1day,0.734679656026668,3.769028733433695
elevation_m,elevation_m,0.668011813520339,3.0121553739722127
ndvi_median,ndvi_median,0.652034291636136,2.873846404871341
lithology_code,lithology_code,0.5010963459291453,2.004395020642561
distance_to_annual_eq_m5plus_km,Distance to annual M5+ earthquake,0.49146136053924183,1.9664189157000447
valley_depth,valley_depth,0.479680029244304,1.9218943269612199
tri,tri,0.4493714447319963,1.816106321462527
ndvi_amplitude,ndvi_amplitude,0.446188375427624,1.8056681290721317
gem_pga_475yr_rock_g,GEM PGA 475-year hazard,0.4219031928920117,1.7298140859878515
aspect_deg,aspect_deg,0.41558899117959036,1.711124508106762
log1p_dist_fault_m,log1p_dist_fault_m,0.37634112823324384,1.603440671287352
log1p_dist_river_m,log1p_dist_river_m,0.3694315551725653,1.5858706667024327
slope_deg,slope_deg,0.35084236512377054,1.5404578892315783
modis_lc_type1,modis_lc_type1,0.3311502964980373,1.495104198692473
annual_mag_weighted_eq_density_m4plus_per_1000km2,Annual magnitude-weighted earthquake density M4+,0.3218295382919274,1.474555523225462
twi,twi,0.3212915152403417,1.473386619520627
plan_curvature,plan_curvature,0.2797583569223653,1.3884229127976293
soil_type,soil_type,0.2583751711108139,1.3483906701152537
eq_density_ms5,eq_density_ms5,0.2514800091726167,1.3359696631410485
log1p_dist_road_m,log1p_dist_road_m,0.2460374919391306,1.3263258972543863
profile_curvature,profile_curvature,0.18286288949760887,1.22378483016783
annual_max_shakemap_pga_percent_g,Annual maximum ShakeMap PGA,0.12120316414067966,1.1379194362052552
