feature_set,feature_set_name,fold,base_model,base_model_name,meta_coefficient
conventional_current,Conventional,1,logistic_l2,Logistic Regression (L2),-0.09636223482566414
conventional_current,Conventional,1,random_forest,Random Forest,1.1576740891393058
conventional_current,Conventional,1,extra_trees,Extra Trees,2.0085741784739968
conventional_current,Conventional,1,xgboost,XGBoost,0.8743492937391439
conventional_current,Conventional,1,lightgbm,LightGBM,-0.8764949991856701
conventional_current,Conventional,1,catboost,CatBoost,0.4821219155091731
conventional_current,Conventional,2,logistic_l2,Logistic Regression (L2),0.17326648698259606
conventional_current,Conventional,2,random_forest,Random Forest,1.7984925703264558
conventional_current,Conventional,2,extra_trees,Extra Trees,1.399393679199857
conventional_current,Conventional,2,xgboost,XGBoost,-0.3064204984889877
conventional_current,Conventional,2,lightgbm,LightGBM,0.00823383114017591
conventional_current,Conventional,2,catboost,CatBoost,0.33189073071709024
conventional_current,Conventional,3,logistic_l2,Logistic Regression (L2),0.4175226762429816
conventional_current,Conventional,3,random_forest,Random Forest,1.2206957271485805
conventional_current,Conventional,3,extra_trees,Extra Trees,1.7558770682548301
conventional_current,Conventional,3,xgboost,XGBoost,-0.05123909309526643
conventional_current,Conventional,3,lightgbm,LightGBM,0.1859305194192522
conventional_current,Conventional,3,catboost,CatBoost,0.029181750545733715
conventional_current,Conventional,4,logistic_l2,Logistic Regression (L2),0.08266876179474213
conventional_current,Conventional,4,random_forest,Random Forest,2.2318654810679703
conventional_current,Conventional,4,extra_trees,Extra Trees,1.1819275925644972
conventional_current,Conventional,4,xgboost,XGBoost,0.1326117400841554
conventional_current,Conventional,4,lightgbm,LightGBM,0.016046507585773973
conventional_current,Conventional,4,catboost,CatBoost,-0.15711237621422697
conventional_current,Conventional,5,logistic_l2,Logistic Regression (L2),0.025085258825561604
conventional_current,Conventional,5,random_forest,Random Forest,1.3913416357225816
conventional_current,Conventional,5,extra_trees,Extra Trees,1.6874781818294653
conventional_current,Conventional,5,xgboost,XGBoost,0.05174348784806315
conventional_current,Conventional,5,lightgbm,LightGBM,0.08366253191932117
conventional_current,Conventional,5,catboost,CatBoost,0.16954024447110433
conventional_gem_pga,Conventional + GEM PGA,1,logistic_l2,Logistic Regression (L2),-0.1311469093297237
conventional_gem_pga,Conventional + GEM PGA,1,random_forest,Random Forest,1.1106937493487306
conventional_gem_pga,Conventional + GEM PGA,1,extra_trees,Extra Trees,2.0283742778789504
conventional_gem_pga,Conventional + GEM PGA,1,xgboost,XGBoost,0.6365356130568115
conventional_gem_pga,Conventional + GEM PGA,1,lightgbm,LightGBM,-0.8224725110911278
conventional_gem_pga,Conventional + GEM PGA,1,catboost,CatBoost,0.7981431241798087
conventional_gem_pga,Conventional + GEM PGA,2,logistic_l2,Logistic Regression (L2),0.08249033427862709
conventional_gem_pga,Conventional + GEM PGA,2,random_forest,Random Forest,1.6756609073410282
conventional_gem_pga,Conventional + GEM PGA,2,extra_trees,Extra Trees,1.445347466968672
conventional_gem_pga,Conventional + GEM PGA,2,xgboost,XGBoost,-0.6026538419681033
conventional_gem_pga,Conventional + GEM PGA,2,lightgbm,LightGBM,-0.03291496801593298
conventional_gem_pga,Conventional + GEM PGA,2,catboost,CatBoost,0.9316732834283084
conventional_gem_pga,Conventional + GEM PGA,3,logistic_l2,Logistic Regression (L2),0.26059235849416273
conventional_gem_pga,Conventional + GEM PGA,3,random_forest,Random Forest,1.0132405495415058
conventional_gem_pga,Conventional + GEM PGA,3,extra_trees,Extra Trees,1.6457162699201011
conventional_gem_pga,Conventional + GEM PGA,3,xgboost,XGBoost,-0.6544651552075723
conventional_gem_pga,Conventional + GEM PGA,3,lightgbm,LightGBM,0.2530947047442789
conventional_gem_pga,Conventional + GEM PGA,3,catboost,CatBoost,1.0711974607254424
conventional_gem_pga,Conventional + GEM PGA,4,logistic_l2,Logistic Regression (L2),-0.002355962407003769
conventional_gem_pga,Conventional + GEM PGA,4,random_forest,Random Forest,1.9641045188878103
conventional_gem_pga,Conventional + GEM PGA,4,extra_trees,Extra Trees,1.4069791561886578
conventional_gem_pga,Conventional + GEM PGA,4,xgboost,XGBoost,-0.36055019806447125
conventional_gem_pga,Conventional + GEM PGA,4,lightgbm,LightGBM,0.050303764879485915
conventional_gem_pga,Conventional + GEM PGA,4,catboost,CatBoost,0.5132205907887076
conventional_gem_pga,Conventional + GEM PGA,5,logistic_l2,Logistic Regression (L2),-0.1207818508337189
conventional_gem_pga,Conventional + GEM PGA,5,random_forest,Random Forest,1.1514581203268033
conventional_gem_pga,Conventional + GEM PGA,5,extra_trees,Extra Trees,1.682490173783558
conventional_gem_pga,Conventional + GEM PGA,5,xgboost,XGBoost,-0.2843128578459505
conventional_gem_pga,Conventional + GEM PGA,5,lightgbm,LightGBM,-0.06607228116422008
conventional_gem_pga,Conventional + GEM PGA,5,catboost,CatBoost,1.121728082057786
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,logistic_l2,Logistic Regression (L2),-0.08920925616939183
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,random_forest,Random Forest,0.9335835214712194
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,extra_trees,Extra Trees,2.054468047321556
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,xgboost,XGBoost,0.5570359692749997
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,lightgbm,LightGBM,-0.5145674685788206
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,1,catboost,CatBoost,0.7322269066595906
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,logistic_l2,Logistic Regression (L2),-0.05666456783704518
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,random_forest,Random Forest,1.2412371096732162
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,extra_trees,Extra Trees,1.7451673344911103
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,xgboost,XGBoost,-0.009855582686571183
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,lightgbm,LightGBM,-0.1614872028340603
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,2,catboost,CatBoost,0.9140172855587451
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,3,logistic_l2,Logistic Regression (L2),0.29934854607259936
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,3,random_forest,Random Forest,0.64741008516972
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,3,extra_trees,Extra Trees,2.0130155233447793
