feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,catboost,CatBoost,0.973436664245132,0.017391818866340922,0.96093606779565,0.03773422241356113,0.9013720532993611,0.07330865517966108,0.8821893233897464,0.09922152978500802,0.06125602625453088,0.02657663625963788
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,lightgbm,LightGBM,0.9725891576459427,0.01648646708280113,0.960528925036576,0.03553410153023663,0.8171662105328601,0.0937472626699091,0.7633087665259355,0.1625867421503537,0.0665906171042581,0.02822072361626255
fused_current,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,0.9726160997887552,0.01679363469959427,0.960218160776083,0.035476039614993855,0.9065078520243957,0.05850717729880258,0.8898077397954914,0.0791699363712901,0.0617179002263785,0.025094022211479834
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,xgboost,XGBoost,0.9726509844822981,0.017501325328877437,0.960107243410361,0.03767575806703875,0.8977553828123437,0.06615789598727621,0.8788016444853317,0.0920870344793427,0.06316579330410385,0.02557839818585142
fused_current,Conventional + AlphaEarth Embeddings,catboost,CatBoost,0.9716027902980926,0.01929322903134524,0.9585697942671307,0.04085055407898004,0.9000899553615263,0.07149209143160076,0.8802650373492169,0.09821417568462291,0.06237287584983201,0.027542329737146168
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9729944612618118,0.016612949345835088,0.9584857656576501,0.035457748498136224,0.9123089406884265,0.059139081093853914,0.8963120556769528,0.0796783492625079,0.05938083514713999,0.023835702005304972
fused_current,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,0.9708824967720201,0.018494665772860575,0.9574334493063503,0.03875139535213905,0.82150859190111,0.08790618394362486,0.7718344642963737,0.14985038978169607,0.06592976304355494,0.028976467379753214
fused_current,Conventional + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9718092013999081,0.01800650915494413,0.956814306000559,0.03738560267009786,0.9139825881581081,0.05610962165465674,0.8968901111441554,0.0763696739797322,0.06025868850373155,0.025627929005136482
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),extra_trees,Extra Trees,0.9668881815063394,0.01848354572257419,0.954371304071584,0.03538675893287177,0.736159560136475,0.07685353980406642,0.6311019122093287,0.1472186106245975,0.1125510737356242,0.028515895530132136
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,random_forest,Random Forest,0.9687002784027958,0.01704939881861642,0.9528657362576658,0.035801250371839316,0.8947391072024192,0.06674372063356704,0.876474637223235,0.09248079316060012,0.07821619917318778,0.01667415363780241
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9662447038766059,0.016705495680505923,0.9525669824144473,0.034431904424322105,0.8932744255803003,0.057908897634396515,0.8747063194253627,0.08337165360276146,0.06935998778750328,0.01637533647448182
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,catboost,CatBoost,0.9640503558159544,0.014444315865169723,0.952015583488725,0.031078054694387562,0.8472912520068739,0.05248255994455826,0.8165478288646654,0.07708287936765187,0.08392373695561227,0.022166191325857572
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9654728798103662,0.01456650125516948,0.9514980328411656,0.030836788647827518,0.8987807910113237,0.04474833226207451,0.8808716470559667,0.06470868590284672,0.06980655192651522,0.01296978343202867
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,extra_trees,Extra Trees,0.9647778943928538,0.018040016838609518,0.9511888338162425,0.03415925502615574,0.7670419334326543,0.08705392581465711,0.68437800644062,0.1512305325439601,0.11203985606345859,0.029296443504067897
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9652695260177648,0.015316068169696625,0.9501372853560334,0.03296929450015203,0.9006740562075333,0.036866414281773584,0.8841621944677616,0.058757207026493466,0.07043826554064667,0.01434337192042318
conventional_gem_pga,Conventional + GEM PGA,catboost,CatBoost,0.9630871567119332,0.017894693957031565,0.950042756070079,0.03597583760683677,0.8528018517375466,0.05784235567688966,0.8228120291609136,0.08105060365816051,0.08347166042915347,0.027659950974430705
