feature,feature_name,mean_abs_shap,mean_shap,std_abs_shap,feature_set,feature_set_name
A16,AlphaEarth A16,1.1875486,-0.13789998,0.6991451,alphaearth_only,AlphaEarth Embeddings
A55,AlphaEarth A55,0.4826051,-0.11862101,0.41641575,alphaearth_only,AlphaEarth Embeddings
A44,AlphaEarth A44,0.4527682,-0.063047014,0.37285873,alphaearth_only,AlphaEarth Embeddings
A60,AlphaEarth A60,0.26131785,-0.011836628,0.20250233,alphaearth_only,AlphaEarth Embeddings
A17,AlphaEarth A17,0.25415295,0.06461382,0.14604305,alphaearth_only,AlphaEarth Embeddings
A25,AlphaEarth A25,0.23422804,-0.043199707,0.1699169,alphaearth_only,AlphaEarth Embeddings
A15,AlphaEarth A15,0.21883835,-0.041412104,0.21450178,alphaearth_only,AlphaEarth Embeddings
A45,AlphaEarth A45,0.2060396,0.050170112,0.15973322,alphaearth_only,AlphaEarth Embeddings
A34,AlphaEarth A34,0.19554594,-0.048833646,0.24360065,alphaearth_only,AlphaEarth Embeddings
A46,AlphaEarth A46,0.15675259,-0.02424831,0.13540001,alphaearth_only,AlphaEarth Embeddings
A50,AlphaEarth A50,0.14394426,0.007158061,0.07706125,alphaearth_only,AlphaEarth Embeddings
A14,AlphaEarth A14,0.14126077,-0.014207625,0.13098833,alphaearth_only,AlphaEarth Embeddings
A13,AlphaEarth A13,0.14062588,-0.03254162,0.14641012,alphaearth_only,AlphaEarth Embeddings
A47,AlphaEarth A47,0.13976006,-0.0047203386,0.16019167,alphaearth_only,AlphaEarth Embeddings
A02,AlphaEarth A02,0.13859342,-0.0028068214,0.118406825,alphaearth_only,AlphaEarth Embeddings
A56,AlphaEarth A56,0.1375803,-0.0004710359,0.13071573,alphaearth_only,AlphaEarth Embeddings
A24,AlphaEarth A24,0.13235116,0.005610229,0.10077407,alphaearth_only,AlphaEarth Embeddings
A38,AlphaEarth A38,0.13075717,-0.016778106,0.09393877,alphaearth_only,AlphaEarth Embeddings
A06,AlphaEarth A06,0.12802874,-0.021601273,0.05952961,alphaearth_only,AlphaEarth Embeddings
