feature,feature_name,mean_abs_shap,mean_shap,std_abs_shap,feature_set,feature_set_name
A16,AlphaEarth A16,1.1969944,-0.14448422,0.7200386,fused_reduced,Conventional + AlphaEarth Embeddings
A44,AlphaEarth A44,0.4686396,-0.063939795,0.38448444,fused_reduced,Conventional + AlphaEarth Embeddings
A55,AlphaEarth A55,0.46576366,-0.084667414,0.36704004,fused_reduced,Conventional + AlphaEarth Embeddings
elevation_m,Elevation,0.33664018,-0.07466893,0.18663721,fused_reduced,Conventional + AlphaEarth Embeddings
A17,AlphaEarth A17,0.28031754,0.080805466,0.15727882,fused_reduced,Conventional + AlphaEarth Embeddings
A25,AlphaEarth A25,0.25430667,-0.042728838,0.17945419,fused_reduced,Conventional + AlphaEarth Embeddings
A60,AlphaEarth A60,0.23542565,-0.0067709344,0.17531669,fused_reduced,Conventional + AlphaEarth Embeddings
A45,AlphaEarth A45,0.23429853,0.054686222,0.16715254,fused_reduced,Conventional + AlphaEarth Embeddings
A15,AlphaEarth A15,0.2050425,-0.040239904,0.21498756,fused_reduced,Conventional + AlphaEarth Embeddings
aspect_deg,Aspect,0.1969537,-0.027209653,0.21640413,fused_reduced,Conventional + AlphaEarth Embeddings
rain_max_1day,Maximum 1-Day Rainfall,0.14968503,-0.00549113,0.11308171,fused_reduced,Conventional + AlphaEarth Embeddings
A24,AlphaEarth A24,0.14759502,0.014326082,0.09909073,fused_reduced,Conventional + AlphaEarth Embeddings
A34,AlphaEarth A34,0.1455653,-0.037648063,0.18442337,fused_reduced,Conventional + AlphaEarth Embeddings
rain_monsoon_total,Monsoon Rainfall,0.14335978,0.005398246,0.072603,fused_reduced,Conventional + AlphaEarth Embeddings
A22,AlphaEarth A22,0.13320808,-0.02236459,0.08218391,fused_reduced,Conventional + AlphaEarth Embeddings
A14,AlphaEarth A14,0.12860703,-0.014032159,0.10485061,fused_reduced,Conventional + AlphaEarth Embeddings
A30,AlphaEarth A30,0.1251226,0.008637733,0.05208408,fused_reduced,Conventional + AlphaEarth Embeddings
A13,AlphaEarth A13,0.12280284,-0.031476714,0.13464186,fused_reduced,Conventional + AlphaEarth Embeddings
A06,AlphaEarth A06,0.11815612,-0.017221196,0.062408138,fused_reduced,Conventional + AlphaEarth Embeddings
A46,AlphaEarth A46,0.11619827,-0.01760435,0.1074949,fused_reduced,Conventional + AlphaEarth Embeddings
A38,AlphaEarth A38,0.11249809,-0.013659794,0.075756505,fused_reduced,Conventional + AlphaEarth Embeddings
A47,AlphaEarth A47,0.112479486,-0.0012903074,0.13626876,fused_reduced,Conventional + AlphaEarth Embeddings
A36,AlphaEarth A36,0.10800816,-0.010271762,0.068575606,fused_reduced,Conventional + AlphaEarth Embeddings
A02,AlphaEarth A02,0.10686868,0.0023770374,0.09106597,fused_reduced,Conventional + AlphaEarth Embeddings
A48,AlphaEarth A48,0.106861174,0.011460128,0.07644889,fused_reduced,Conventional + AlphaEarth Embeddings
A50,AlphaEarth A50,0.104988456,-0.00034446153,0.05283483,fused_reduced,Conventional + AlphaEarth Embeddings
A09,AlphaEarth A09,0.10356841,-0.011069772,0.07052247,fused_reduced,Conventional + AlphaEarth Embeddings
A37,AlphaEarth A37,0.09929482,-0.008282808,0.062525906,fused_reduced,Conventional + AlphaEarth Embeddings
A03,AlphaEarth A03,0.09566826,0.009035444,0.0598091,fused_reduced,Conventional + AlphaEarth Embeddings
A00,AlphaEarth A00,0.09288505,-0.009557115,0.09930797,fused_reduced,Conventional + AlphaEarth Embeddings
A51,AlphaEarth A51,0.08124768,0.011281674,0.084618464,fused_reduced,Conventional + AlphaEarth Embeddings
A56,AlphaEarth A56,0.079388835,0.0015869467,0.07783029,fused_reduced,Conventional + AlphaEarth Embeddings
A27,AlphaEarth A27,0.074722655,0.013347499,0.05803086,fused_reduced,Conventional + AlphaEarth Embeddings
A01,AlphaEarth A01,0.072003216,-0.006416522,0.085235916,fused_reduced,Conventional + AlphaEarth Embeddings
A08,AlphaEarth A08,0.07157297,-0.01732536,0.0490885,fused_reduced,Conventional + AlphaEarth Embeddings
A19,AlphaEarth A19,0.07005048,0.0014550627,0.081019305,fused_reduced,Conventional + AlphaEarth Embeddings
A26,AlphaEarth A26,0.06919451,-0.002056814,0.04784084,fused_reduced,Conventional + AlphaEarth Embeddings
ndvi_amplitude,NDVI Amplitude,0.06743066,0.01978038,0.038905073,fused_reduced,Conventional + AlphaEarth Embeddings
lst_day_mean_c,Mean Daytime LST,0.06519698,-0.02642214,0.09508485,fused_reduced,Conventional + AlphaEarth Embeddings
A58,AlphaEarth A58,0.05867479,-0.005084733,0.056561988,fused_reduced,Conventional + AlphaEarth Embeddings
A21,AlphaEarth A21,0.05788832,-0.0034412178,0.03851725,fused_reduced,Conventional + AlphaEarth Embeddings
ndvi_median,NDVI Median,0.051872287,-0.0034784852,0.07150678,fused_reduced,Conventional + AlphaEarth Embeddings
A61,AlphaEarth A61,0.04991727,-0.0068089827,0.043590922,fused_reduced,Conventional + AlphaEarth Embeddings
A20,AlphaEarth A20,0.045514114,-0.0042686327,0.038211882,fused_reduced,Conventional + AlphaEarth Embeddings
A05,AlphaEarth A05,0.043284312,-0.0041383104,0.052499715,fused_reduced,Conventional + AlphaEarth Embeddings
A49,AlphaEarth A49,0.043074068,0.010292642,0.028136965,fused_reduced,Conventional + AlphaEarth Embeddings
A18,AlphaEarth A18,0.04035257,0.0017876185,0.0341654,fused_reduced,Conventional + AlphaEarth Embeddings
A32,AlphaEarth A32,0.03946212,-0.003801325,0.028481942,fused_reduced,Conventional + AlphaEarth Embeddings
A39,AlphaEarth A39,0.0354899,-0.0036554534,0.034308877,fused_reduced,Conventional + AlphaEarth Embeddings
A54,AlphaEarth A54,0.03525129,-0.008542086,0.04475897,fused_reduced,Conventional + AlphaEarth Embeddings
