feature_set,bin,mean_predicted_probability,fraction_observed_landslide,brier
Conventional,1,0.019028148700239052,0.015060240963855422,0.07398990571000368
Conventional,2,0.0277300031847054,0.012048192771084338,0.07398990571000368
Conventional,3,0.04228421585278692,0.02416918429003021,0.07398990571000368
Conventional,4,0.07853434583665907,0.0572289156626506,0.07398990571000368
Conventional,5,0.1822699930629373,0.18731117824773413,0.07398990571000368
Conventional,6,0.4801377869672363,0.5451807228915663,0.07398990571000368
Conventional,7,0.8263215993169307,0.8308157099697885,0.07398990571000368
Conventional,8,0.9641269731669534,0.9036144578313253,0.07398990571000368
Conventional,9,0.991874821675438,0.9758308157099698,0.07398990571000368
Conventional,10,0.9973271898677577,0.9969879518072289,0.07398990571000368
AlphaEarth Embeddings,1,0.03044260680543299,0.024096385542168676,0.08331766746597816
AlphaEarth Embeddings,2,0.04084770953000506,0.015060240963855422,0.08331766746597816
AlphaEarth Embeddings,3,0.04807098346232466,0.01812688821752266,0.08331766746597816
AlphaEarth Embeddings,4,0.07182748278303155,0.09036144578313253,0.08331766746597816
AlphaEarth Embeddings,5,0.198506995372504,0.229607250755287,0.08331766746597816
AlphaEarth Embeddings,6,0.5575816039997209,0.4819277108433735,0.08331766746597816
AlphaEarth Embeddings,7,0.8575760351203184,0.8308157099697885,0.08331766746597816
AlphaEarth Embeddings,8,0.9425259553455038,0.9126506024096386,0.08331766746597816
AlphaEarth Embeddings,9,0.9672341637782318,0.9637462235649547,0.08331766746597816
AlphaEarth Embeddings,10,0.9769194920691111,0.9819277108433735,0.08331766746597816
Conventional + AlphaEarth Embeddings,1,0.018382486867458126,0.009036144578313253,0.060977079983270635
Conventional + AlphaEarth Embeddings,2,0.024754465735006004,0.018072289156626505,0.060977079983270635
Conventional + AlphaEarth Embeddings,3,0.03080189492239649,0.021148036253776436,0.060977079983270635
Conventional + AlphaEarth Embeddings,4,0.04892502580718926,0.05120481927710843,0.060977079983270635
Conventional + AlphaEarth Embeddings,5,0.12087852225564351,0.13897280966767372,0.060977079983270635
Conventional + AlphaEarth Embeddings,6,0.5077624127696573,0.5030120481927711,0.060977079983270635
Conventional + AlphaEarth Embeddings,7,0.9079905726862888,0.8765060240963856,0.060977079983270635
Conventional + AlphaEarth Embeddings,8,0.9717167809709096,0.9607250755287009,0.060977079983270635
Conventional + AlphaEarth Embeddings,9,0.9869078748414931,0.9848942598187311,0.060977079983270635
Conventional + AlphaEarth Embeddings,10,0.9930943277142702,0.9849397590361446,0.060977079983270635
